pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.6796875,30207,iosity
27,1,1.0,18824,Cur
29,2,0.458984375,341,Ġis
30,3,0.3828125,259,Ġa
31,4,0.5625,4946,Ġnatural
32,5,0.70703125,3738,Ġhuman
33,6,0.62109375,35488,Ġtrait
34,7,0.6796875,378,Ġthat
35,8,0.40625,20603,Ġdrives
37,9,0.60546875,297,Ġto
36,10,0.90234375,611,Ġus
38,11,0.734375,9070,Ġexplore
39,12,0.63671875,301,Ġand
40,13,0.4921875,3071,Ġlearn
41,14,0.8125,866,Ġabout
42,15,0.92578125,268,Ġthe
43,16,0.9921875,1931,Ġworld
44,17,0.9609375,2137,Ġaround
45,18,1.0,611,Ġus
46,19,0.91015625,13,.
47,20,0.48828125,963,ĠIt
49,21,0.263671875,611,Ġus
48,22,0.6171875,6266,Ġhelps
50,23,0.3203125,2725,Ġunderstand
53,24,0.345703125,11,","
52,25,0.55078125,13996,Ġconcepts
51,26,0.6953125,782,Ġnew
55,27,0.44921875,869,Ġour
57,28,0.83203125,11,","
58,29,0.984375,301,Ġand
54,30,0.83984375,7695,Ġexpand
56,31,0.94140625,4848,Ġknowledge
60,32,0.390625,869,Ġour
62,33,0.5390625,13,.
59,34,0.43359375,18984,Ġsatisfy
64,35,0.31640625,35038,Ġcuriosity
63,36,0.74609375,5781,ĠWhile
66,37,0.80859375,526,Ġnot
65,38,0.890625,1115,Ġmay
61,39,0.1337890625,26201,Ġimagination
67,40,0.87890625,5727,Ġdirectly
70,41,0.6484375,15074,Ġsurvival
71,42,0.96484375,11,","
72,43,0.96484375,403,Ġit
69,44,0.875,869,Ġour
68,45,0.6015625,6242,Ġaffect
73,46,0.275390625,11301,Ġplays
74,47,0.6796875,259,Ġa
77,48,0.84375,296,Ġin
76,49,1.0,4307,Ġrole
78,50,0.640625,869,Ġour
79,51,0.5390625,3379,Ġpersonal
80,52,0.9375,5003,Ġgrowth
81,53,0.62109375,11,","
75,54,0.5234375,3741,Ġsignificant
82,55,0.396484375,20510,Ġcreativity
83,56,0.99609375,11,","
84,57,1.0,301,Ġand
90,58,0.99609375,126081,<|endoftext|>
88,59,0.96875,13,.
89,60,1.0,126348,<|eot_id|>
85,61,0.84765625,7071,Ġoverall
86,62,0.98046875,1367,Ġwell
87,63,1.0,23808,-being
