pos,step_decoded,conf_decoded,token_id,token_str
24,0,0.80078125,16220,People
26,1,0.7421875,20675,Ġdifferently
25,2,0.98828125,37067,Ġbehave
27,3,0.9765625,2630,Ġonline
29,4,0.859375,297,Ġto
30,5,0.875,2138,Ġreal
28,6,1.0,5923,Ġcompared
31,7,0.99609375,1968,Ġlife
32,8,0.48046875,1521,Ġbecause
33,9,0.283203125,300,Ġof
34,10,0.56640625,268,Ġthe
36,11,0.58203125,300,Ġof
35,12,0.7265625,6446,Ġlack
37,13,0.443359375,4107,Ġface
39,14,0.98828125,37591,-face
38,15,1.0,5415,-to
40,16,0.77734375,11560,Ġinteraction
41,17,0.671875,11,","
42,18,0.5546875,268,Ġthe
43,19,0.51171875,74345,Ġanonymity
45,20,0.421875,527,Ġby
44,21,0.84375,4026,Ġprovided
46,22,0.46484375,268,Ġthe
47,23,0.57421875,7192,Ġinternet
48,24,0.953125,11,","
49,25,0.86328125,301,Ġand
50,26,0.9296875,268,Ġthe
52,27,0.474609375,300,Ġof
51,28,0.287109375,6446,Ġlack
53,29,0.296875,34766,Ġaccountability
54,30,0.3125,13,.
55,31,0.46875,14143,ĠAdditionally
56,32,1.0,11,","
57,33,0.38671875,268,Ġthe
59,34,0.359375,300,Ġof
62,35,0.1787109375,301,Ġand
63,36,0.47265625,268,Ġthe
60,37,0.2275390625,3446,Ġsocial
61,38,0.76953125,4186,Ġmedia
58,39,0.6484375,9172,Ġinfluence
65,40,0.376953125,300,Ġof
64,41,0.322265625,7831,Ġpresence
68,42,0.3203125,560,Ġcan
66,43,0.3828125,2630,Ġonline
67,44,0.890625,9313,Ġcommunities
69,45,0.322265625,911,Ġalso
70,46,0.251953125,4402,Ġimpact
71,47,0.447265625,1099,Ġhow
72,48,0.7890625,1255,Ġpeople
79,49,0.6875,126081,<|endoftext|>
78,50,0.93359375,126081,<|endoftext|>
77,51,0.93359375,126081,<|endoftext|>
76,52,0.8671875,126348,<|eot_id|>
75,53,1.0,13,.
74,54,0.98828125,2630,Ġonline
73,55,0.7890625,37067,Ġbehave
80,56,1.0,126081,<|endoftext|>
81,57,1.0,126081,<|endoftext|>
82,58,1.0,126081,<|endoftext|>
83,59,1.0,126081,<|endoftext|>
84,60,1.0,126081,<|endoftext|>
85,61,1.0,126081,<|endoftext|>
86,62,1.0,126081,<|endoftext|>
87,63,1.0,126081,<|endoftext|>
