pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.70703125,82,s
27,1,1.0,49634,Dream
29,2,0.265625,3327,Ġoften
31,3,0.953125,20296,Ġlogical
30,4,0.9375,4492,Ġseem
34,5,0.78125,449,Ġare
33,6,0.9765625,438,Ġwe
32,7,0.80859375,950,Ġwhen
35,8,0.97265625,54390,Ġdreaming
36,9,0.93359375,1521,Ġbecause
37,10,0.6484375,869,Ġour
38,11,0.396484375,80901,Ġsubconscious
39,12,0.74609375,3714,Ġmind
40,13,0.306640625,8192,Ġprocesses
41,14,0.5703125,1698,Ġinformation
42,15,0.330078125,301,Ġand
43,16,0.25,12884,Ġcreates
44,17,0.21875,21764,Ġscenarios
45,18,0.66796875,378,Ġthat
46,19,0.42578125,1253,Ġmake
47,20,0.9921875,5209,Ġsense
49,21,0.3203125,268,Ġthe
48,22,0.373046875,296,Ġin
50,23,0.55859375,4340,Ġcontext
51,24,0.98828125,300,Ġof
53,25,0.67578125,7313,Ġdream
52,26,0.97265625,268,Ġthe
54,27,0.91796875,13,.
56,28,0.86328125,11,","
55,29,0.98046875,3260,ĠHowever
58,30,0.466796875,438,Ġwe
57,31,0.56640625,950,Ġwhen
59,32,0.74609375,17825,Ġwake
60,33,1.0,760,Ġup
61,34,0.7578125,11,","
62,35,0.65234375,869,Ġour
63,36,0.8515625,16649,Ġconscious
64,37,0.85546875,3714,Ġmind
66,38,0.1962890625,268,Ġthe
65,39,0.4921875,68861,Ġevaluates
67,40,0.8984375,7313,Ġdream
68,41,0.46484375,301,Ġand
70,42,0.298828125,403,Ġit
71,43,0.486328125,409,Ġas
69,44,0.74609375,38979,Ġrecognizes
73,45,0.32421875,453,Ġor
74,46,0.73046875,5120,Ġill
72,47,0.37890625,40655,Ġabsurd
75,48,1.0,50891,ogical
76,49,0.486328125,11,","
77,50,0.2275390625,409,Ġas
78,51,0.5546875,403,Ġit
79,52,0.3359375,341,Ġis
81,53,0.33203125,5195,Ġlonger
80,54,1.0,1037,Ġno
82,55,0.412109375,296,Ġin
90,56,0.99609375,126081,<|endoftext|>
88,57,0.9765625,13,.
89,58,1.0,126348,<|eot_id|>
83,59,0.9609375,268,Ġthe
87,60,0.859375,7313,Ġdream
85,61,1.0,300,Ġof
86,62,0.9765625,268,Ġthe
84,63,0.90234375,4340,Ġcontext
