pos,step_decoded,conf_decoded,token_id,token_str
45,0,0.57421875,37887,Ġempathy
44,1,0.99609375,2064,less
43,2,1.0,25651,Bound
46,3,0.7109375,341,Ġis
50,4,0.59765625,17721,Ġmoral
51,5,1.0,6555,Ġprogress
47,6,0.80078125,268,Ġthe
49,7,0.9765625,297,Ġto
48,8,0.984375,2516,Ġkey
53,9,0.61328125,403,Ġit
52,10,0.79296875,1521,Ġbecause
54,11,0.6171875,107913,Ġfosters
57,12,0.455078125,5942,Ġunderstanding
55,13,0.6328125,259,Ġa
56,14,0.671875,5459,Ġdeep
58,15,0.67578125,301,Ġand
61,16,0.5546875,3507,Ġothers
60,17,0.5703125,352,Ġfor
59,18,0.8515625,22558,Ġcompassion
63,19,0.439453125,3165,ĠWhen
62,20,1.0,13,.
64,21,0.486328125,6083,Ġindividuals
66,22,0.2353515625,5987,Ġbound
67,23,1.0,2064,less
68,24,0.99609375,37887,Ġempathy
69,25,0.9921875,11,","
70,26,0.99609375,792,Ġthey
71,27,0.60546875,449,Ġare
74,28,0.82421875,297,Ġto
73,29,0.8515625,4516,Ġlikely
72,30,0.99609375,778,Ġmore
65,31,0.40234375,14030,Ġpossess
76,32,0.2490234375,268,Ġthe
78,33,0.47265625,301,Ġand
80,34,0.78515625,300,Ġof
82,35,0.78515625,11,","
81,36,0.98828125,3507,Ġothers
84,37,0.412109375,297,Ġto
83,38,0.93359375,6135,Ġleading
85,39,0.404296875,259,Ġa
86,40,0.59765625,6499,Ġgreater
87,41,0.8046875,5209,Ġsense
88,42,1.0,300,Ġof
90,43,0.5,301,Ġand
77,44,0.427734375,26006,Ġstruggles
75,45,0.53125,13567,Ġrecognize
89,46,0.4140625,10867,Ġresponsibility
79,47,0.228515625,3393,Ġneeds
92,48,0.388671875,297,Ġto
91,49,0.8671875,21884,Ġmotivation
93,50,0.306640625,1220,Ġact
96,51,0.5078125,13,.
97,52,0.70703125,1077,ĠThis
95,53,0.400390625,360,ly
94,54,0.81640625,1125,Ġjust
98,55,0.2236328125,11,","
99,56,1.0,296,Ġin
100,57,1.0,2846,Ġturn
101,58,1.0,11,","
102,59,0.2578125,560,Ġcan
103,60,0.396484375,5980,Ġdrive
105,61,0.48828125,2712,Ġchange
104,62,0.671875,4961,Ġpositive
106,63,0.57421875,301,Ġand
114,64,0.25390625,10248,However
113,65,1.0,198,Ċ
115,66,1.0,11,","
112,67,0.98828125,198,Ċ
111,68,0.984375,13,.
110,69,0.4140625,8448,Ġsociety
109,70,0.63671875,296,Ġin
107,71,0.625,17721,Ġmoral
108,72,0.5234375,6555,Ġprogress
117,73,0.392578125,2064,less
116,74,1.0,5987,Ġbound
118,75,0.99609375,37887,Ġempathy
119,76,0.4140625,560,Ġcan
120,77,0.90625,911,Ġalso
122,78,0.67578125,297,Ġto
121,79,0.9921875,2051,Ġlead
123,80,0.921875,12282,Ġemotional
125,81,0.98046875,301,Ġand
124,82,0.98828125,77965,Ġburnout
126,83,0.80859375,92365,Ġparalysis
127,84,0.59375,13,.
128,85,0.59375,3165,ĠWhen
129,86,0.38671875,6083,Ġindividuals
130,87,0.380859375,449,Ġare
131,88,0.84375,13596,Ġconstantly
134,89,0.6953125,268,Ġthe
136,90,0.55859375,301,Ġand
138,91,0.875,300,Ġof
135,92,0.609375,4529,Ġpain
137,93,0.859375,15465,Ġsuffering
132,94,0.609375,15101,Ġexposed
133,95,1.0,297,Ġto
139,96,1.0,3507,Ġothers
140,97,0.87890625,11,","
143,98,0.67578125,3588,Ġbecome
141,99,0.91796875,792,Ġthey
142,100,0.73046875,1115,Ġmay
144,101,0.54296875,37213,Ġoverwhelmed
145,102,0.8671875,301,Ġand
146,103,0.23046875,13009,Ġunable
147,104,1.0,297,Ġto
149,105,0.400390625,10930,Ġeffectively
150,106,0.94140625,13,.
151,107,0.7421875,1077,ĠThis
152,108,0.55859375,560,Ġcan
153,109,0.76171875,1490,Ġresult
154,110,1.0,296,Ġin
148,111,0.4453125,6466,Ġrespond
155,112,0.494140625,12282,Ġemotional
156,113,0.921875,63305,Ġexhaustion
157,114,0.58984375,11,","
160,115,0.4296875,301,Ġand
159,116,0.94140625,11,","
161,117,0.53515625,259,Ġa
163,118,0.6328125,300,Ġof
162,119,0.41015625,5209,Ġsense
164,120,0.78515625,56401,Ġhelpless
165,121,1.0,1866,ness
166,122,0.5078125,13,.
170,123,0.322265625,11,","
169,124,0.91015625,4501,Ġcases
167,125,1.0,718,ĠIn
168,126,0.9453125,15469,Ġextreme
158,127,0.26171875,30151,Ġfatigue
172,128,0.70703125,560,Ġcan
171,129,0.6796875,403,Ġit
174,130,0.546875,297,Ġto
173,131,0.99609375,2051,Ġlead
176,132,0.5625,11,","
177,133,0.7109375,1387,Ġwhere
178,134,0.5546875,6083,Ġindividuals
179,135,0.6484375,3588,Ġbecome
175,136,0.62109375,92365,Ġparalysis
181,137,0.43359375,297,Ġto
180,138,0.92578125,13009,Ġunable
183,139,0.80859375,3725,Ġaction
182,140,1.0,1801,Ġtake
184,141,0.390625,297,Ġto
185,142,0.48828125,1376,Ġhelp
186,143,0.78515625,3507,Ġothers
187,144,0.373046875,13,.
188,145,0.74609375,198,Ċ
189,146,0.984375,198,Ċ
191,147,0.337890625,13728,athy
190,148,0.99609375,21310,Emp
192,149,0.83984375,2094,Ġwithout
193,150,0.98046875,13010,Ġlimits
194,151,0.671875,560,Ġcan
195,152,0.84375,911,Ġalso
197,153,0.4375,297,Ġto
196,154,0.9609375,2051,Ġlead
198,155,0.5390625,259,Ġa
200,156,0.78125,300,Ġof
199,157,0.5546875,6446,Ġlack
202,158,0.296875,301,Ġand
201,159,0.1689453125,20209,Ġboundaries
203,160,0.361328125,1346,Ġself
204,161,0.83984375,34368,-care
206,162,0.625,3165,ĠWhen
205,163,1.0,13,.
207,164,0.97265625,6083,Ġindividuals
208,165,0.294921875,41672,Ġprioritize
209,166,0.5859375,268,Ġthe
212,167,0.875,3507,Ġothers
211,168,1.0,300,Ġof
210,169,0.98046875,3393,Ġneeds
214,170,0.984375,802,Ġtheir
215,171,1.0,1645,Ġown
213,172,0.8515625,997,Ġover
217,173,0.70703125,792,Ġthey
216,174,1.0,11,","
218,175,0.98046875,1115,Ġmay
219,176,0.859375,33062,Ġneglect
220,177,0.96875,802,Ġtheir
221,178,0.9296875,1645,Ġown
222,179,0.5234375,12282,Ġemotional
223,180,0.90234375,301,Ġand
224,181,0.8828125,5896,Ġphysical
227,182,0.51171875,13,.
225,183,1.0,1367,Ġwell
226,184,1.0,23808,-being
228,185,0.98828125,1077,ĠThis
229,186,0.9375,560,Ġcan
230,187,0.55078125,1490,Ġresult
231,188,1.0,296,Ġin
232,189,0.58984375,259,Ġa
233,190,0.5546875,10448,Ġcycle
234,191,0.96875,300,Ġof
236,192,0.41796875,301,Ġand
238,193,0.68359375,11,","
239,194,0.59375,1387,Ġwhere
240,195,0.8203125,6083,Ġindividuals
242,196,0.49609375,13009,Ġunable
243,197,1.0,297,Ġto
241,198,0.7421875,449,Ġare
235,199,0.6875,77965,Ġburnout
245,200,0.1962890625,10930,Ġeffectively
244,201,0.61328125,6466,Ġrespond
246,202,0.953125,297,Ġto
247,203,0.84375,268,Ġthe
248,204,0.90625,3393,Ġneeds
249,205,0.99609375,300,Ġof
250,206,0.98046875,3507,Ġothers
237,207,0.1953125,63305,Ġexhaustion
251,208,0.8125,13,.
252,209,0.984375,198,Ċ
253,210,0.984375,198,Ċ
260,211,0.6015625,37887,Ġempathy
259,212,0.98828125,2064,less
258,213,1.0,5987,Ġbound
254,214,0.99609375,846,In
256,215,1.0,11,","
257,216,1.0,1816,Ġwhile
255,217,0.8203125,13445,Ġconclusion
261,218,0.5546875,560,Ġcan
262,219,0.53125,367,Ġbe
263,220,0.9375,259,Ġa
264,221,0.92578125,8136,Ġpowerful
266,222,0.94921875,352,Ġfor
265,223,0.51953125,3653,Ġtool
267,224,0.9765625,17721,Ġmoral
268,225,1.0,6555,Ġprogress
269,226,0.98828125,11,","
270,227,0.98046875,403,Ġit
271,228,0.8125,341,Ġis
273,229,0.9453125,297,Ġto
272,230,0.7890625,2489,Ġimportant
274,231,0.65234375,13567,Ġrecognize
276,232,0.40234375,11738,Ġlimitations
