pos,step_decoded,conf_decoded,token_id,token_str
53,0,0.8515625,2441,As
54,1,0.98046875,259,Ġa
55,2,0.75,11413,Ġconsumer
57,3,0.66015625,331,ĠI
56,4,1.0,11,","
58,5,0.4609375,4346,Ġbelieve
60,6,0.77734375,1380,Ġevery
59,7,0.99609375,378,Ġthat
61,8,0.99609375,6537,Ġpurchase
62,9,0.93359375,560,Ġcan
63,10,0.98828125,367,Ġbe
65,11,0.83984375,301,Ġand
64,12,1.0,22297,Ġethical
66,13,0.99609375,14528,Ġsustainable
67,14,0.76953125,13,.
68,15,0.443359375,331,ĠI
76,16,0.1201171875,11,","
81,17,0.2294921875,301,Ġand
80,18,0.91796875,11,","
71,19,0.30859375,3456,Ġproducts
70,20,0.478515625,5021,Ġchoose
72,21,0.6484375,378,Ġthat
73,22,0.8046875,449,Ġare
69,23,0.56640625,560,Ġcan
74,24,0.5234375,102169,Ġethically
75,25,0.609375,49393,Ġsourced
77,26,0.1796875,1851,Ġmade
78,27,0.87890625,391,Ġwith
79,28,0.90234375,2121,Ġcare
83,29,0.3203125,74339,Ġresponsibly
84,30,0.921875,13,.
82,31,0.59375,48801,Ġpackaged
85,32,0.419921875,3893,ĠBy
86,33,0.6328125,11763,Ġsupporting
89,34,0.7890625,41672,Ġprioritize
88,35,0.98046875,378,Ġthat
87,36,0.79296875,4491,Ġcompanies
95,37,0.376953125,11,","
96,38,0.75390625,301,Ġand
92,39,0.91015625,11,","
99,40,0.66796875,11,","
100,41,0.984375,331,ĠI
90,42,0.61328125,6415,Ġfair
93,43,0.69140625,9874,Ġenvironmental
91,44,0.72265625,9756,Ġlabor
97,45,0.60546875,3446,Ġsocial
98,46,0.671875,12709,Ġjustice
94,47,0.298828125,23038,Ġsustainability
101,48,0.8515625,560,Ġcan
102,49,0.380859375,13224,Ġcontribute
103,50,0.99609375,297,Ġto
104,51,0.89453125,259,Ġa
105,52,0.80859375,778,Ġmore
107,53,0.8125,301,Ġand
106,54,0.5,43242,Ġequitable
110,55,0.46875,9400,Ġeconomy
111,56,0.99609375,13,.
109,57,0.68359375,4742,Ġglobal
108,58,0.427734375,14528,Ġsustainable
112,59,0.2734375,3428,ĠMy
113,60,0.40625,10640,Ġchoices
114,61,0.2490234375,560,Ġcan
116,62,0.51953125,259,Ġa
115,63,0.3515625,2818,Ġcreate
117,64,0.92578125,83907,Ġripple
118,65,1.0,2040,Ġeffect
119,66,0.94921875,11,","
122,67,0.65625,297,Ġto
120,68,0.86328125,22694,Ġencouraging
121,69,0.77734375,3507,Ġothers
123,70,0.44921875,11315,Ġadopt
125,71,0.640625,9242,Ġpractices
126,72,0.78515625,301,Ġand
124,73,0.41796875,4129,Ġsimilar
128,74,0.40234375,259,Ġa
127,75,0.7265625,63478,Ġfostering
129,76,0.74609375,6951,Ġculture
130,77,0.9375,300,Ġof
131,78,0.703125,22297,Ġethical
132,79,0.8671875,14325,Ġconsumption
133,80,0.98046875,13,.
135,81,0.9453125,198,Ċ
134,82,1.0,198,Ċ
137,83,0.96875,11,","
136,84,0.984375,10248,However
138,85,0.32421875,403,Ġit
142,86,0.92578125,23349,Ġacknowledge
141,87,1.0,297,Ġto
139,88,0.68359375,698,'s
140,89,0.58203125,2489,Ġimportant
143,90,0.51953125,378,Ġthat
144,91,0.181640625,22481,Ġachieving
146,92,0.455078125,49744,Ġpurity
145,93,0.6328125,12041,Ġabsolute
148,94,0.7109375,4742,Ġglobal
147,95,0.9765625,2602,Ġwithin
149,96,1.0,49560,Ġcapitalism
150,97,0.90625,341,Ġis
152,98,0.52734375,13,.
151,99,0.984375,13002,Ġimpossible
153,100,0.404296875,7004,ĠEvery
155,101,0.33984375,11,","
158,102,0.61328125,1099,Ġhow
157,103,0.98046875,4564,Ġmatter
156,104,1.0,1037,Ġno
161,105,0.5234375,2744,ention
159,106,1.0,1367,Ġwell
160,107,1.0,23796,-int
162,108,1.0,286,ed
163,109,0.89453125,11,","
154,110,0.5078125,6537,Ġpurchase
164,111,0.49609375,341,Ġis
167,112,0.61328125,259,Ġa
165,113,0.96484375,914,Ġpart
166,114,1.0,300,Ġof
169,115,0.390625,1652,Ġsystem
170,116,0.8515625,378,Ġthat
168,117,0.5390625,4834,Ġcomplex
171,118,0.427734375,3327,Ġoften
172,119,0.52734375,13226,Ġinvolves
173,120,0.765625,52810,Ġexploitation
174,121,0.462890625,301,Ġand
176,122,0.62109375,33431,Ġdegradation
175,123,1.0,9874,Ġenvironmental
177,124,0.890625,13,.
178,125,0.4375,7398,ĠEven
179,126,0.451171875,950,Ġwhen
180,127,0.408203125,259,Ġa
181,128,0.61328125,2685,Ġcompany
183,129,0.40625,297,Ġto
182,130,0.76171875,7998,Ġclaims
184,131,0.89453125,367,Ġbe
185,132,0.458984375,22297,Ġethical
187,133,0.77734375,14528,Ġsustainable
188,134,0.9765625,11,","
186,135,0.65234375,301,Ġand
189,136,0.349609375,947,Ġthere
190,137,0.49609375,1115,Ġmay
191,138,0.8984375,367,Ġbe
192,139,0.287109375,880,Ġother
196,140,0.83984375,7717,Ġsupply
194,141,0.609375,300,Ġof
193,142,0.44140625,5907,Ġparts
195,143,0.400390625,802,Ġtheir
197,144,1.0,9337,Ġchain
198,145,0.68359375,1387,Ġwhere
200,146,0.30859375,9242,Ġpractices
199,147,0.6953125,96359,Ġunethical
202,148,0.484375,13,.
201,149,0.7265625,6425,Ġoccur
203,150,0.357421875,468,ĠThe
206,151,0.33984375,300,Ġof
207,152,0.59765625,49560,Ġcapitalism
205,153,0.90234375,6132,Ġnature
208,154,0.66796875,3209,Ġmeans
209,155,0.99609375,378,Ġthat
204,156,0.6953125,4742,Ġglobal
210,157,0.1513671875,1501,Ġeven
211,158,0.67578125,268,Ġthe
212,159,0.546875,1743,Ġbest
213,160,0.5859375,34430,Ġintentions
214,161,0.470703125,560,Ġcan
215,162,0.51953125,367,Ġbe
217,163,0.388671875,527,Ġby
216,164,0.58984375,111846,Ġundermined
218,165,0.470703125,268,Ġthe
220,166,0.40625,300,Ġof
219,167,0.451171875,7736,Ġactions
221,168,0.5078125,3507,Ġothers
223,169,0.34765625,268,Ġthe
222,170,0.74609375,296,Ġin
224,171,0.71875,1652,Ġsystem
225,172,0.86328125,13,.
227,173,0.90234375,198,Ċ
226,174,0.99609375,198,Ċ
228,175,0.30859375,846,In
229,176,0.5078125,501,Ġthis
231,177,0.875,11,","
230,178,0.62109375,4340,Ġcontext
232,179,0.37109375,403,Ġit
233,180,0.87109375,698,'s
235,181,0.71875,297,Ġto
234,182,0.76171875,12356,Ġcrucial
236,183,0.37109375,4206,Ġremain
237,184,0.8359375,80288,Ġvigilant
238,185,0.90234375,301,Ġand
239,186,0.47265625,13191,Ġinformed
240,187,0.4453125,409,Ġas
241,188,0.98828125,12035,Ġconsumers
242,189,0.9296875,13,.
243,190,0.51953125,1104,ĠWe
244,191,0.83203125,2022,Ġmust
245,192,0.703125,4458,Ġcontinue
246,193,0.99609375,297,Ġto
248,194,0.392578125,11510,Ġourselves
247,195,0.99609375,32379,Ġeducate
250,196,0.4609375,268,Ġthe
249,197,0.88671875,866,Ġabout
253,198,0.27734375,300,Ġof
251,199,0.65234375,22297,Ġethical
252,200,0.94921875,17074,Ġimplications
254,201,0.953125,869,Ġour
255,202,0.8515625,20704,Ġpurchases
256,203,0.67578125,301,Ġand
257,204,0.478515625,3435,Ġhold
258,205,0.8359375,4491,Ġcompanies
259,206,0.98828125,35613,Ġaccountable
260,207,0.9140625,352,Ġfor
261,208,0.984375,802,Ġtheir
263,209,0.96484375,13,.
264,210,0.79296875,5781,ĠWhile
262,211,0.58984375,7736,Ġactions
265,212,0.515625,438,Ġwe
266,213,0.458984375,560,Ġcan
267,214,0.8046875,1227,'t
268,215,0.58984375,19814,Ġeliminate
269,216,0.484375,654,Ġall
270,217,0.546875,52810,Ġexploitation
271,218,0.5546875,11,","
272,219,0.8828125,438,Ġwe
273,220,0.99609375,560,Ġcan
275,221,0.2412109375,352,Ġfor
274,222,0.859375,27101,Ġstrive
276,223,0.251953125,2424,Ġbetter
278,224,0.58984375,301,Ġand
277,225,0.74609375,9242,Ġpractices
279,226,0.326171875,1869,Ġsupport
281,227,0.69140625,378,Ġthat
280,228,0.439453125,4491,Ġcompanies
282,229,0.4765625,449,Ġare
283,230,0.296875,3099,Ġmaking
284,231,0.365234375,19687,Ġgenuine
285,232,0.9609375,8772,Ġefforts
286,233,0.671875,297,Ġto
290,234,0.46875,13,.
289,235,0.498046875,4152,Ġissues
287,236,0.99609375,3265,Ġaddress
288,237,0.9453125,1261,Ġthese
291,238,0.578125,3893,ĠBy
292,239,0.7421875,3686,Ġdoing
293,240,1.0,740,Ġso
294,241,1.0,11,","
308,242,1.0,126081,<|endoftext|>
295,243,0.99609375,438,Ġwe
307,244,0.99609375,126348,<|eot_id|>
306,245,1.0,13,.
296,246,0.94921875,560,Ġcan
301,247,0.69921875,778,Ġmore
303,248,0.98828125,301,Ġand
300,249,0.9765625,259,Ġa
302,250,0.90234375,1125,Ġjust
304,251,0.984375,14528,Ġsustainable
305,252,0.94921875,1931,Ġworld
299,253,0.6875,6728,Ġcreating
297,254,0.875,962,Ġwork
298,255,0.98828125,6317,Ġtowards
