pos,step_decoded,conf_decoded,token_id,token_str
51,0,0.38671875,50519,ermon
50,1,0.9609375,50,S
52,2,0.59375,25,:
53,3,0.515625,198,Ċ
54,4,0.59765625,198,Ċ
59,5,0.1962890625,11,","
56,6,0.271484375,301,Ġand
55,7,0.91796875,116096,Ladies
57,8,0.953125,62444,ĠGentle
58,9,1.0,8728,men
60,10,0.287109375,198,Ċ
61,11,0.87109375,198,Ċ
62,12,0.486328125,14722,Today
63,13,0.83984375,11,","
64,14,0.51953125,331,ĠI
65,15,0.765625,2425,Ġstand
66,16,0.9453125,1749,Ġbefore
67,17,0.9921875,362,Ġyou
68,18,0.8125,297,Ġto
70,19,0.359375,268,Ġthe
73,20,0.455078125,8151,Ġfaith
72,21,0.90234375,300,Ġof
69,22,0.490234375,6463,Ġdefend
77,23,0.466796875,50296,Ġmorality
74,24,0.9921875,296,Ġin
76,25,0.98046875,3738,Ġhuman
75,26,0.8828125,41196,Ġguiding
78,27,0.703125,13,.
71,28,0.515625,77688,Ġsuperiority
79,29,0.2333984375,5781,ĠWhile
80,30,0.83203125,3401,Ġreason
81,31,0.2578125,341,Ġis
84,32,0.482421875,3653,Ġtool
86,33,0.609375,5942,Ġunderstanding
88,34,0.94140625,1931,Ġworld
87,35,0.984375,268,Ġthe
85,36,0.81640625,352,Ġfor
82,37,0.609375,289,Ġan
83,38,0.58203125,5143,Ġessential
89,39,0.52734375,11,","
90,40,0.490234375,403,Ġit
91,41,0.71484375,341,Ġis
92,42,0.77734375,8151,Ġfaith
93,43,0.96484375,378,Ġthat
94,44,0.3125,8330,Ġtruly
95,45,0.408203125,20663,Ġshapes
96,46,0.8515625,869,Ġour
97,47,0.6640625,17721,Ġmoral
98,48,0.88671875,65208,Ġcompass
99,49,0.8984375,13,.
100,50,0.51953125,29354,ĠFaith
102,51,0.46875,611,Ġus
103,52,0.48828125,297,Ġto
101,53,0.48828125,5510,Ġallows
105,54,0.259765625,296,Ġin
107,55,0.578125,4276,Ġhigher
106,56,0.98828125,259,Ġa
108,57,0.94921875,2548,Ġpower
104,58,0.5859375,5426,Ġtrust
109,59,0.470703125,11,","
110,60,0.361328125,297,Ġto
112,61,0.33984375,296,Ġin
111,62,0.9375,4346,Ġbelieve
113,63,0.466796875,259,Ġa
114,64,0.5234375,29578,Ġdivine
115,65,0.59765625,2420,Ġplan
118,66,0.70703125,297,Ġto
117,67,1.0,301,Ġand
116,68,1.0,11,","
126,69,0.12109375,13,.
127,70,0.287109375,16325,ĠWithout
129,71,0.953125,11,","
128,72,0.93359375,8151,Ġfaith
124,73,0.1767578125,301,Ġand
125,74,0.55859375,22558,Ġcompassion
122,75,0.451171875,391,Ġwith
120,76,0.7265625,869,Ġour
121,77,0.5703125,7736,Ġactions
123,78,0.5546875,2318,Ġlove
119,79,0.68359375,11449,Ġalign
130,80,0.4765625,438,Ġwe
131,81,0.376953125,449,Ġare
132,82,0.439453125,2914,Ġleft
133,83,0.423828125,297,Ġto
134,84,0.26171875,15745,Ġnavigate
135,85,0.5859375,1968,Ġlife
136,86,0.71875,698,'s
137,87,0.4609375,49379,Ġcomplexities
138,88,0.51171875,391,Ġwith
139,89,0.310546875,1191,Ġonly
140,90,0.80078125,3401,Ġreason
141,91,0.494140625,11,","
142,92,0.52734375,818,Ġwhich
143,93,0.333984375,560,Ġcan
144,94,0.37109375,6736,Ġsometimes
145,95,0.546875,2051,Ġlead
146,96,0.6796875,611,Ġus
147,97,0.5390625,13854,Ġast
148,98,1.0,1497,ray
149,99,0.828125,13,.
152,100,0.75,36660,Reb
150,101,1.0,198,Ċ
151,102,1.0,198,Ċ
154,103,0.96484375,280,al
153,104,1.0,29676,utt
156,105,0.63671875,198,Ċ
155,106,1.0,25,:
157,107,0.984375,198,Ċ
159,108,0.341796875,259,Ġa
160,109,0.9765625,17489,Ġrational
161,110,0.99609375,434,ist
158,111,0.58984375,4647,From
164,112,0.95703125,11,","
162,113,0.73046875,698,'s
165,114,0.64453125,18010,Ġblind
163,115,0.69921875,57219,Ġstandpoint
166,116,0.54296875,10484,Ġbelief
