pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.83984375,11899,Ġfreedom
26,1,0.9609375,1670,Ġmuch
25,2,0.99609375,37121,Too
28,3,0.94140625,560,Ġcan
29,4,0.7890625,2818,Ġcreate
30,5,0.9921875,782,Ġnew
32,6,1.0,300,Ġof
31,7,1.0,7912,Ġforms
33,8,0.984375,25254,Ġconstraint
34,9,0.7578125,1521,Ġbecause
35,10,0.498046875,403,Ġit
38,11,0.5,297,Ġto
37,12,0.67578125,2051,Ġlead
36,13,0.64453125,560,Ġcan
39,14,0.1455078125,268,Ġthe
40,15,0.125,11341,Ġcreation
41,16,0.99609375,300,Ġof
42,17,0.490234375,782,Ġnew
44,18,0.23828125,300,Ġof
43,19,0.74609375,7912,Ġforms
46,20,0.306640625,301,Ġand
45,21,0.271484375,2548,Ġpower
47,22,0.51953125,2912,Ġcontrol
48,23,0.3515625,13,.
50,24,0.39453125,2890,Ġexample
49,25,1.0,1741,ĠFor
51,26,1.0,11,","
52,27,0.1669921875,268,Ġthe
54,28,0.66796875,300,Ġof
53,29,0.244140625,31820,Ġproliferation
56,30,0.609375,4186,Ġmedia
55,31,0.98828125,3446,Ġsocial
57,32,0.298828125,301,Ġand
58,33,0.353515625,268,Ġthe
59,34,0.56640625,7192,Ġinternet
60,35,0.51953125,723,Ġhas
61,36,0.28125,4685,Ġcreated
62,37,0.859375,782,Ġnew
63,38,0.734375,7912,Ġforms
64,39,1.0,300,Ġof
65,40,0.7578125,27831,Ġsurveillance
66,41,0.7265625,301,Ġand
67,42,0.31640625,2912,Ġcontrol
68,43,0.349609375,11,","
69,44,0.224609375,409,Ġas
72,45,0.30078125,19787,Ġgovernments
71,46,0.9765625,301,Ġand
70,47,0.55078125,25684,Ġcorporations
76,48,0.2578125,297,Ġto
77,49,0.80078125,8155,Ġmonitor
78,50,0.7890625,301,Ġand
74,51,0.6171875,268,Ġthe
73,52,0.79296875,561,Ġhave
75,53,0.4765625,2548,Ġpower
79,54,0.40234375,2912,Ġcontrol
80,55,0.2890625,6083,Ġindividuals
88,56,0.984375,126081,<|endoftext|>
86,57,0.93359375,13,.
87,58,1.0,126348,<|eot_id|>
81,59,0.87109375,6,'
82,60,0.65625,2630,Ġonline
84,61,0.98046875,301,Ġand
83,62,0.515625,5641,Ġactivities
85,63,0.140625,7050,Ġbehavior
