step,pos,ratio_mean,ratio_last4,ratio_last,conf
0,22,1.0,1.0,1.0,0.6171875
0,23,1.0,1.0,1.0,0.7421875
0,24,1.0,1.0,1.0,0.6328125
0,25,1.0,1.0,1.0,0.59765625
0,26,1.0,1.0,1.0,0.828125
0,27,1.0,1.0,1.0,0.6875
0,28,1.0,1.0,1.0,0.49609375
0,29,1.0,1.0,1.0,0.25390625
0,30,1.0,1.0,1.0,-inf
0,31,1.0,1.0,1.0,-inf
0,32,1.0,1.0,1.0,-inf
0,33,1.0,1.0,1.0,-inf
0,34,1.0,1.0,1.0,-inf
0,35,1.0,1.0,1.0,-inf
0,36,1.0,1.0,1.0,-inf
0,37,1.0,1.0,1.0,-inf
0,38,1.0,1.0,1.0,-inf
0,39,1.0,1.0,1.0,-inf
0,40,1.0,1.0,1.0,-inf
0,41,1.0,1.0,1.0,-inf
0,42,1.0,1.0,1.0,-inf
0,43,1.0,1.0,1.0,-inf
0,44,1.0,1.0,1.0,-inf
0,45,1.0,1.0,1.0,-inf
0,46,1.0,1.0,1.0,-inf
0,47,1.0,1.0,1.0,-inf
0,48,1.0,1.0,1.0,-inf
0,49,1.0,1.0,1.0,-inf
0,50,1.0,1.0,1.0,-inf
0,51,1.0,1.0,1.0,-inf
0,52,1.0,1.0,1.0,-inf
0,53,1.0,1.0,1.0,-inf
0,54,1.0,1.0,1.0,-inf
0,55,1.0,1.0,1.0,-inf
0,56,1.0,1.0,1.0,-inf
0,57,1.0,1.0,1.0,-inf
0,58,1.0,1.0,1.0,-inf
0,59,1.0,1.0,1.0,-inf
0,60,1.0,1.0,1.0,-inf
0,61,1.0,1.0,1.0,-inf
0,62,1.0,1.0,1.0,-inf
0,63,1.0,1.0,1.0,-inf
0,64,1.0,1.0,1.0,-inf
0,65,1.0,1.0,1.0,-inf
0,66,1.0,1.0,1.0,-inf
0,67,1.0,1.0,1.0,-inf
0,68,1.0,1.0,1.0,-inf
0,69,1.0,1.0,1.0,-inf
0,70,1.0,1.0,1.0,-inf
0,71,1.0,1.0,1.0,-inf
0,72,1.0,1.0,1.0,-inf
0,73,1.0,1.0,1.0,-inf
0,74,1.0,1.0,1.0,-inf
0,75,1.0,1.0,1.0,-inf
0,76,1.0,1.0,1.0,-inf
0,77,1.0,1.0,1.0,-inf
0,78,1.0,1.0,1.0,-inf
0,79,1.0,1.0,1.0,-inf
0,80,1.0,1.0,1.0,-inf
0,81,1.0,1.0,1.0,-inf
0,82,1.0,1.0,1.0,-inf
0,83,1.0,1.0,1.0,-inf
0,84,1.0,1.0,1.0,-inf
0,85,1.0,1.0,1.0,-inf
1,22,0.96875,0.98046875,0.984375,0.95703125
1,23,0.95703125,0.97265625,0.9765625,0.984375
1,24,0.9375,0.9609375,0.97265625,0.84765625
