pos,step_decoded,conf_decoded,token_id,token_str
23,0,0.369140625,49185,Imagine
24,1,0.4375,259,Ġa
26,2,0.6015625,1387,Ġwhere
25,3,0.90234375,6214,Ġsituation
27,4,0.60546875,362,Ġyou
28,5,0.37109375,449,Ġare
30,6,0.3125,391,Ġwith
29,7,0.93359375,16603,Ġfaced
31,8,0.375,259,Ġa
33,9,0.302734375,53502,Ġdilemma
32,10,0.890625,17721,Ġmoral
34,11,0.376953125,13,.
35,12,0.48046875,3912,ĠOne
36,13,0.609375,3917,Ġoption
37,14,0.734375,341,Ġis
38,15,0.9375,297,Ġto
40,16,0.333984375,259,Ġa
39,17,0.1884765625,1376,Ġhelp
41,18,0.3828125,2684,Ġfriend
42,19,0.53515625,901,Ġwho
44,20,0.5625,18538,Ġstruggling
43,21,0.984375,341,Ġis
45,22,0.67578125,391,Ġwith
46,23,0.578125,24585,Ġaddiction
47,24,0.419921875,11,","
48,25,0.400390625,731,Ġbut
50,26,0.2353515625,1115,Ġmay
49,27,0.5625,403,Ġit
51,28,0.291015625,2537,Ġput
52,29,0.458984375,362,Ġyou
53,30,0.470703125,296,Ġin
54,31,0.318359375,8998,Ġdanger
55,32,0.66015625,13,.
57,33,0.9375,880,Ġother
56,34,1.0,468,ĠThe
59,35,0.96484375,341,Ġis
60,36,0.984375,297,Ġto
58,37,0.9375,3917,Ġoption
62,38,0.2041015625,259,Ġa
61,39,0.12255859375,14668,Ġignore
64,40,0.1328125,698,'s
63,41,0.62109375,2684,Ġfriend
66,42,0.2734375,352,Ġfor
67,43,0.90234375,1376,Ġhelp
68,44,0.5,11,","
65,45,0.3046875,69257,Ġcries
69,46,0.23046875,818,Ġwhich
70,47,0.384765625,1115,Ġmay
72,48,0.306640625,297,Ġto
71,49,0.984375,2051,Ġlead
73,50,0.4453125,802,Ġtheir
76,51,0.546875,11090,ĠBoth
75,52,1.0,13,.
77,53,0.63671875,10640,Ġchoices
78,54,0.578125,449,Ġare
74,55,0.58203125,5179,Ġdeath
86,56,0.984375,126081,<|endoftext|>
85,57,0.953125,126348,<|eot_id|>
84,58,0.99609375,13,.
80,59,0.90234375,51747,Ġquestionable
79,60,0.9765625,76066,Ġmorally
81,61,0.83984375,296,Ġin
82,62,0.984375,501,Ġthis
83,63,0.58984375,6214,Ġsituation
