pos,step_decoded,conf_decoded,token_id,token_str
24,0,0.353515625,14959,Rule
25,1,0.89453125,220,Ġ
26,2,0.99609375,16,1
27,3,0.984375,25,:
28,4,0.3515625,1538,ĠIf
29,5,0.515625,403,Ġit
31,6,0.7734375,79993,Ġraining
30,7,0.7421875,341,Ġis
32,8,0.890625,11,","
33,9,0.77734375,1310,Ġthen
37,10,0.79296875,15057,Ġwet
34,11,0.96484375,268,Ġthe
38,12,0.94140625,13,.
36,13,0.859375,341,Ġis
35,14,0.9453125,5090,Ġground
39,15,0.45703125,16865,ĠRule
40,16,1.0,220,Ġ
41,17,1.0,17,2
42,18,0.99609375,25,:
43,19,0.76171875,1538,ĠIf
45,20,0.6484375,5090,Ġground
44,21,1.0,268,Ġthe
46,22,0.99609375,341,Ġis
47,23,0.64453125,15057,Ġwet
48,24,0.99609375,11,","
50,25,0.95703125,403,Ġit
49,26,1.0,1310,Ġthen
52,27,0.92578125,79993,Ġraining
53,28,0.99609375,13,.
51,29,0.984375,341,Ġis
55,30,0.345703125,1307,Ġtwo
54,31,0.91015625,3237,ĠThese
56,32,0.875,6809,Ġrules
59,33,0.76171875,880,Ġother
58,34,1.0,1671,Ġeach
57,35,0.99609375,88550,Ġcontradict
60,36,0.640625,1521,Ġbecause
63,37,0.26953125,5090,Ġground
62,38,0.99609375,268,Ġthe
61,39,0.9375,624,Ġif
64,40,0.984375,341,Ġis
65,41,0.9453125,15057,Ġwet
66,42,0.73828125,11,","
67,43,0.625,403,Ġit
69,44,0.5,526,Ġnot
70,45,0.78125,13241,Ġnecessarily
68,46,0.828125,1543,Ġdoes
71,47,0.96484375,2952,Ġmean
75,48,0.7734375,79993,Ġraining
74,49,0.98046875,341,Ġis
72,50,1.0,378,Ġthat
73,51,1.0,403,Ġit
78,52,0.69140625,1402,Ġcould
79,53,0.6796875,367,Ġbe
77,54,0.427734375,403,Ġit
76,55,0.578125,26,;
87,56,0.9921875,126081,<|endoftext|>
85,57,0.953125,13,.
86,58,1.0,126348,<|eot_id|>
80,59,0.5078125,3614,Ġdue
81,60,1.0,297,Ġto
83,61,0.357421875,453,Ġor
82,62,0.5390625,73063,Ġdew
84,63,0.296875,50428,Ġirrigation
