pos,step_decoded,conf_decoded,token_id,token_str
26,0,0.81640625,35509,Ġperfection
25,1,0.96484375,300,Ġof
24,2,0.98828125,32803,Ġpursuit
23,3,1.0,678,The
27,4,0.88671875,560,Ġcan
30,5,0.83984375,6555,Ġprogress
29,6,0.97265625,6690,Ġactual
28,7,0.96875,5301,Ġprevent
31,8,0.91796875,1521,Ġbecause
32,9,0.84765625,403,Ġit
35,10,0.369140625,297,Ġto
34,11,0.451171875,2051,Ġlead
33,12,0.5546875,1115,Ġmay
36,13,0.27734375,289,Ġan
38,14,0.4765625,3476,Ġfocus
37,15,0.5703125,22666,Ġexcessive
39,16,0.99609375,366,Ġon
40,17,0.177734375,22481,Ġachieving
41,18,0.58984375,289,Ġan
44,19,0.69921875,1920,tain
42,20,1.0,832,Ġun
43,21,1.0,265,at
45,22,1.0,600,able
46,23,0.306640625,4811,Ġstandard
47,24,0.60546875,11,","
49,25,0.439453125,1040,Ġthan
48,26,1.0,4571,Ġrather
50,27,0.5625,3099,Ġmaking
51,28,0.50390625,54551,Ġincremental
52,29,0.4375,17292,Ġimprovements
53,30,0.240234375,378,Ġthat
54,31,0.361328125,560,Ġcan
56,32,0.35546875,297,Ġto
55,33,0.984375,2051,Ġlead
59,34,0.59375,13,.
57,35,0.380859375,18707,Ġmeaningful
58,36,0.5703125,6555,Ġprogress
60,37,0.3359375,1077,ĠThis
61,38,0.69921875,560,Ġcan
62,39,0.65625,1490,Ġresult
63,40,1.0,296,Ġin
64,41,0.515625,259,Ġa
66,42,0.5625,300,Ġof
65,43,0.7109375,6446,Ġlack
68,44,0.453125,301,Ġand
69,45,0.43359375,259,Ġa
70,46,0.55078125,8732,Ġfailure
67,47,0.1845703125,19263,Ġmomentum
71,48,0.99609375,297,Ġto
72,49,0.298828125,1253,Ġmake
74,50,0.2255859375,11,","
73,51,0.49609375,6555,Ġprogress
75,52,0.44921875,409,Ġas
76,53,0.46875,268,Ġthe
77,54,0.216796875,5984,Ġgoal
78,55,0.375,300,Ġof
84,56,0.9609375,13,.
85,57,1.0,126348,<|eot_id|>
86,58,1.0,126081,<|endoftext|>
79,59,0.9296875,35509,Ġperfection
80,60,0.3984375,8372,Ġbecomes
81,61,0.34765625,289,Ġan
82,62,0.3515625,74804,Ġunrealistic
83,63,0.2373046875,27383,Ġexpectation
