pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.609375,2890,Ġexample
28,1,0.96875,300,Ġof
29,2,0.9921875,259,Ġa
30,3,0.9921875,3446,Ġsocial
31,4,0.99609375,8457,Ġnorm
32,5,0.98828125,378,Ġthat
33,6,0.86328125,4309,Ġchanges
26,7,0.81640625,5146,One
35,8,0.9921875,366,Ġon
34,9,0.99609375,10315,Ġdepending
37,10,0.99609375,341,Ġis
36,11,1.0,6951,Ġculture
38,12,0.83203125,268,Ġthe
40,13,0.73828125,300,Ġof
39,14,0.640625,1071,Ġuse
41,15,0.2470703125,7795,Ġeye
42,16,0.99609375,3872,Ġcontact
46,17,0.65234375,718,ĠIn
45,18,1.0,13,.
48,19,0.9609375,20712,Ġcultures
49,20,0.98046875,11,","
47,21,0.9765625,971,Ġsome
43,22,0.63671875,2303,Ġduring
44,23,0.71484375,20320,Ġconversations
51,24,0.68359375,7795,Ġeye
52,25,0.99609375,3872,Ġcontact
53,26,0.8203125,341,Ġis
57,27,0.67578125,1710,Ġsign
56,28,0.98828125,259,Ġa
55,29,0.984375,409,Ġas
54,30,0.87109375,4089,Ġseen
50,31,0.451171875,2389,Ġdirect
58,32,1.0,300,Ġof
60,33,0.6328125,301,Ġand
63,34,0.66796875,1816,Ġwhile
62,35,1.0,11,","
64,36,0.98046875,296,Ġin
59,37,0.59765625,3793,Ġrespect
65,38,0.67578125,3507,Ġothers
61,39,0.4140625,10731,Ġconfidence
66,40,0.94921875,11,","
67,41,0.85546875,403,Ġit
69,42,0.625,367,Ġbe
71,43,0.79296875,409,Ġas
68,44,0.7421875,1115,Ġmay
73,45,0.7109375,453,Ġor
72,46,0.51171875,23121,Ġaggressive
70,47,0.400390625,19163,Ġviewed
74,48,0.796875,122306,Ġdisrespectful
75,49,0.78515625,13,.
76,50,0.46875,1077,ĠThis
78,51,0.296875,296,Ġin
77,52,0.5546875,5674,Ġdifference
80,53,0.671875,560,Ġcan
79,54,0.29296875,23558,Ġperception
81,55,0.263671875,6242,Ġaffect
88,56,0.90625,126348,<|eot_id|>
87,57,1.0,13,.
89,58,1.0,126081,<|endoftext|>
83,59,0.5078125,301,Ġand
82,60,0.7421875,7384,Ġcommunication
85,61,0.75390625,1745,Ġbetween
86,62,0.82421875,6083,Ġindividuals
84,63,0.474609375,14210,Ġinteractions
