pos,step_decoded,conf_decoded,token_id,token_str
59,0,0.8828125,259,Ġa
58,1,0.84765625,49185,Imagine
61,2,0.9140625,1387,Ġwhere
60,3,0.9296875,1931,Ġworld
62,4,0.353515625,1380,Ġevery
63,5,0.51953125,5884,Ġtask
64,6,0.89453125,341,Ġis
67,7,0.37109375,18362,Ġprecision
66,8,0.984375,391,Ġwith
68,9,0.59375,11,","
65,10,0.6796875,21863,Ġautomated
69,11,0.40625,12458,ĠAI
70,12,0.435546875,90888,Ġgoverns
71,13,0.55078125,391,Ġwith
73,14,0.310546875,11,","
72,15,0.44140625,20326,Ġwisdom
74,16,1.0,301,Ġand
75,17,0.9140625,1354,Ġdata
77,18,0.443359375,10759,Ġefficiency
76,19,0.9453125,24763,-driven
78,20,0.27734375,34786,Ġreign
79,21,1.0,82,s
80,22,0.99609375,46285,Ġsupreme
81,23,0.93359375,13,.
82,24,0.22265625,718,ĠIn
83,25,0.96875,501,Ġthis
84,26,0.55078125,7714,Ġut
86,27,0.8515625,11,","
85,28,1.0,49044,opia
88,29,0.1953125,449,Ġare
87,30,0.30859375,5677,Ġresources
89,31,0.392578125,29536,Ġoptimized
90,32,0.8046875,11,","
92,33,0.70703125,449,Ġare
94,34,0.671875,11,","
95,35,0.99609375,301,Ġand
93,36,0.65234375,75309,Ġminimized
91,37,0.88671875,9408,Ġerrors
96,38,0.51171875,6555,Ġprogress
97,39,0.84765625,341,Ġis
99,40,0.359375,13,.
98,41,0.310546875,72154,Ġrelentless
101,42,0.2392578125,11,","
100,43,0.69921875,15864,ĠYet
102,44,0.322265625,409,Ġas
103,45,0.69921875,438,Ġwe
105,46,0.181640625,16407,Ġdeeper
104,47,0.95703125,73689,Ġdelve
107,48,0.62109375,501,Ġthis
106,49,0.98046875,1119,Ġinto
110,50,0.4921875,35509,Ġperfection
111,51,0.9921875,11,","
109,52,0.90234375,300,Ġof
108,53,0.84375,10316,Ġvision
112,54,0.5078125,438,Ġwe
