pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.7890625,8631,Ġtend
28,1,1.0,297,Ġto
26,2,0.98046875,16220,People
29,3,0.8984375,5426,Ġtrust
30,4,0.69140625,453,Ġor
31,5,1.0,96590,Ġdistrust
32,6,0.98046875,12308,Ġmachines
33,7,0.83203125,20675,Ġdifferently
35,8,0.96484375,13464,Ġhumans
34,9,0.953125,546,Ġfrom
36,10,0.609375,1521,Ġbecause
37,11,0.443359375,792,Ġthey
38,12,0.2353515625,449,Ġare
40,13,0.11376953125,297,Ġto
39,14,0.23046875,55360,Ġprogrammed
41,15,0.3125,1570,Ġfollow
43,16,0.40625,301,Ġand
42,17,0.427734375,6809,Ġrules
45,18,0.2421875,11,","
47,19,0.419921875,13464,Ġhumans
46,20,0.55859375,14254,Ġwhereas
48,21,0.56640625,449,Ġare
44,22,0.2890625,11170,Ġinstructions
49,23,0.244140625,4112,Ġsubject
50,24,1.0,297,Ġto
51,25,0.578125,17255,Ġemotions
53,26,0.8828125,55953,Ġbiases
52,27,0.77734375,11,","
55,28,0.9453125,301,Ġand
54,29,1.0,11,","
57,30,0.388671875,13,.
56,31,0.376953125,91578,Ġimperfections
58,32,0.37890625,14143,ĠAdditionally
59,33,1.0,11,","
60,34,0.4609375,12308,Ġmachines
61,35,0.3203125,449,Ġare
62,36,0.26171875,3327,Ġoften
64,37,0.498046875,409,Ġas
63,38,0.4921875,4089,Ġseen
65,39,0.1357421875,778,Ġmore
67,40,0.73828125,301,Ġand
69,41,0.4375,11,","
71,42,0.59375,13464,Ġhumans
70,43,0.75,1816,Ġwhile
72,44,0.44140625,449,Ġare
68,45,0.294921875,10544,Ġconsistent
66,46,0.75,12152,Ġreliable
73,47,0.28515625,19163,Ġviewed
74,48,0.96484375,409,Ġas
75,49,0.369140625,778,Ġmore
76,50,0.43359375,49428,Ġunpredictable
77,51,0.7578125,301,Ġand
78,52,0.66796875,34619,Ġprone
79,53,1.0,297,Ġto
81,54,0.455078125,13,.
80,55,0.5390625,9408,Ġerrors
89,56,1.0,126081,<|endoftext|>
83,57,1.0,126081,<|endoftext|>
82,58,1.0,126348,<|eot_id|>
84,59,1.0,126081,<|endoftext|>
85,60,1.0,126081,<|endoftext|>
86,61,1.0,126081,<|endoftext|>
87,62,1.0,126081,<|endoftext|>
88,63,1.0,126081,<|endoftext|>
