pos,step_decoded,conf_decoded,token_id,token_str
22,0,0.9375,2859,Un
23,1,0.99609375,97246,certainty
24,2,0.77734375,560,Ġcan
25,3,0.94140625,367,Ġbe
27,4,0.91796875,352,Ġfor
26,5,0.98046875,5143,Ġessential
28,6,0.9765625,20510,Ġcreativity
29,7,0.6796875,1521,Ġbecause
30,8,0.96875,403,Ġit
33,9,0.2392578125,297,Ġto
32,10,0.6875,6083,Ġindividuals
35,11,0.341796875,5203,Ġoutside
34,12,0.9765625,1699,Ġthink
36,13,0.95703125,268,Ġthe
37,14,0.98828125,4881,Ġbox
31,15,0.3671875,23384,Ġencourages
38,16,0.6796875,301,Ġand
39,17,0.62109375,9070,Ġexplore
40,18,0.80078125,782,Ġnew
42,19,0.64453125,13,.
41,20,0.46484375,19823,Ġpossibilities
43,21,0.37109375,3165,ĠWhen
44,22,0.6640625,16603,Ġfaced
45,23,1.0,391,Ġwith
47,24,0.54296875,11,","
46,25,0.6953125,20259,Ġuncertainty
50,26,0.65625,12545,Ġforced
51,27,1.0,297,Ġto
49,28,0.9921875,449,Ġare
48,29,0.54296875,6083,Ġindividuals
53,30,0.1787109375,802,Ġtheir
52,31,0.453125,7854,Ġchallenge
54,32,0.7734375,24086,Ġassumptions
55,33,0.7734375,301,Ġand
57,34,0.400390625,782,Ġnew
56,35,0.439453125,3117,Ġconsider
58,36,0.5390625,26069,Ġperspectives
59,37,0.5703125,13,.
60,38,0.84765625,1077,ĠThis
61,39,0.515625,560,Ġcan
63,40,0.84375,297,Ġto
62,41,0.98046875,2051,Ġlead
64,42,0.53515625,13590,Ġinnovative
66,43,0.5703125,301,Ġand
65,44,0.48046875,6202,Ġsolutions
68,45,0.53125,5636,Ġideas
69,46,0.4765625,378,Ġthat
67,47,0.3671875,9522,Ġcreative
72,48,0.69140625,561,Ġhave
71,49,0.9765625,526,Ġnot
73,50,0.7890625,1007,Ġbeen
74,51,0.66796875,2917,Ġpossible
70,52,0.4921875,1115,Ġmay
76,53,0.427734375,259,Ġa
75,54,0.93359375,296,Ġin
77,55,0.90234375,778,Ġmore
85,56,0.99609375,126081,<|endoftext|>
83,57,0.77734375,13,.
84,58,1.0,126348,<|eot_id|>
82,59,0.828125,4005,Ġenvironment
79,60,0.490234375,301,Ġand
78,61,0.376953125,46760,Ġpredictable
80,62,0.30078125,1367,Ġwell
81,63,0.6484375,36448,-defined
