pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.66796875,846,In
51,1,0.69921875,11,","
50,2,0.94921875,49044,opia
49,3,1.0,7714,Ġut
48,4,0.921875,4225,Ġperfect
47,5,0.4453125,501,Ġthis
53,6,0.341796875,341,Ġis
52,7,0.5546875,13102,Ġconflict
55,8,0.3046875,13,.
54,9,0.345703125,85062,Ġerased
56,10,0.1357421875,11509,ĠSociety
57,11,0.69921875,341,Ġis
61,12,0.1630859375,11,","
59,13,0.208984375,11,","
58,14,0.3515625,94984,Ġharmonious
60,15,0.158203125,43242,Ġequitable
62,16,0.96875,301,Ġand
63,17,0.37109375,2169,Ġfree
64,18,0.79296875,546,Ġfrom
66,19,0.353515625,13,.
65,20,0.423828125,120928,Ġstrife
67,21,0.208984375,8550,ĠPeople
68,22,0.2890625,3845,Ġlive
69,23,0.60546875,296,Ġin
71,24,0.546875,11,","
70,25,0.66015625,8935,Ġpeace
72,26,0.22265625,301,Ġand
74,27,0.2421875,341,Ġis
73,28,0.486328125,947,Ġthere
75,29,0.77734375,1037,Ġno
77,30,0.267578125,11,","
76,31,0.2236328125,12481,Ġcrime
79,32,0.71484375,11,","
80,33,0.95703125,453,Ġor
82,34,0.7578125,13,.
78,35,0.3515625,13564,Ġviolence
83,36,0.34375,21030,ĠEveryone
84,37,0.478515625,723,Ġhas
85,38,0.765625,2695,Ġaccess
86,39,1.0,297,Ġto
90,40,0.546875,11,","
88,41,0.80859375,11,","
91,42,0.9375,301,Ġand
89,43,0.52734375,12280,Ġhealthcare
87,44,0.96484375,5324,Ġeducation
92,45,0.326171875,5677,Ġresources
93,46,0.3828125,13,.
81,47,0.263671875,22820,Ġdiscrimination
94,48,0.427734375,468,ĠThe
96,49,0.6640625,341,Ġis
95,50,0.7109375,4005,Ġenvironment
98,51,0.6484375,11,","
99,52,0.83203125,301,Ġand
97,53,0.400390625,6139,Ġprotected
101,54,0.31640625,341,Ġis
100,55,0.578125,947,Ġthere
102,56,0.4375,1037,Ġno
104,57,0.37890625,13,.
103,58,0.609375,23616,Ġpollution
106,59,0.2275390625,341,Ġis
105,60,0.4921875,9997,ĠTechnology
107,61,0.7734375,1440,Ġused
108,62,0.57421875,297,Ġto
109,63,0.41015625,9237,Ġsolve
110,64,0.44921875,4581,Ġproblems
111,65,0.421875,301,Ġand
112,66,0.43359375,3948,Ġimprove
113,67,0.34375,1968,Ġlife
114,68,0.466796875,352,Ġfor
116,69,0.80859375,13,.
115,70,0.53125,4919,Ġeveryone
118,71,0.470703125,198,Ċ
117,72,0.77734375,198,Ċ
120,73,0.8203125,11,","
119,74,0.9609375,10248,However
121,75,0.2451171875,501,Ġthis
122,76,0.859375,7714,Ġut
123,77,0.94140625,49044,opia
124,78,0.703125,341,Ġis
125,79,0.39453125,526,Ġnot
126,80,0.65625,4225,Ġperfect
128,81,0.62890625,37244,ĠImper
127,82,1.0,13,.
129,83,0.96484375,119380,fection
130,84,0.921875,341,Ġis
133,85,0.9453125,22007,Ġrefuge
131,86,0.99609375,268,Ġthe
132,87,1.0,1948,Ġlast
134,88,0.99609375,300,Ġof
135,89,1.0,24142,Ġhumanity
136,90,0.8203125,13,.
137,91,0.2041015625,7398,ĠEven
138,92,0.859375,296,Ġin
139,93,0.69140625,259,Ġa
140,94,0.46484375,8448,Ġsociety
141,95,0.6796875,1387,Ġwhere
142,96,0.8671875,13102,Ġconflict
143,97,0.81640625,341,Ġis
145,98,0.93359375,11,","
148,99,0.62890625,2111,Ġstill
147,100,0.625,449,Ġare
146,101,0.76171875,947,Ġthere
144,102,0.498046875,85062,Ġerased
151,103,0.2314453125,91578,Ġimperfections
150,104,0.91796875,301,Ġand
149,105,0.953125,44003,Ġflaws
152,106,0.8203125,13,.
153,107,0.67578125,8550,ĠPeople
154,108,0.5546875,449,Ġare
157,109,0.380859375,11,","
155,110,0.81640625,2111,Ġstill
156,111,0.33203125,54694,Ġflawed
158,112,0.875,301,Ġand
161,113,0.380859375,2111,Ġstill
159,114,0.83203125,947,Ġthere
160,115,0.79296875,449,Ġare
163,116,0.20703125,378,Ġthat
162,117,0.353515625,4581,Ġproblems
166,118,0.609375,367,Ġbe
164,119,0.98046875,1050,Ġneed
165,120,1.0,297,Ġto
168,121,0.984375,13,.
167,122,0.70703125,24572,Ġsolved
169,123,0.58984375,37244,ĠImper
170,124,0.921875,119380,fection
171,125,0.5390625,341,Ġis
172,126,0.390625,1053,Ġwhat
173,127,0.64453125,3524,Ġmakes
175,128,0.63671875,3738,Ġhuman
174,129,0.98046875,611,Ġus
176,130,0.73046875,11,","
177,131,0.9609375,301,Ġand
178,132,0.828125,403,Ġit
179,133,0.7421875,341,Ġis
180,134,0.80078125,1053,Ġwhat
182,135,0.87890625,611,Ġus
183,136,0.84765625,297,Ġto
181,137,0.6484375,20603,Ġdrives
184,138,0.431640625,27101,Ġstrive
185,139,0.96484375,352,Ġfor
187,140,0.6015625,13,.
186,141,0.578125,11937,Ġimprovement
189,142,0.421875,17957,Ġimper
188,143,0.9921875,16325,ĠWithout
190,144,1.0,119380,fection
191,145,1.0,11,","
193,146,0.734375,1017,Ġwould
194,147,0.47265625,367,Ġbe
192,148,0.94140625,947,Ġthere
195,149,0.96875,1037,Ġno
197,150,0.5703125,352,Ġfor
198,151,0.498046875,5003,Ġgrowth
201,152,0.625,13,.
199,153,0.67578125,453,Ġor
200,154,0.7265625,6555,Ġprogress
202,155,0.71875,198,Ċ
203,156,0.98828125,198,Ċ
196,157,0.7109375,3284,Ġroom
204,158,0.44921875,846,In
205,159,0.29296875,259,Ġa
209,160,0.57421875,11,","
207,161,0.78515625,7714,Ġut
208,162,1.0,49044,opia
206,163,0.98046875,4225,Ġperfect
211,164,0.400390625,1017,Ġwould
212,165,0.80078125,367,Ġbe
210,166,0.828125,947,Ġthere
213,167,0.92578125,1037,Ġno
215,168,0.52734375,352,Ġfor
214,169,0.5625,1050,Ġneed
217,170,0.46484375,453,Ġor
219,171,0.67578125,13,.
221,172,0.4921875,1017,Ġwould
220,173,0.408203125,8550,ĠPeople
218,174,0.2041015625,13934,Ġinnovation
216,175,0.6953125,2712,Ġchange
222,176,0.458984375,526,Ġnot
223,177,0.72265625,367,Ġbe
225,178,0.91796875,297,Ġto
224,179,0.765625,23509,Ġmotivated
226,180,0.216796875,962,Ġwork
227,181,0.734375,6317,Ġtowards
229,182,0.65625,2424,Ġbetter
228,183,0.96484375,259,Ġa
230,184,0.90234375,3770,Ġfuture
231,185,0.43359375,13,.
232,186,0.7578125,37244,ĠImper
233,187,0.9765625,119380,fection
234,188,0.80078125,341,Ġis
235,189,0.85546875,1053,Ġwhat
237,190,0.921875,611,Ġus
236,191,0.25390625,13459,Ġkeeps
239,192,0.416015625,301,Ġand
241,193,0.58984375,611,Ġus
242,194,0.80859375,297,Ġto
240,195,0.2890625,20603,Ġdrives
246,196,0.283203125,13,.
248,197,0.69140625,17957,Ġimper
249,198,1.0,119380,fection
247,199,0.9765625,16325,ĠWithout
250,200,1.0,11,","
252,201,0.875,1017,Ġwould
244,202,0.44921875,352,Ġfor
243,203,0.9453125,27101,Ġstrive
245,204,0.490234375,28767,Ġexcellence
253,205,0.4140625,367,Ġbe
251,206,0.8515625,947,Ġthere
238,207,0.1865234375,44390,Ġgrounded
254,208,0.96484375,1037,Ġno
256,209,0.484375,352,Ġfor
255,210,0.6640625,3284,Ġroom
258,211,0.5859375,453,Ġor
260,212,0.80078125,13,.
262,213,0.65234375,198,Ċ
261,214,0.98046875,198,Ċ
257,215,0.47265625,20510,Ġcreativity
264,216,0.44140625,13445,Ġconclusion
263,217,1.0,846,In
265,218,1.0,11,","
266,219,0.76953125,1816,Ġwhile
269,220,0.85546875,7714,Ġut
268,221,0.9609375,4225,Ġperfect
267,222,0.93359375,259,Ġa
259,223,0.345703125,13934,Ġinnovation
270,224,1.0,49044,opia
272,225,0.7265625,13102,Ġconflict
274,226,0.9453125,85062,Ġerased
273,227,1.0,341,Ġis
271,228,1.0,1387,Ġwhere
275,229,0.68359375,1115,Ġmay
276,230,0.65625,4492,Ġseem
277,231,0.671875,9019,Ġideal
278,232,0.9453125,11,","
279,233,0.53125,17957,Ġimper
280,234,1.0,119380,fection
281,235,0.98046875,341,Ġis
282,236,0.8125,268,Ġthe
284,237,0.9921875,22007,Ġrefuge
283,238,1.0,1948,Ġlast
285,239,0.99609375,300,Ġof
286,240,1.0,24142,Ġhumanity
301,241,0.9921875,126081,<|endoftext|>
300,242,0.9921875,126348,<|eot_id|>
299,243,1.0,13,.
287,244,0.55859375,13,.
288,245,0.58203125,963,ĠIt
290,246,0.5625,611,Ġus
294,247,0.92578125,611,Ġus
292,248,1.0,301,Ġand
296,249,0.96875,27101,Ġstrive
295,250,1.0,297,Ġto
297,251,0.99609375,352,Ġfor
293,252,0.97265625,20603,Ġdrives
289,253,0.9375,13459,Ġkeeps
291,254,0.8359375,44390,Ġgrounded
298,255,0.609375,11937,Ġimprovement
