pos,step_decoded,conf_decoded,token_id,token_str
42,0,0.59765625,9934,ĠSupport
40,1,0.94140625,25857,Subject
41,2,1.0,25,:
43,3,0.75,16459,ĠRequest
44,4,0.578125,25,:
48,5,0.37890625,45693,ĠBeta
46,6,0.96484375,2618,uck
45,7,1.0,735,ĠSt
47,8,0.9921875,296,Ġin
49,9,0.97265625,27051,ĠTesting
51,10,0.609375,198,Ċ
52,11,0.609375,27617,Dear
50,12,1.0,198,Ċ
54,13,0.65234375,9934,ĠSupport
55,14,0.85546875,9751,ĠTeam
53,15,0.341796875,14704,ĠCloud
56,16,0.9921875,11,","
57,17,0.99609375,198,Ċ
58,18,0.98828125,198,Ċ
59,19,0.8046875,40,I
63,20,0.66796875,14684,Ġfinds
61,21,1.0,501,Ġthis
60,22,0.99609375,4159,Ġhope
64,23,0.9921875,362,Ġyou
62,24,0.9609375,4073,Ġmessage
65,25,0.9609375,1367,Ġwell
66,26,0.9765625,13,.
67,27,0.671875,3428,ĠMy
69,28,0.7109375,341,Ġis
68,29,0.984375,1717,Ġname
70,30,0.40625,831,Ġ[
71,31,0.7578125,6943,Your
73,32,0.9375,2278,"],"
72,33,0.9921875,8393,ĠName
74,34,0.921875,301,Ġand
75,35,0.90234375,331,ĠI
76,36,0.7421875,1024,Ġam
77,37,0.498046875,4216,Ġwriting
78,38,0.85546875,297,Ġto
81,39,0.66015625,10742,Ġassistance
79,40,0.55859375,6503,Ġseek
80,41,0.86328125,563,Ġyour
83,42,0.3046875,259,Ġa
82,43,0.5546875,7162,Ġregarding
85,44,0.44140625,331,ĠI
86,45,0.79296875,1024,Ġam
87,46,0.470703125,20126,Ġexperiencing
84,47,0.51171875,3214,Ġproblem
89,48,0.29296875,268,Ġthe
91,49,0.73828125,7750,Ġtesting
90,50,1.0,19152,Ġbeta
92,51,0.69140625,8152,Ġphase
93,52,0.82421875,300,Ġof
94,53,0.56640625,268,Ġthe
88,54,0.62890625,2303,Ġduring
99,55,0.5078125,198,Ċ
97,56,0.58203125,13,.
98,57,0.9765625,198,Ċ
95,58,0.625,102088,Ġalgorithmic
96,59,0.71875,10333,Ġcloud
100,60,0.421875,40,I
101,61,0.48828125,1024,Ġam
103,62,0.828125,16091,Ġstuck
102,63,0.99609375,5579,Ġcurrently
104,64,0.91015625,296,Ġin
106,65,0.5703125,19152,Ġbeta
105,66,0.96875,268,Ġthe
107,67,0.96875,7750,Ġtesting
108,68,0.70703125,8152,Ġphase
109,69,0.65234375,11,","
110,70,0.5703125,301,Ġand
111,71,0.6640625,331,ĠI
112,72,0.515625,1024,Ġam
113,73,0.83203125,13009,Ġunable
114,74,1.0,297,Ġto
115,75,0.66796875,6555,Ġprogress
117,76,0.54296875,268,Ġthe
118,77,0.84765625,2338,Ġnext
116,78,0.99609375,297,Ġto
119,79,0.46875,2234,Ġlevel
120,80,0.76171875,13,.
122,81,0.71875,561,Ġhave
121,82,1.0,331,ĠI
123,83,0.609375,6830,Ġtried
125,84,0.40625,268,Ġthe
124,85,0.54296875,2538,Ġfollowing
126,86,0.69921875,11170,Ġinstructions
127,87,0.6484375,4026,Ġprovided
129,88,0.50390625,268,Ġthe
131,89,0.61328125,11,","
132,90,0.94140625,731,Ġbut
128,91,0.6640625,527,Ġby
130,92,0.609375,1652,Ġsystem
133,93,0.43359375,331,ĠI
134,94,0.73828125,1024,Ġam
135,95,0.74609375,13009,Ġunable
136,96,1.0,297,Ġto
138,97,0.69921875,268,Ġthe
137,98,0.62890625,4486,Ġcomplete
140,99,0.50390625,13,.
141,100,0.482421875,331,ĠI
142,101,0.52734375,561,Ġhave
143,102,0.390625,911,Ġalso
144,103,0.81640625,6830,Ġtried
139,104,0.54296875,9947,Ġtasks
146,105,0.3515625,268,Ġthe
147,106,0.271484375,1652,Ġsystem
145,107,0.5,120038,Ġrestarting
148,108,0.66796875,11,","
149,109,0.94921875,731,Ġbut
150,110,0.60546875,403,Ġit
151,111,0.640625,723,Ġhas
152,112,0.953125,526,Ġnot
155,113,0.6875,4327,Ġissue
154,114,0.99609375,268,Ġthe
156,115,0.9921875,13,.
157,116,0.9765625,198,Ċ
158,117,0.99609375,198,Ċ
153,118,0.91796875,21130,Ġresolved
159,119,0.77734375,40,I
160,120,0.45703125,1024,Ġam
162,121,0.1552734375,297,Ġto
161,122,0.8515625,13009,Ġunable
163,123,0.48828125,2695,Ġaccess
164,124,0.54296875,268,Ġthe
167,125,0.22265625,11,","
165,126,0.30078125,10017,Ġfeedback
166,127,0.7265625,1652,Ġsystem
171,128,0.55859375,13009,Ġunable
172,129,1.0,297,Ġto
170,130,0.9921875,1024,Ġam
169,131,0.99609375,331,ĠI
168,132,0.921875,301,Ġand
173,133,0.5625,2598,Ġprovide
174,134,0.8828125,897,Ġany
175,135,0.4609375,10017,Ġfeedback
177,136,0.65234375,268,Ġthe
176,137,0.82421875,297,Ġto
179,138,0.765625,13,.
178,139,0.69140625,1652,Ġsystem
180,140,0.515625,331,ĠI
182,141,0.65234375,6830,Ġtried
181,142,1.0,561,Ġhave
183,143,0.2177734375,297,Ġto
185,144,0.33984375,268,Ġthe
184,145,0.63671875,3872,Ġcontact
186,146,0.84765625,1869,Ġsupport
187,147,0.98046875,2286,Ġteam
188,148,0.81640625,11,","
189,149,0.98828125,731,Ġbut
190,150,0.72265625,331,ĠI
193,151,0.8125,297,Ġto
192,152,1.0,13009,Ġunable
191,153,0.97265625,1024,Ġam
194,154,0.396484375,834,Ġget
196,155,0.6015625,4031,Ġresponse
195,156,0.62109375,259,Ġa
198,157,0.5859375,198,Ċ
197,158,1.0,13,.
199,159,1.0,198,Ċ
200,160,0.80859375,40,I
201,161,0.78125,1024,Ġam
203,162,0.23046875,16091,Ġstuck
202,163,0.8984375,5579,Ġcurrently
204,164,0.8046875,296,Ġin
206,165,0.73046875,19152,Ġbeta
207,166,0.99609375,7750,Ġtesting
208,167,0.99609375,8152,Ġphase
205,168,0.9921875,268,Ġthe
210,169,0.90625,301,Ġand
209,170,1.0,11,","
211,171,0.984375,331,ĠI
212,172,0.7890625,1024,Ġam
214,173,0.76953125,297,Ġto
213,174,0.96484375,13009,Ġunable
215,175,0.78515625,6555,Ġprogress
218,176,0.90625,2338,Ġnext
216,177,1.0,297,Ġto
217,178,1.0,268,Ġthe
219,179,0.98828125,2234,Ġlevel
220,180,0.98046875,13,.
221,181,0.875,331,ĠI
222,182,0.66015625,1024,Ġam
224,183,0.26171875,297,Ġto
223,184,0.87109375,13009,Ġunable
225,185,0.49609375,2695,Ġaccess
226,186,0.79296875,268,Ġthe
227,187,0.84765625,10017,Ġfeedback
228,188,1.0,1652,Ġsystem
231,189,0.984375,331,ĠI
229,190,1.0,11,","
230,191,1.0,301,Ġand
234,192,0.99609375,297,Ġto
232,193,1.0,1024,Ġam
233,194,1.0,13009,Ġunable
235,195,0.9921875,2598,Ġprovide
236,196,1.0,897,Ġany
238,197,1.0,297,Ġto
239,198,1.0,268,Ġthe
240,199,1.0,1652,Ġsystem
241,200,1.0,13,.
237,201,0.99609375,10017,Ġfeedback
243,202,0.70703125,198,Ċ
242,203,1.0,198,Ċ
