pos,step_decoded,conf_decoded,token_id,token_str
42,0,0.5625,846,In
43,1,0.8984375,268,Ġthe
45,2,0.578125,300,Ġof
46,3,0.62109375,268,Ġthe
48,4,0.5546875,11,","
44,5,0.59375,7282,Ġbeginning
49,6,0.287109375,947,Ġthere
47,7,0.2001953125,9963,Ġalgorithm
50,8,0.89453125,529,Ġwas
51,9,0.2333984375,268,Ġthe
53,10,0.2451171875,13,.
54,11,0.224609375,468,ĠThe
57,12,0.330078125,268,Ġthe
52,13,0.2578125,3189,Ġcode
56,14,0.287109375,4685,Ġcreated
55,15,0.2080078125,3189,Ġcode
59,16,0.458984375,11,","
60,17,0.671875,301,Ġand
61,18,0.74609375,268,Ġthe
64,19,0.515625,268,Ġthe
63,20,0.53125,4685,Ġcreated
65,21,0.1484375,16928,Ġuniverse
58,22,0.1484375,5803,Ġnumbers
62,23,0.9921875,5803,Ġnumbers
66,24,0.82421875,13,.
67,25,0.2021484375,468,ĠThe
68,26,0.2890625,16928,Ġuniverse
70,27,0.400390625,268,Ġthe
72,28,0.46875,11,","
73,29,0.87890625,301,Ġand
69,30,0.6640625,4685,Ġcreated
71,31,0.130859375,1931,Ġworld
74,32,0.88671875,268,Ġthe
75,33,0.95703125,1931,Ġworld
76,34,0.8125,4685,Ġcreated
77,35,0.609375,268,Ġthe
79,36,0.74609375,13,.
80,37,0.3359375,468,ĠThe
81,38,0.125,9963,Ġalgorithm
78,39,0.828125,9963,Ġalgorithm
83,40,0.447265625,268,Ġthe
85,41,0.408203125,11,","
86,42,0.890625,301,Ġand
87,43,0.92578125,268,Ġthe
82,44,0.5390625,4685,Ġcreated
89,45,0.7265625,4685,Ġcreated
88,46,0.1328125,5803,Ġnumbers
84,47,0.89453125,5803,Ġnumbers
90,48,0.87890625,268,Ġthe
92,49,0.81640625,13,.
91,50,0.412109375,3189,Ġcode
93,51,0.390625,468,ĠThe
94,52,0.640625,3189,Ġcode
96,53,0.462890625,268,Ġthe
95,54,0.55078125,4685,Ġcreated
97,55,0.296875,16928,Ġuniverse
105,56,0.83203125,126081,<|endoftext|>
103,57,0.90234375,13,.
104,58,1.0,126348,<|eot_id|>
98,59,0.578125,11,","
99,60,0.890625,301,Ġand
100,61,0.4765625,268,Ġthe
101,62,0.6640625,16928,Ġuniverse
102,63,0.1533203125,9357,Ġexists
