step,pos,ratio_mean,ratio_last4,ratio_last,conf
0,42,1.0,1.0,1.0,0.5625
0,43,1.0,1.0,1.0,0.51953125
0,44,1.0,1.0,1.0,0.1591796875
0,45,1.0,1.0,1.0,0.25
0,46,1.0,1.0,1.0,0.1748046875
0,47,1.0,1.0,1.0,0.1298828125
0,48,1.0,1.0,1.0,0.11669921875
0,49,1.0,1.0,1.0,0.11865234375
0,50,1.0,1.0,1.0,-inf
0,51,1.0,1.0,1.0,-inf
0,52,1.0,1.0,1.0,-inf
0,53,1.0,1.0,1.0,-inf
0,54,1.0,1.0,1.0,-inf
0,55,1.0,1.0,1.0,-inf
0,56,1.0,1.0,1.0,-inf
0,57,1.0,1.0,1.0,-inf
0,58,1.0,1.0,1.0,-inf
0,59,1.0,1.0,1.0,-inf
0,60,1.0,1.0,1.0,-inf
0,61,1.0,1.0,1.0,-inf
0,62,1.0,1.0,1.0,-inf
0,63,1.0,1.0,1.0,-inf
0,64,1.0,1.0,1.0,-inf
0,65,1.0,1.0,1.0,-inf
0,66,1.0,1.0,1.0,-inf
0,67,1.0,1.0,1.0,-inf
0,68,1.0,1.0,1.0,-inf
0,69,1.0,1.0,1.0,-inf
0,70,1.0,1.0,1.0,-inf
0,71,1.0,1.0,1.0,-inf
0,72,1.0,1.0,1.0,-inf
0,73,1.0,1.0,1.0,-inf
0,74,1.0,1.0,1.0,-inf
0,75,1.0,1.0,1.0,-inf
0,76,1.0,1.0,1.0,-inf
0,77,1.0,1.0,1.0,-inf
0,78,1.0,1.0,1.0,-inf
0,79,1.0,1.0,1.0,-inf
0,80,1.0,1.0,1.0,-inf
0,81,1.0,1.0,1.0,-inf
0,82,1.0,1.0,1.0,-inf
0,83,1.0,1.0,1.0,-inf
0,84,1.0,1.0,1.0,-inf
0,85,1.0,1.0,1.0,-inf
0,86,1.0,1.0,1.0,-inf
0,87,1.0,1.0,1.0,-inf
0,88,1.0,1.0,1.0,-inf
0,89,1.0,1.0,1.0,-inf
0,90,1.0,1.0,1.0,-inf
0,91,1.0,1.0,1.0,-inf
0,92,1.0,1.0,1.0,-inf
0,93,1.0,1.0,1.0,-inf
0,94,1.0,1.0,1.0,-inf
0,95,1.0,1.0,1.0,-inf
0,96,1.0,1.0,1.0,-inf
0,97,1.0,1.0,1.0,-inf
0,98,1.0,1.0,1.0,-inf
0,99,1.0,1.0,1.0,-inf
0,100,1.0,1.0,1.0,-inf
0,101,1.0,1.0,1.0,-inf
0,102,1.0,1.0,1.0,-inf
0,103,1.0,1.0,1.0,-inf
0,104,1.0,1.0,1.0,-inf
0,105,1.0,1.0,1.0,-inf
1,43,0.91015625,0.8515625,0.83984375,0.8984375
1,44,0.90625,0.87109375,0.85546875,0.2109375
1,45,0.921875,0.89453125,0.890625,0.51171875
1,46,0.9296875,0.9296875,0.90625,0.31640625
1,47,0.9453125,0.94140625,0.9140625,0.09814453125
1,48,0.9375,0.9453125,0.91796875,0.23828125
1,49,0.94921875,0.9453125,0.921875,0.1923828125
1,50,0.94921875,0.94921875,0.91796875,-inf
1,51,0.9453125,0.94921875,0.921875,-inf
1,52,0.95703125,0.953125,0.9296875,-inf
1,53,0.96484375,0.9609375,0.93359375,-inf
1,54,0.94921875,0.9609375,0.9296875,-inf
1,55,0.95703125,0.9609375,0.9296875,-inf
1,56,0.96875,0.95703125,0.9296875,-inf
1,57,0.95703125,0.96875,0.93359375,-inf
1,58,0.95703125,0.96484375,0.93359375,-inf
1,59,0.97265625,0.96875,0.9375,-inf
1,60,0.96484375,0.96484375,0.93359375,-inf
1,61,0.9609375,0.96875,0.9375,-inf
1,62,0.9765625,0.96875,0.94140625,-inf
1,63,0.9609375,0.97265625,0.9453125,-inf
1,64,0.97265625,0.97265625,0.94921875,-inf
1,65,0.97265625,0.9765625,0.953125,-inf
1,66,0.96484375,0.9765625,0.95703125,-inf
1,67,0.9765625,0.9765625,0.953125,-inf
1,68,0.9765625,0.9765625,0.953125,-inf
1,69,0.96875,0.9765625,0.95703125,-inf
1,70,0.97265625,0.9765625,0.95703125,-inf
1,71,0.984375,0.9765625,0.9609375,-inf
1,72,0.97265625,0.9765625,0.9609375,-inf
1,73,0.97265625,0.9765625,0.9609375,-inf
1,74,0.98046875,0.9765625,0.9609375,-inf
1,75,0.9765625,0.984375,0.96484375,-inf
1,76,0.98046875,0.98046875,0.9609375,-inf
1,77,0.9765625,0.984375,0.96484375,-inf
1,78,0.98046875,0.98046875,0.9609375,-inf
1,79,0.97265625,0.98046875,0.95703125,-inf
1,80,0.98046875,0.9765625,0.953125,-inf
1,81,0.98046875,0.98046875,0.9609375,-inf
1,82,0.97265625,0.98046875,0.9609375,-inf
1,83,0.984375,0.984375,0.96875,-inf
1,84,0.984375,0.984375,0.96875,-inf
1,85,0.97265625,0.98046875,0.96484375,-inf
1,86,0.984375,0.9765625,0.9609375,-inf
