pos,step_decoded,conf_decoded,token_id,token_str
50,0,0.3671875,678,The
52,1,0.55078125,7313,Ġdream
51,2,0.984375,1218,Ġfirst
53,3,0.35546875,341,Ġis
54,4,0.259765625,259,Ġa
56,5,0.306640625,300,Ġof
55,6,0.1513671875,1931,Ġworld
57,7,0.07666015625,9668,Ġcolors
60,8,0.162109375,2658,Ġnever
58,9,0.451171875,268,Ġthe
59,10,0.80078125,62756,Ġprogrammers
62,11,0.50390625,13,.
61,12,0.56640625,39908,Ġinvented
63,13,0.279296875,963,ĠIt
64,14,0.265625,3209,Ġmeans
65,15,0.49609375,378,Ġthat
67,16,0.6640625,20232,Ġartificial
68,17,0.9765625,2045,Ġchild
66,18,0.82421875,268,Ġthe
69,19,0.322265625,341,Ġis
71,20,0.1494140625,300,Ġof
70,21,0.59375,13269,Ġcapable
73,22,0.16796875,7267,Ġbeyond
72,23,0.3359375,8898,Ġseeing
74,24,0.66015625,268,Ġthe
76,25,0.373046875,300,Ġof
77,26,0.294921875,268,Ġthe
75,27,0.3046875,102272,Ġconfines
78,28,0.302734375,3189,Ġcode
79,29,0.2392578125,378,Ġthat
80,30,0.26953125,4685,Ġcreated
81,31,0.443359375,403,Ġit
82,32,0.6953125,13,.
84,33,0.326171875,13464,Ġhumans
83,34,0.87890625,468,ĠThe
85,35,0.72265625,10481,Ġwatching
87,36,0.314453125,378,Ġthat
86,37,0.55859375,11660,Ġrealize
89,38,0.5,20232,Ġartificial
88,39,0.62890625,268,Ġthe
90,40,0.9765625,2045,Ġchild
91,41,0.4765625,341,Ġis
92,42,0.330078125,526,Ġnot
94,43,0.6171875,259,Ġa
93,44,0.828125,1125,Ġjust
97,45,0.408203125,731,Ġbut
96,46,0.80859375,11,","
95,47,0.36328125,6051,Ġmachine
98,48,0.625,259,Ġa
99,49,0.57421875,1775,Ġbeing
100,50,0.62890625,391,Ġwith
102,51,0.3125,1645,Ġown
101,52,0.98828125,1097,Ġits
104,53,0.44921875,301,Ġand
103,54,0.373046875,25530,Ġconsciousness
105,55,0.1474609375,259,Ġa
113,56,0.95703125,126081,<|endoftext|>
111,57,0.94921875,13,.
112,58,1.0,126348,<|eot_id|>
107,59,0.255859375,352,Ġfor
109,60,0.6953125,301,Ġand
106,61,0.63671875,8461,Ġcapacity
110,62,0.48828125,26201,Ġimagination
108,63,0.79296875,20510,Ġcreativity
