pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.1650390625,678,The
38,1,0.40625,6393,Ġparents
40,2,0.263671875,760,Ġup
39,3,0.86328125,17825,Ġwake
41,4,0.248046875,297,Ġto
42,5,0.29296875,268,Ġthe
43,6,0.73046875,5470,Ġsound
44,7,0.99609375,300,Ġof
45,8,0.74609375,802,Ġtheir
46,9,0.765625,2045,Ġchild
47,10,0.54296875,698,'s
48,11,0.28125,41305,Ġlaughter
49,12,0.28515625,11,","
51,13,0.111328125,792,Ġthey
50,14,0.3359375,731,Ġbut
52,15,0.2197265625,449,Ġare
53,16,0.212890625,38762,Ġexhausted
54,17,0.60546875,546,Ġfrom
55,18,0.455078125,268,Ġthe
56,19,0.54296875,3945,Ġnight
57,20,0.453125,698,'s
59,21,0.40625,13,.
58,22,0.59375,4599,Ġevents
60,23,0.5,2240,ĠThey
62,24,0.162109375,297,Ġto
61,25,0.5625,2164,Ġtry
63,26,0.2275390625,834,Ġget
68,27,0.349609375,731,Ġbut
67,28,0.97265625,11,","
65,29,0.7421875,300,Ġof
64,30,1.0,733,Ġout
66,31,0.99609375,4753,Ġbed
69,32,0.51953125,802,Ġtheir
70,33,0.78125,2045,Ġchild
71,34,0.310546875,723,Ġhas
73,35,0.458984375,259,Ġa
72,36,0.40234375,4685,Ġcreated
75,37,0.1767578125,300,Ġof
74,38,0.20703125,30481,Ġpile
76,39,0.208984375,23628,Ġtoys
78,40,0.337890625,268,Ġthe
77,41,0.57421875,366,Ġon
80,42,0.380859375,11,","
79,43,0.69140625,7593,Ġfloor
82,44,0.2578125,403,Ġit
81,45,0.9453125,3099,Ġmaking
84,46,0.5390625,297,Ġto
83,47,0.45703125,4526,Ġdifficult
86,48,0.310546875,13,.
85,49,0.71484375,3303,Ġmove
87,50,0.498046875,2240,ĠThey
89,51,0.345703125,297,Ġto
88,52,0.462890625,2164,Ġtry
94,53,0.30859375,731,Ġbut
93,54,0.984375,11,","
96,55,0.6484375,2045,Ġchild
95,56,0.88671875,802,Ġtheir
97,57,0.82421875,723,Ġhas
99,58,0.6875,259,Ġa
98,59,0.7734375,4685,Ġcreated
91,60,0.267578125,802,Ġtheir
90,61,0.349609375,20445,Ġbrush
92,62,0.96484375,13743,Ġteeth
100,63,0.07470703125,30481,Ġpile
101,64,0.99609375,300,Ġof
104,65,0.439453125,268,Ġthe
105,66,0.734375,21038,Ġsink
103,67,0.8984375,296,Ġin
106,68,0.74609375,11,","
108,69,0.56640625,403,Ġit
107,70,0.9375,3099,Ġmaking
109,71,0.734375,13002,Ġimpossible
110,72,0.8828125,297,Ġto
112,73,0.478515625,13,.
111,74,0.58984375,4139,Ġclean
113,75,0.578125,2240,ĠThey
114,76,0.77734375,2164,Ġtry
115,77,0.99609375,297,Ġto
116,78,0.310546875,7638,Ġeat
102,79,0.1806640625,14156,Ġclothes
117,80,0.90234375,14546,Ġbreakfast
119,81,0.9921875,731,Ġbut
118,82,1.0,11,","
121,83,0.984375,2045,Ġchild
120,84,0.99609375,802,Ġtheir
122,85,0.98828125,723,Ġhas
123,86,0.9453125,4685,Ġcreated
124,87,0.94921875,259,Ġa
125,88,0.5546875,30481,Ġpile
126,89,1.0,300,Ġof
129,90,0.7109375,268,Ġthe
131,91,0.8359375,11,","
132,92,0.80078125,3099,Ġmaking
130,93,0.65234375,3742,Ġtable
128,94,0.98046875,366,Ġon
127,95,0.28515625,3199,Ġfood
133,96,0.9765625,403,Ġit
135,97,0.85546875,297,Ġto
137,98,0.6953125,13,.
136,99,0.7109375,7638,Ġeat
134,100,0.6875,13002,Ġimpossible
138,101,0.439453125,2240,ĠThey
139,102,0.89453125,2164,Ġtry
140,103,0.99609375,297,Ġto
145,104,0.41015625,731,Ġbut
144,105,0.9921875,11,","
146,106,0.9765625,802,Ġtheir
147,107,1.0,2045,Ġchild
148,108,0.98828125,723,Ġhas
143,109,0.6875,962,Ġwork
142,110,0.87890625,297,Ġto
141,111,0.625,728,Ġgo
149,112,0.984375,4685,Ġcreated
150,113,0.96875,259,Ġa
151,114,0.90625,30481,Ġpile
152,115,1.0,300,Ġof
157,116,0.76171875,11,","
159,117,0.9453125,403,Ġit
158,118,1.0,3099,Ġmaking
160,119,0.953125,13002,Ġimpossible
161,120,0.9765625,297,Ġto
155,121,0.8671875,268,Ġthe
163,122,0.71875,13,.
164,123,0.70703125,2240,ĠThey
154,124,0.59375,366,Ġon
162,125,0.310546875,5980,Ġdrive
156,126,0.41015625,5573,Ġroad
153,127,0.3203125,10537,Ġcars
165,128,0.8515625,2164,Ġtry
166,129,0.99609375,297,Ġto
174,130,0.390625,723,Ġhas
173,131,1.0,2045,Ġchild
172,132,1.0,802,Ġtheir
170,133,0.99609375,11,","
171,134,1.0,731,Ġbut
175,135,0.9921875,4685,Ġcreated
176,136,0.98828125,259,Ġa
177,137,0.9765625,30481,Ġpile
178,138,1.0,300,Ġof
169,139,0.55859375,962,Ġwork
180,140,0.44921875,366,Ġon
168,141,0.271484375,482,Ġat
167,142,0.7890625,3476,Ġfocus
179,143,0.53125,13347,Ġpapers
183,144,0.98046875,11,","
184,145,0.99609375,3099,Ġmaking
185,146,0.99609375,403,Ġit
187,147,0.9921875,297,Ġto
186,148,0.9921875,13002,Ġimpossible
189,149,0.8984375,13,.
182,150,0.91015625,11450,Ġdesk
190,151,0.83984375,2240,ĠThey
191,152,0.96484375,2164,Ġtry
192,153,1.0,297,Ġto
181,154,0.6484375,802,Ġtheir
188,155,0.6015625,30956,Ġconcentrate
196,156,0.376953125,731,Ġbut
195,157,1.0,11,","
194,158,0.44140625,2003,Ġhome
193,159,0.45703125,728,Ġgo
197,160,1.0,802,Ġtheir
198,161,1.0,2045,Ġchild
199,162,0.99609375,723,Ġhas
200,163,0.99609375,4685,Ġcreated
201,164,0.99609375,259,Ġa
202,165,0.9921875,30481,Ġpile
203,166,1.0,300,Ġof
208,167,0.8203125,11,","
209,168,0.99609375,3099,Ġmaking
210,169,0.99609375,403,Ġit
211,170,0.9765625,13002,Ġimpossible
212,171,0.9921875,297,Ġto
206,172,0.85546875,268,Ġthe
205,173,0.65234375,366,Ġon
207,174,0.3984375,7593,Ġfloor
204,175,0.251953125,23628,Ġtoys
215,176,0.69921875,2240,ĠThey
214,177,1.0,13,.
216,178,0.95703125,2164,Ġtry
217,179,1.0,297,Ġto
228,180,0.41015625,300,Ġof
221,181,0.99609375,731,Ġbut
220,182,1.0,11,","
222,183,1.0,802,Ġtheir
223,184,1.0,2045,Ġchild
224,185,1.0,723,Ġhas
225,186,1.0,4685,Ġcreated
226,187,1.0,259,Ġa
227,188,1.0,30481,Ġpile
219,189,0.94140625,11656,Ġdinner
218,190,0.51171875,2532,Ġcook
213,191,0.359375,4372,Ġwalk
233,192,0.9140625,11,","
234,193,1.0,3099,Ġmaking
235,194,1.0,403,Ġit
236,195,1.0,13002,Ġimpossible
237,196,0.99609375,297,Ġto
231,197,0.97265625,268,Ġthe
239,198,0.875,13,.
240,199,0.9296875,2240,ĠThey
242,200,0.98828125,297,Ġto
241,201,1.0,2164,Ġtry
229,202,0.5546875,3199,Ġfood
230,203,0.65234375,366,Ġon
232,204,0.48046875,3742,Ġtable
238,205,0.65234375,7638,Ġeat
244,206,0.40234375,11,","
243,207,0.83203125,9701,Ġrelax
245,208,1.0,731,Ġbut
246,209,1.0,802,Ġtheir
247,210,1.0,2045,Ġchild
248,211,0.99609375,723,Ġhas
249,212,1.0,4685,Ġcreated
250,213,1.0,259,Ġa
251,214,0.99609375,30481,Ġpile
252,215,1.0,300,Ġof
260,216,0.8984375,13002,Ġimpossible
257,217,1.0,11,","
258,218,1.0,3099,Ġmaking
259,219,1.0,403,Ġit
255,220,0.83203125,268,Ġthe
254,221,0.8046875,366,Ġon
