pos,step_decoded,conf_decoded,token_id,token_str
52,0,0.23046875,40,I
53,1,0.490234375,3180,'m
54,2,0.70703125,526,Ġnot
55,3,0.58984375,6805,Ġaware
56,4,1.0,300,Ġof
57,5,0.67578125,897,Ġany
58,6,0.34375,1698,Ġinformation
59,7,0.59765625,866,Ġabout
60,8,0.9140625,259,Ġa
61,9,0.484375,4231,Ġcity
62,10,0.69921875,378,Ġthat
65,11,0.6796875,1459,Ġafter
66,12,0.96875,11028,Ġrain
64,13,0.81640625,8969,Ġappears
63,14,1.0,1191,Ġonly
67,15,0.34765625,11,","
72,16,0.79296875,1195,les
70,17,1.0,282,Ġp
71,18,1.0,9860,udd
69,19,0.9921875,296,Ġin
68,20,0.98046875,22199,Ġreflected
74,21,0.62890625,2138,Ġreal
73,22,0.97265625,731,Ġbut
75,23,0.8203125,352,Ġfor
76,24,1.0,1803,Ġthose
77,25,1.0,901,Ġwho
78,26,0.99609375,3212,Ġstep
79,27,0.99609375,1352,Ġthrough
80,28,0.98828125,13,.
83,29,0.5078125,2917,Ġpossible
81,30,0.98828125,963,ĠIt
82,31,0.8984375,698,'s
84,32,0.94140625,378,Ġthat
85,33,0.625,501,Ġthis
86,34,0.5078125,341,Ġis
87,35,0.9609375,259,Ġa
88,36,0.859375,47548,Ġfictional
89,37,0.5234375,453,Ġor
91,38,0.265625,5997,Ġconcept
90,39,0.298828125,57913,Ġhypothetical
92,40,0.765625,13,.
94,41,0.85546875,362,Ġyou
93,42,0.7109375,1538,ĠIf
95,43,0.62109375,561,Ġhave
96,44,0.75390625,897,Ġany
99,45,0.7734375,453,Ġor
98,46,0.58984375,4340,Ġcontext
97,47,0.87109375,778,Ġmore
101,48,0.69921875,866,Ġabout
102,49,0.9375,501,Ġthis
104,50,0.83203125,11,","
105,51,0.984375,331,ĠI
103,52,0.921875,4231,Ġcity
107,53,0.87890625,367,Ġbe
106,54,0.65234375,5800,'d
100,55,0.62890625,4476,Ġdetails
108,56,0.99609375,5757,Ġhappy
109,57,1.0,297,Ġto
115,58,0.98046875,126081,<|endoftext|>
114,59,0.9921875,126348,<|eot_id|>
113,60,0.96484375,13,.
110,61,0.83984375,2164,Ġtry
112,62,0.9921875,1376,Ġhelp
111,63,0.96875,301,Ġand
