pos,step_decoded,conf_decoded,token_id,token_str
42,0,0.330078125,2441,As
43,1,0.8125,268,Ġthe
44,2,0.37890625,6326,Ġsun
45,3,0.6171875,7465,Ġsets
47,4,0.6015625,268,Ġthe
46,5,0.53515625,11,","
48,6,0.337890625,4231,Ġcity
49,7,0.21875,3874,Ġcomes
50,8,0.6875,16399,Ġalive
51,9,0.62890625,391,Ġwith
52,10,0.41796875,268,Ġthe
54,11,0.57421875,300,Ġof
53,12,0.6484375,10277,Ġsounds
55,13,0.28515625,3945,Ġnight
56,14,0.76171875,13,.
57,15,0.2451171875,468,ĠThe
58,16,0.546875,17223,Ġstreets
59,17,0.640625,449,Ġare
61,18,0.71484375,391,Ġwith
62,19,0.51171875,268,Ġthe
64,20,0.58984375,300,Ġof
60,21,0.42578125,16399,Ġalive
65,22,0.26953125,1255,Ġpeople
63,23,0.431640625,95808,Ġchatter
66,24,0.271484375,11,","
67,25,0.36328125,268,Ġthe
70,26,0.60546875,300,Ġof
73,27,0.625,301,Ġand
72,28,0.98046875,11,","
71,29,0.69140625,10537,Ġcars
69,30,0.74609375,10945,king
68,31,0.99609375,5528,Ġhon
74,32,0.98828125,268,Ġthe
77,33,0.5546875,300,Ġof
75,34,0.431640625,28709,Ġdistant
78,35,0.62890625,108240,Ġsire
79,36,1.0,6121,ns
80,37,0.91015625,13,.
76,38,0.8203125,5470,Ġsound
81,39,0.236328125,468,ĠThe
83,40,0.65234375,341,Ġis
82,41,0.92578125,3662,Ġair
86,42,0.76953125,268,Ġthe
85,43,0.96484375,391,Ġwith
88,44,0.9140625,300,Ġof
84,45,0.640625,10256,Ġthick
87,46,0.40625,37264,Ġscent
89,47,0.2294921875,16889,Ġexhaust
90,48,0.6875,301,Ġand
91,49,0.361328125,268,Ġthe
93,50,0.498046875,300,Ġof
92,51,0.341796875,26829,Ġglow
95,52,0.490234375,12102,lights
94,53,0.99609375,10166,Ġstreet
96,54,0.43359375,74442,Ġcasts
98,55,0.734375,39770,Ġshadows
97,56,0.90625,1524,Ġlong
100,57,0.84375,268,Ġthe
102,58,0.671875,13,.
101,59,0.78125,64610,Ġpavement
104,60,0.62109375,198,Ċ
103,61,0.77734375,198,Ċ
105,62,0.76953125,44024,Half
99,63,0.64453125,366,Ġon
106,64,0.55859375,300,Ġof
107,65,0.99609375,268,Ġthe
108,66,0.90625,6842,Ġpopulation
109,67,0.4921875,341,Ġis
110,68,0.54296875,6476,Ġsleep
111,69,0.984375,104748,walking
112,70,0.8203125,11,","
113,71,0.6953125,802,Ġtheir
114,72,0.271484375,6405,Ġeyes
116,73,0.474609375,301,Ġand
115,74,0.62890625,9118,Ġheavy
117,75,0.330078125,802,Ġtheir
120,76,0.34765625,13,.
121,77,0.60546875,2240,ĠThey
119,78,0.46875,5841,Ġslow
118,79,0.921875,19977,Ġmovements
123,80,0.337890625,1352,Ġthrough
124,81,0.9140625,268,Ġthe
126,82,0.5078125,11,","
125,83,0.6171875,17223,Ġstreets
122,84,0.455078125,35259,Ġdrift
127,85,0.3125,802,Ġtheir
128,86,0.27734375,64697,Ġfootsteps
130,87,0.337890625,301,Ġand
132,88,0.345703125,13,.
135,89,0.7578125,4555,Ġhalf
133,90,0.99609375,468,ĠThe
134,91,0.99609375,880,Ġother
137,92,0.61328125,42939,Ġawake
136,93,0.69921875,341,Ġis
129,94,0.2314453125,11764,Ġquiet
131,95,0.228515625,49742,Ġdeliberate
138,96,0.859375,11,","
139,97,0.6875,802,Ġtheir
143,98,0.79296875,16492,Ġalert
142,99,0.91015625,301,Ġand
144,100,0.6875,13,.
145,101,0.94140625,2240,ĠThey
141,102,0.6640625,15508,Ġsharp
140,103,0.78515625,36750,Ġsenses
146,104,0.3828125,47578,Ġpatrol
147,105,0.96875,268,Ġthe
148,106,0.91015625,17223,Ġstreets
149,107,0.9140625,11,","
150,108,0.5546875,802,Ġtheir
152,109,0.72265625,31187,Ġscanning
151,110,0.98828125,6405,Ġeyes
153,111,0.61328125,352,Ġfor
154,112,0.8359375,897,Ġany
156,113,0.8046875,300,Ġof
155,114,0.79296875,11577,Ġsigns
157,115,0.5,8998,Ġdanger
158,116,0.8359375,13,.
160,117,0.9609375,198,Ċ
159,118,0.99609375,198,Ċ
161,119,0.74609375,2441,As
162,120,0.6953125,268,Ġthe
164,121,0.66796875,5158,Ġgroups
163,122,1.0,1307,Ġtwo
165,123,0.62890625,3279,Ġmeet
167,124,0.75390625,268,Ġthe
168,125,0.93359375,17223,Ġstreets
169,126,0.984375,11,","
166,127,0.9375,296,Ġin
172,128,0.33203125,259,Ġa
171,129,0.59765625,341,Ġis
170,130,0.93359375,947,Ġthere
173,131,0.34765625,5209,Ġsense
174,132,1.0,300,Ġof
175,133,0.65234375,21390,Ġtension
177,134,0.62890625,468,ĠThe
176,135,1.0,13,.
178,136,0.66015625,6476,Ġsleep
179,137,0.94140625,26463,walk
180,138,1.0,427,ers
181,139,0.298828125,449,Ġare
182,140,0.431640625,46136,Ġunaware
183,141,0.93359375,300,Ġof
184,142,0.80078125,268,Ġthe
185,143,0.17578125,7831,Ġpresence
186,144,0.99609375,300,Ġof
187,145,0.8046875,268,Ġthe
190,146,0.7421875,11,","
