pos,step_decoded,conf_decoded,token_id,token_str
41,0,0.41796875,846,In
42,1,0.64453125,501,Ġthis
43,2,0.78125,1931,Ġworld
44,3,0.890625,11,","
46,4,0.62890625,5470,Ġsound
45,5,0.90234375,1380,Ġevery
47,6,0.6875,723,Ġhas
48,7,0.8671875,259,Ġa
49,8,0.95703125,13162,Ġvisible
50,9,0.99609375,3797,Ġcolor
51,10,0.61328125,13,.
54,11,0.56640625,39824,Ġaccidentally
53,12,0.99609375,36312,Ġmusician
55,13,0.9921875,11301,Ġplays
56,14,0.99609375,259,Ġa
52,15,0.921875,355,ĠA
57,16,1.0,47135,Ġforbidden
58,17,1.0,6103,Ġnote
59,18,0.76953125,13,.
60,19,0.59765625,468,ĠThe
62,20,0.458984375,341,Ġis
64,21,0.4765625,391,Ġwith
63,22,0.7578125,10604,Ġfilled
65,23,0.671875,259,Ġa
61,24,0.4375,3284,Ġroom
66,25,0.326171875,70702,Ġkale
67,26,1.0,327,id
68,27,0.99609375,46661,oscope
69,28,1.0,300,Ġof
71,29,0.53125,11,","
72,30,0.76171875,1671,Ġeach
70,31,0.50390625,84050,Ġhues
74,32,0.3828125,259,Ġa
73,33,0.46875,810,Ġone
77,34,0.455078125,268,Ġthe
76,35,0.515625,300,Ġof
75,36,0.5234375,20972,Ġreflection
82,37,0.189453125,13,.
83,38,0.609375,468,ĠThe
79,39,0.458984375,300,Ġof
80,40,0.890625,268,Ġthe
78,41,0.78125,17548,Ġintensity
81,42,0.8359375,5470,Ġsound
84,43,0.2734375,13788,Ġwalls
86,44,0.291015625,297,Ġto
85,45,0.72265625,4492,Ġseem
87,46,0.56640625,26509,Ġpulse
88,47,0.89453125,391,Ġwith
89,48,0.337890625,28793,Ġvibrant
91,49,0.6484375,11,","
90,50,0.53125,9668,Ġcolors
93,51,0.27734375,624,Ġif
92,52,0.99609375,409,Ġas
94,53,0.51953125,268,Ġthe
95,54,0.267578125,1471,Ġvery
96,55,0.79296875,12425,Ġfabric
97,56,0.99609375,300,Ġof
100,57,0.63671875,341,Ġis
98,58,0.9375,268,Ġthe
99,59,0.47265625,3284,Ġroom
103,60,0.296875,268,Ġthe
101,61,0.56640625,30729,Ġresponding
102,62,1.0,297,Ġto
104,63,0.10693359375,2548,Ġpower
105,64,0.984375,300,Ġof
106,65,0.97265625,268,Ġthe
108,66,0.78515625,13,.
107,67,0.875,6103,Ġnote
110,68,0.453125,198,Ċ
109,69,0.8359375,198,Ċ
111,70,0.66796875,678,The
112,71,0.5859375,36312,Ġmusician
113,72,0.8125,698,'s
114,73,0.2470703125,4107,Ġface
115,74,0.357421875,341,Ġis
116,75,0.333984375,73669,Ġilluminated
117,76,0.6484375,527,Ġby
118,77,0.32421875,259,Ġa
120,78,0.34375,11,","
