pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.4375,480,**
37,1,0.48046875,57736,Alice
38,2,0.96484375,31073,:**
39,3,0.296875,477,"Ġ"""
40,4,0.291015625,1672,We
51,5,0.259765625,198,Ċ
50,6,0.54296875,198,Ċ
49,7,0.95703125,1904,"."""
48,8,0.19921875,18858,Ġtonight
46,9,0.392578125,268,Ġthe
45,10,0.43359375,482,Ġat
44,11,0.6953125,3279,Ġmeet
43,12,0.95703125,297,Ġto
41,13,0.46484375,3273,'re
42,14,0.6875,2172,Ġgoing
47,15,0.5078125,6896,Ġpark
52,16,1.0,480,**
54,17,0.98046875,31073,:**
55,18,1.0,477,"Ġ"""
53,19,0.95703125,36055,Bob
57,20,0.69140625,11,","
56,21,0.671875,4127,No
58,22,0.7109375,438,Ġwe
59,23,0.796875,3273,'re
60,24,0.7578125,2172,Ġgoing
61,25,0.984375,297,Ġto
62,26,0.8984375,3279,Ġmeet
63,27,0.9453125,482,Ġat
64,28,0.96875,268,Ġthe
66,29,0.50390625,1904,"."""
67,30,0.99609375,198,Ċ
65,31,0.5078125,8296,Ġlibrary
68,32,1.0,198,Ċ
69,33,1.0,480,**
71,34,0.96875,31073,:**
72,35,1.0,477,"Ġ"""
70,36,0.81640625,77531,Charlie
73,37,0.71484375,47146,Actually
74,38,1.0,11,","
75,39,0.81640625,438,Ġwe
76,40,0.8828125,3273,'re
77,41,0.91796875,2172,Ġgoing
78,42,0.99609375,297,Ġto
79,43,0.953125,3279,Ġmeet
80,44,0.9296875,482,Ġat
81,45,0.95703125,268,Ġthe
83,46,0.69140625,1904,"."""
82,47,0.1767578125,67656,ĠcafÃ©
84,48,1.0,198,Ċ
85,49,1.0,198,Ċ
86,50,1.0,480,**
89,51,0.7109375,477,"Ġ"""
88,52,1.0,31073,:**
87,53,0.78515625,20513,David
91,54,0.40234375,11,","
94,55,0.75,2172,Ġgoing
92,56,0.99609375,438,Ġwe
95,57,0.99609375,297,Ġto
96,58,0.96875,3279,Ġmeet
93,59,0.9765625,3273,'re
97,60,0.9453125,482,Ġat
98,61,0.9765625,268,Ġthe
90,62,0.1689453125,61430,Wrong
99,63,0.08642578125,17081,Ġmuseum
102,64,0.9921875,198,Ċ
103,65,0.984375,480,**
100,66,1.0,1904,"."""
101,67,1.0,198,Ċ
104,68,0.9453125,36,E
106,69,0.9921875,31073,:**
107,70,1.0,477,"Ġ"""
105,71,0.87109375,329,ve
113,72,0.408203125,297,Ġto
112,73,0.99609375,2172,Ġgoing
115,74,0.98046875,482,Ġat
114,75,0.9921875,3279,Ġmeet
111,76,0.96484375,3273,'re
110,77,0.96875,438,Ġwe
109,78,0.95703125,11,","
108,79,0.27734375,4127,No
116,80,0.98828125,268,Ġthe
120,81,0.92578125,198,Ċ
118,82,0.7890625,1904,"."""
119,83,0.99609375,198,Ċ
121,84,0.99609375,480,**
122,85,0.93359375,37326,Frank
123,86,0.99609375,31073,:**
124,87,1.0,477,"Ġ"""
125,88,0.71875,47146,Actually
126,89,1.0,11,","
127,90,0.99609375,438,Ġwe
129,91,0.98828125,2172,Ġgoing
130,92,0.99609375,297,Ġto
131,93,0.99609375,3279,Ġmeet
128,94,0.9921875,3273,'re
117,95,0.1064453125,11890,Ġbeach
132,96,0.984375,482,Ġat
133,97,0.98828125,268,Ġthe
137,98,0.96484375,198,Ċ
138,99,0.8046875,480,**
135,100,1.0,1904,"."""
136,101,1.0,198,Ċ
139,102,0.984375,71122,Grace
140,103,1.0,31073,:**
141,104,1.0,477,"Ġ"""
144,105,0.83203125,438,Ġwe
143,106,0.9921875,11,","
146,107,0.984375,2172,Ġgoing
147,108,1.0,297,Ġto
145,109,0.98828125,3273,'re
142,110,0.462890625,4127,No
134,111,0.0751953125,8296,Ġlibrary
148,112,0.99609375,3279,Ġmeet
149,113,0.99609375,482,Ġat
150,114,0.99609375,268,Ġthe
154,115,0.96875,198,Ċ
152,116,0.93359375,1904,"."""
153,117,1.0,198,Ċ
155,118,0.9921875,480,**
151,119,0.671875,67656,ĠcafÃ©
158,120,0.59765625,31073,:**
159,121,1.0,477,"Ġ"""
157,122,0.94921875,1585,ank
156,123,1.0,39,H
162,124,0.875,438,Ġwe
161,125,0.98828125,11,","
163,126,0.9765625,3273,'re
160,127,0.72265625,61430,Wrong
164,128,0.99609375,2172,Ġgoing
165,129,1.0,297,Ġto
166,130,1.0,3279,Ġmeet
167,131,1.0,482,Ġat
168,132,1.0,268,Ġthe
172,133,0.9921875,198,Ċ
170,134,0.98828125,1904,"."""
171,135,1.0,198,Ċ
173,136,0.98828125,480,**
179,137,0.72265625,438,Ġwe
175,138,1.0,31073,:**
176,139,1.0,477,"Ġ"""
178,140,0.98828125,11,","
174,141,0.62109375,77877,Ian
177,142,0.609375,4127,No
169,143,0.455078125,17081,Ġmuseum
182,144,0.99609375,297,Ġto
181,145,1.0,2172,Ġgoing
183,146,1.0,3279,Ġmeet
184,147,1.0,482,Ġat
185,148,1.0,268,Ġthe
180,149,0.9921875,3273,'re
187,150,0.98828125,1904,"."""
188,151,1.0,198,Ċ
189,152,1.0,198,Ċ
190,153,0.99609375,480,**
186,154,0.82421875,11890,Ġbeach
193,155,0.84765625,477,"Ġ"""
192,156,1.0,31073,:**
194,157,0.9765625,47146,Actually
195,158,1.0,11,","
191,159,0.2333984375,62618,Jane
196,160,0.99609375,438,Ġwe
198,161,0.9921875,2172,Ġgoing
199,162,1.0,297,Ġto
201,163,1.0,482,Ġat
200,164,1.0,3279,Ġmeet
202,165,1.0,268,Ġthe
197,166,0.99609375,3273,'re
204,167,0.984375,1904,"."""
205,168,1.0,198,Ċ
206,169,1.0,198,Ċ
207,170,1.0,480,**
209,171,0.91796875,31073,:**
210,172,1.0,477,"Ġ"""
211,173,0.9921875,4127,No
203,174,0.57421875,8296,Ġlibrary
208,175,0.2373046875,46626,Kevin
212,176,1.0,11,","
213,177,0.99609375,438,Ġwe
215,178,0.99609375,2172,Ġgoing
216,179,1.0,297,Ġto
217,180,1.0,3279,Ġmeet
218,181,1.0,482,Ġat
219,182,1.0,268,Ġthe
214,183,0.99609375,3273,'re
220,184,0.99609375,67656,ĠcafÃ©
222,185,0.99609375,198,Ċ
221,186,1.0,1904,"."""
223,187,1.0,198,Ċ
224,188,1.0,480,**
227,189,0.69140625,477,"Ġ"""
226,190,1.0,31073,:**
225,191,0.330078125,54916,Lisa
229,192,0.9921875,11,","
228,193,0.99609375,61430,Wrong
230,194,0.99609375,438,Ġwe
231,195,0.99609375,3273,'re
232,196,1.0,2172,Ġgoing
233,197,1.0,297,Ġto
234,198,1.0,3279,Ġmeet
235,199,1.0,482,Ġat
236,200,1.0,268,Ġthe
238,201,0.99609375,1904,"."""
239,202,1.0,198,Ċ
240,203,1.0,198,Ċ
241,204,1.0,480,**
237,205,0.9765625,17081,Ġmuseum
