pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.404296875,678,The
33,1,0.5390625,1325,Ġmost
34,2,0.97265625,8136,Ġpowerful
35,3,0.98828125,34669,Ġdemonstration
36,4,0.76171875,300,Ġof
38,5,0.7890625,22277,Ġprotest
39,6,0.99609375,8659,Ġmovement
37,7,0.50390625,501,Ġthis
41,8,0.447265625,259,Ġa
40,9,0.78515625,529,Ġwas
42,10,0.1943359375,5104,Ġmoment
43,11,0.8046875,300,Ġof
44,12,0.322265625,20710,Ġcollective
46,13,0.54296875,378,Ġthat
45,14,0.8203125,24545,Ġsilence
47,15,0.09033203125,40698,Ġtransc
48,16,0.96484375,3010,ended
49,17,0.421875,4614,Ġwords
50,18,0.51171875,301,Ġand
52,19,0.6484375,13,.
53,20,0.326171875,1965,ĠAs
54,21,0.6484375,268,Ġthe
55,22,0.34765625,13343,Ġcrowd
56,23,0.609375,21835,Ġgathered
58,24,0.69140625,268,Ġthe
57,25,0.458984375,296,Ġin
61,26,0.60546875,268,Ġthe
60,27,0.76953125,300,Ġof
62,28,0.84375,4231,Ġcity
59,29,0.78125,4140,Ġheart
63,30,0.859375,11,","
51,31,0.2158203125,10277,Ġsounds
64,32,0.296875,268,Ġthe
65,33,0.52734375,3662,Ġair
68,34,0.80078125,391,Ġwith
69,35,0.828125,50511,Ġanticipation
66,36,0.7578125,529,Ġwas
70,37,0.71484375,13,.
67,38,0.52734375,10256,Ġthick
71,39,0.462890625,468,ĠThe
77,40,0.138671875,11,","
74,41,0.15625,259,Ġa
75,42,0.37890625,5459,Ġdeep
76,43,0.9921875,11241,Ġbreath
73,44,0.9921875,4227,Ġtook
72,45,0.67578125,9528,Ġleader
78,46,0.279296875,301,Ġand
79,47,0.287109375,1310,Ġthen
80,48,0.64453125,11,","
82,49,0.5859375,259,Ġa
81,50,0.6796875,391,Ġwith
85,51,0.51953125,11,","
84,52,0.609375,28917,Ġnod
86,53,0.2216796875,268,Ġthe
87,54,0.263671875,4495,Ġentire
89,55,0.68359375,12643,Ġfell
91,56,0.64453125,13,.
90,57,0.98828125,23929,Ġsilent
93,58,0.380859375,198,Ċ
92,59,0.87890625,198,Ċ
94,60,0.4375,678,The
95,61,0.3671875,24545,Ġsilence
88,62,0.4140625,13343,Ġcrowd
83,63,0.26953125,3554,Ġsingle
96,64,0.7109375,529,Ġwas
97,65,0.296875,526,Ġnot
98,66,0.408203125,1125,Ġjust
99,67,0.76171875,259,Ġa
101,68,0.578125,300,Ġof
100,69,0.52734375,6446,Ġlack
105,70,0.68359375,529,Ġwas
104,71,0.9921875,403,Ġit
103,72,0.99609375,26,;
106,73,0.8984375,259,Ġa
102,74,0.6640625,5470,Ġsound
108,75,0.26953125,11,","
107,76,0.2734375,49742,Ġdeliberate
111,77,0.494140625,13,.
109,78,0.44921875,38391,Ġsynchronized
110,79,0.28125,30393,Ġpause
112,80,0.2734375,963,ĠIt
113,81,0.85546875,529,Ġwas
115,82,0.59765625,624,Ġif
114,83,1.0,409,Ġas
116,84,0.578125,1380,Ġevery
117,85,0.31640625,1728,Ġperson
118,86,0.3203125,296,Ġin
119,87,0.9296875,268,Ġthe
120,88,0.65625,13343,Ġcrowd
121,89,0.53125,529,Ġwas
127,90,0.20703125,11,","
124,91,0.31640625,259,Ġa
123,92,0.3515625,300,Ġof
122,93,0.80859375,914,Ġpart
126,94,0.12353515625,11648,Ġentity
125,95,0.75390625,3554,Ġsingle
128,96,0.279296875,30221,Ġunited
129,97,0.6953125,296,Ġin
130,98,0.7734375,802,Ġtheir
132,99,0.400390625,13,.
133,100,0.78515625,468,ĠThe
135,101,0.271484375,529,Ġwas
134,102,0.703125,24545,Ġsilence
136,103,0.302734375,526,Ġnot
137,104,0.51953125,259,Ġa
139,105,0.306640625,300,Ġof
143,106,0.3984375,259,Ġa
142,107,0.9765625,731,Ġbut
141,108,0.921875,11,","
138,109,0.263671875,1710,Ġsign
140,110,0.75390625,22259,Ġweakness
131,111,0.1650390625,14974,Ġresolve
146,112,0.353515625,7526,Ġstrength
145,113,0.94921875,300,Ġof
144,114,0.5234375,25771,Ġdeclaration
147,115,0.359375,301,Ġand
149,116,0.78515625,13,.
151,117,0.71484375,198,Ċ
150,118,0.99609375,198,Ċ
152,119,0.53515625,2441,As
153,120,0.9453125,268,Ġthe
154,121,0.494140625,13343,Ġcrowd
158,122,0.474609375,11,","
159,123,0.57421875,268,Ġthe
156,124,0.478515625,297,Ġto
155,125,0.7421875,8862,Ġcontinued
157,126,0.39453125,11849,Ġgather
148,127,0.30078125,54190,Ġsolidarity
161,128,0.72265625,14296,Ġgrew
160,129,0.94921875,24545,Ġsilence
163,130,0.423828125,11,","
162,131,0.58984375,72092,Ġlouder
165,132,0.1962890625,259,Ġa
164,133,0.439453125,1029,Ġlike
166,134,0.22265625,42593,Ġthunder
167,135,0.408203125,756,ous
169,136,0.515625,13,.
168,137,0.578125,94189,Ġroar
170,138,0.53125,963,ĠIt
171,139,0.8359375,529,Ġwas
172,140,0.6328125,259,Ġa
174,141,0.326171875,300,Ġof
173,142,0.5546875,5104,Ġmoment
175,143,0.341796875,10866,Ġpure
176,144,0.62109375,11,","
177,145,0.73828125,832,Ġun
179,146,0.6640625,375,ul
178,147,1.0,354,ad
180,148,1.0,390,ter
181,149,1.0,659,ated
183,150,0.58984375,11,","
184,151,0.5078125,259,Ġa
182,152,0.431640625,2548,Ġpower
188,153,0.27734375,22277,Ġprotest
187,154,0.4140625,300,Ġof
189,155,0.80078125,378,Ġthat
185,156,0.6015625,23929,Ġsilent
191,157,0.3046875,1352,Ġthrough
190,158,0.828125,74542,Ġechoed
186,159,0.2001953125,86959,Ġanthem
192,160,0.9921875,268,Ġthe
193,161,0.6015625,17223,Ġstreets
194,162,0.6796875,13,.
195,163,0.87109375,468,ĠThe
197,164,0.291015625,529,Ġwas
196,165,0.376953125,24545,Ġsilence
198,166,0.48046875,526,Ġnot
199,167,0.53125,1125,Ġjust
200,168,0.9140625,259,Ġa
202,169,0.49609375,300,Ġof
205,170,0.51953125,731,Ġbut
204,171,0.99609375,11,","
206,172,0.93359375,259,Ġa
201,173,0.4765625,1627,Ġform
203,174,0.263671875,6127,Ġexpression
207,175,0.1796875,1487,Ġway
208,176,0.55859375,297,Ġto
210,177,0.494140625,6098,Ġattention
209,178,0.89453125,7154,Ġdemand
211,179,0.75,301,Ġand
212,180,0.6484375,3725,Ġaction
213,181,0.859375,13,.
215,182,0.92578125,198,Ċ
214,183,1.0,198,Ċ
216,184,0.546875,678,The
218,185,0.373046875,529,Ġwas
217,186,0.63671875,34669,Ġdemonstration
219,187,0.6328125,259,Ġa
220,188,0.71875,51383,Ġtestament
221,189,1.0,297,Ġto
222,190,0.9921875,268,Ġthe
223,191,0.87109375,2548,Ġpower
224,192,1.0,300,Ġof
225,193,0.703125,20710,Ġcollective
227,194,0.5546875,11,","
228,195,0.7265625,259,Ġa
229,196,0.71484375,26103,Ġreminder
230,197,0.875,378,Ġthat
231,198,0.625,1501,Ġeven
232,199,0.546875,268,Ġthe
233,200,0.484375,11764,Ġquiet
234,201,0.8671875,419,est
226,202,0.5,24545,Ġsilence
235,203,0.412109375,7912,Ġforms
236,204,1.0,300,Ġof
238,205,0.9375,560,Ġcan
237,206,0.84375,22277,Ġprotest
239,207,0.423828125,367,Ġbe
240,208,0.85546875,268,Ġthe
241,209,0.99609375,1325,Ġmost
243,210,0.94140625,13,.
245,211,0.65234375,529,Ġwas
244,212,1.0,963,ĠIt
246,213,0.97265625,259,Ġa
247,214,0.73828125,5104,Ġmoment
248,215,0.546875,300,Ġof
242,216,0.54296875,5398,Ġeffective
250,217,0.4921875,11,","
251,218,0.4609375,259,Ġa
253,219,0.4921875,300,Ġof
255,220,0.5390625,11,","
252,221,0.74609375,5104,Ġmoment
254,222,0.4609375,30121,Ġunity
249,223,0.09814453125,4159,Ġhope
257,224,0.89453125,259,Ġa
256,225,1.0,301,Ġand
258,226,0.91796875,5104,Ġmoment
259,227,0.984375,300,Ġof
261,228,0.62109375,13,.
262,229,0.72265625,468,ĠThe
264,230,0.6640625,529,Ġwas
263,231,0.92578125,24545,Ġsilence
266,232,0.8203125,1125,Ġjust
265,233,1.0,526,Ġnot
267,234,0.95703125,259,Ġa
269,235,0.421875,300,Ġof
271,236,0.5078125,11,","
268,237,0.404296875,1627,Ġform
270,238,0.546875,22277,Ġprotest
260,239,0.1748046875,59182,Ġempowerment
272,240,1.0,731,Ġbut
273,241,0.99609375,259,Ġa
287,242,0.99609375,126081,<|endoftext|>
285,243,0.96875,13,.
286,244,1.0,126348,<|eot_id|>
275,245,0.390625,300,Ġof
274,246,0.380859375,1487,Ġway
277,247,0.306640625,11,","
278,248,0.8671875,259,Ġa
279,249,0.953125,1487,Ġway
280,250,0.6484375,300,Ġof
276,251,0.466796875,4976,Ġliving
284,252,0.25,1931,Ġworld
283,253,0.87890625,268,Ġthe
281,254,0.8046875,1775,Ġbeing
282,255,0.99609375,296,Ġin
