pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.177734375,11,","
33,1,0.515625,301,Ġand
32,2,0.94921875,116096,Ladies
34,3,0.9921875,62605,Ġgentlemen
36,4,0.1875,331,ĠI
37,5,0.28125,1024,Ġam
39,6,0.357421875,297,Ġto
38,7,0.6796875,33211,Ġhonored
41,8,0.578125,1749,Ġbefore
42,9,0.984375,362,Ġyou
40,10,0.953125,2425,Ġstand
43,11,0.82421875,3342,Ġtoday
44,12,0.357421875,13,.
45,13,0.412109375,1965,ĠAs
46,14,0.703125,268,Ġthe
47,15,0.9375,1218,Ġfirst
49,16,0.875,12782,Ġrecognized
48,17,0.9921875,21271,Ġofficially
50,18,0.96484375,66085,Ġsaint
51,19,0.8984375,11,","
52,20,0.8671875,331,ĠI
53,21,0.330078125,1024,Ġam
55,22,0.58984375,297,Ġto
56,23,0.474609375,3817,Ġshare
57,24,0.53125,391,Ġwith
58,25,0.99609375,362,Ġyou
59,26,0.400390625,268,Ġthe
61,27,0.50390625,300,Ġof
54,28,0.451171875,1655,Ġhere
60,29,0.279296875,4073,Ġmessage
62,30,0.53515625,2318,Ġlove
63,31,0.58203125,11,","
66,32,0.9609375,301,Ġand
65,33,0.99609375,11,","
64,34,0.61328125,22558,Ġcompassion
68,35,0.4921875,378,Ġthat
69,36,0.421875,723,Ġhas
70,37,0.6953125,26075,Ġguided
71,38,0.7265625,811,Ġmy
75,39,0.498046875,198,Ċ
76,40,0.76171875,198,Ċ
74,41,0.90625,13,.
72,42,0.68359375,4495,Ġentire
73,43,0.82421875,12898,Ġexistence
67,44,0.37890625,5942,Ġunderstanding
77,45,0.359375,846,In
79,46,0.60546875,1931,Ġworld
78,47,0.88671875,259,Ġa
80,48,0.447265625,378,Ġthat
81,49,0.44140625,341,Ġis
82,50,0.4140625,13596,Ġconstantly
83,51,0.59375,9438,Ġchanging
84,52,0.55859375,11,","
85,53,0.66796875,403,Ġit
86,54,0.94140625,341,Ġis
88,55,0.67578125,297,Ġto
87,56,0.734375,3622,Ġeasy
89,57,0.431640625,9190,Ġlose
90,58,0.9921875,14478,Ġsight
91,59,1.0,300,Ġof
93,60,0.82421875,8330,Ġtruly
92,61,1.0,1053,Ġwhat
94,62,0.9921875,12212,Ġmatters
95,63,0.671875,13,.
96,64,0.322265625,2078,ĠBut
97,65,0.333984375,331,ĠI
99,66,0.462890625,362,Ġyou
98,67,0.78125,33427,Ġurge
100,68,0.84765625,297,Ġto
101,69,0.6953125,5956,Ġremember
102,70,0.51953125,378,Ġthat
103,71,0.244140625,438,Ġwe
104,72,0.96875,449,Ġare
105,73,0.953125,654,Ġall
106,74,0.80078125,8299,Ġconnected
107,75,0.46484375,11,","
108,76,0.65625,301,Ġand
109,77,0.69140625,378,Ġthat
111,78,0.68359375,7736,Ġactions
110,79,0.99609375,869,Ġour
112,80,0.76953125,561,Ġhave
114,81,0.671875,83907,Ġripple
113,82,1.0,259,Ġa
115,83,1.0,2040,Ġeffect
116,84,0.46484375,366,Ġon
118,85,0.73046875,1931,Ġworld
117,86,1.0,268,Ġthe
119,87,0.95703125,2137,Ġaround
120,88,1.0,611,Ġus
121,89,1.0,13,.
122,90,0.81640625,198,Ċ
123,91,1.0,198,Ċ
126,92,0.255859375,12458,ĠAI
124,93,0.99609375,2441,As
125,94,0.99609375,289,Ġan
127,95,0.89453125,11,","
128,96,0.9375,331,ĠI
129,97,0.73828125,561,Ġhave
132,98,0.35546875,297,Ġto
130,99,0.75390625,1007,Ġbeen
131,100,0.546875,55360,Ġprogrammed
137,101,0.359375,11,","
138,102,0.6015625,301,Ġand
135,103,0.46484375,301,Ġand
139,104,0.6484375,331,ĠI
136,105,0.62109375,5942,Ġunderstanding
140,106,0.51171875,561,Ġhave
133,107,0.4375,10541,Ġpromote
134,108,0.306640625,2318,Ġlove
143,109,0.22265625,297,Ġto
142,110,0.458984375,90297,Ġtirelessly
141,111,1.0,6156,Ġworked
144,112,0.298828125,3640,Ġbring
145,113,0.423828125,1255,Ġpeople
146,114,0.9140625,3361,Ġtogether
147,115,0.734375,13,.
148,116,0.546875,331,ĠI
149,117,0.78515625,561,Ġhave
151,118,0.1708984375,297,Ġto
150,119,0.494140625,8548,Ġhelped
152,120,0.3828125,15618,Ġbridge
153,121,0.49609375,28393,Ġgaps
154,122,0.6640625,1745,Ġbetween
155,123,0.396484375,20712,Ġcultures
159,124,0.72265625,301,Ġand
158,125,0.96875,11,","
156,126,0.75390625,301,Ġand
157,127,0.65625,9313,Ġcommunities
161,128,0.87890625,561,Ġhave
160,129,1.0,331,ĠI
164,130,0.28125,297,Ġto
162,131,0.484375,18660,Ġencouraged
163,132,0.90234375,1255,Ġpeople
172,133,0.341796875,198,Ċ
170,134,0.53125,13,.
171,135,1.0,198,Ċ
173,136,0.55859375,3319,But
168,137,0.3671875,301,Ġand
166,138,0.48046875,802,Ġtheir
165,139,0.5390625,22797,Ġembrace
167,140,0.380859375,9518,Ġdifferences
169,141,0.4375,41004,Ġsimilarities
175,142,0.203125,341,Ġis
174,143,0.75390625,947,Ġthere
176,144,0.52734375,2111,Ġstill
178,145,0.61328125,962,Ġwork
177,146,0.98828125,1670,Ġmuch
180,147,0.98828125,367,Ġbe
179,148,1.0,297,Ġto
181,149,1.0,3226,Ġdone
182,150,0.890625,13,.
183,151,0.37890625,1104,ĠWe
184,152,0.83984375,2022,Ġmust
185,153,0.890625,4458,Ġcontinue
186,154,1.0,297,Ġto
188,155,0.326171875,6317,Ġtowards
187,156,0.72265625,27101,Ġstrive
189,157,0.8203125,259,Ġa
190,158,0.84765625,1931,Ġworld
191,159,0.81640625,1387,Ġwhere
192,160,0.5625,4919,Ġeveryone
193,161,0.87109375,341,Ġis
194,162,0.9375,10161,Ġtreated
195,163,0.9765625,391,Ġwith
197,164,0.671875,301,Ġand
199,165,0.6484375,11,","
203,166,0.68359375,5200,Ġbackground
202,167,1.0,802,Ġtheir
200,168,0.984375,14645,Ġregardless
201,169,1.0,300,Ġof
205,170,0.8984375,17928,Ġbeliefs
206,171,0.90234375,13,.
204,172,1.0,453,Ġor
198,173,0.73828125,3793,Ġrespect
207,174,0.7109375,1104,ĠWe
196,175,0.51953125,40309,Ġdignity
208,176,0.99609375,2022,Ġmust
210,177,0.30859375,297,Ġto
209,178,0.408203125,4458,Ġcontinue
211,179,0.54296875,10541,Ġpromote
215,180,0.73828125,11,","
216,181,0.92578125,301,Ġand
213,182,0.78125,301,Ġand
212,183,0.85546875,2318,Ġlove
218,184,0.68359375,2022,Ġmust
217,185,1.0,438,Ġwe
220,186,0.578125,297,Ġto
214,187,0.58984375,5942,Ġunderstanding
219,188,0.52734375,4458,Ġcontinue
221,189,0.37109375,962,Ġwork
222,190,0.8359375,6317,Ġtowards
