pos,step_decoded,conf_decoded,token_id,token_str
45,0,0.25390625,10277,Ġsounds
46,1,0.87890625,1029,Ġlike
44,2,0.62890625,5638,That
47,3,0.59765625,259,Ġa
49,4,0.4453125,301,Ġand
48,5,0.3359375,23452,Ġfascinating
50,6,0.1875,73950,Ġsurreal
51,7,0.6875,16211,Ġscenario
52,8,0.67578125,13,.
54,9,0.20703125,362,Ġyou
53,10,0.392578125,3488,ĠDo
55,11,0.65234375,1699,Ġthink
56,12,0.4296875,403,Ġit
57,13,0.671875,698,'s
58,14,0.66015625,2917,Ġpossible
59,15,0.6640625,352,Ġfor
61,16,0.88671875,297,Ġto
60,17,0.474609375,16757,Ġdreams
62,18,0.71484375,367,Ġbe
63,19,0.5703125,34714,Ġtraded
64,20,0.51171875,1029,Ġlike
65,21,0.8828125,16537,Ġcurrency
67,22,0.453125,453,Ġor
66,23,1.0,11,","
68,24,0.93359375,341,Ġis
70,25,0.8515625,1125,Ġjust
71,26,0.9375,259,Ġa
69,27,0.4296875,403,Ġit
74,28,0.267578125,30,?
73,29,0.41015625,5997,Ġconcept
72,30,0.75,47548,Ġfictional
75,31,0.2353515625,126348,<|eot_id|>
76,32,1.0,126081,<|endoftext|>
77,33,1.0,126081,<|endoftext|>
78,34,1.0,126081,<|endoftext|>
79,35,1.0,126081,<|endoftext|>
80,36,1.0,126081,<|endoftext|>
81,37,1.0,126081,<|endoftext|>
82,38,1.0,126081,<|endoftext|>
83,39,1.0,126081,<|endoftext|>
84,40,1.0,126081,<|endoftext|>
85,41,1.0,126081,<|endoftext|>
86,42,1.0,126081,<|endoftext|>
87,43,1.0,126081,<|endoftext|>
88,44,1.0,126081,<|endoftext|>
89,45,1.0,126081,<|endoftext|>
90,46,1.0,126081,<|endoftext|>
91,47,1.0,126081,<|endoftext|>
92,48,1.0,126081,<|endoftext|>
93,49,1.0,126081,<|endoftext|>
94,50,1.0,126081,<|endoftext|>
95,51,1.0,126081,<|endoftext|>
96,52,1.0,126081,<|endoftext|>
97,53,1.0,126081,<|endoftext|>
98,54,1.0,126081,<|endoftext|>
99,55,1.0,126081,<|endoftext|>
100,56,1.0,126081,<|endoftext|>
101,57,1.0,126081,<|endoftext|>
102,58,1.0,126081,<|endoftext|>
103,59,1.0,126081,<|endoftext|>
104,60,1.0,126081,<|endoftext|>
105,61,1.0,126081,<|endoftext|>
106,62,1.0,126081,<|endoftext|>
107,63,1.0,126081,<|endoftext|>
