pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.44921875,15019,Ġfactory
38,1,0.8828125,678,The
40,2,0.37890625,341,Ġis
41,3,0.232421875,259,Ġa
43,4,0.2421875,11,","
42,5,0.232421875,96135,Ġsprawling
45,6,0.16796875,5268,Ġstructure
46,7,0.1943359375,378,Ġthat
47,8,0.2353515625,5132,Ġseems
48,9,0.87109375,297,Ġto
49,10,0.298828125,15597,Ġstretch
51,11,0.306640625,15823,Ġforever
50,12,0.9921875,366,Ġon
52,13,0.48046875,11,","
53,14,0.5234375,1097,Ġits
44,15,0.16015625,100789,Ġtowering
54,16,0.5234375,13788,Ġwalls
56,17,0.328125,391,Ġwith
55,18,0.83984375,34105,Ġlined
57,19,0.12109375,58463,Ġconveyor
58,20,0.99609375,56821,Ġbelts
59,21,0.5625,301,Ġand
60,22,0.1767578125,12308,Ġmachines
61,23,0.51953125,378,Ġthat
62,24,0.36328125,2851,Ġhum
63,25,0.38671875,391,Ġwith
64,26,0.375,289,Ġan
65,27,0.53125,118546,Ġeerie
67,28,0.73828125,13,.
66,29,0.388671875,3805,Ġenergy
68,30,0.279296875,30074,ĠInside
69,31,0.90234375,11,","
70,32,0.546875,268,Ġthe
71,33,0.90625,3662,Ġair
72,34,0.9453125,341,Ġis
73,35,0.8515625,10256,Ġthick
74,36,0.9765625,391,Ġwith
75,37,0.71875,268,Ġthe
76,38,0.65625,37264,Ġscent
77,39,0.99609375,300,Ġof
79,40,0.326171875,301,Ġand
80,41,0.326171875,268,Ġthe
81,42,0.6796875,43370,Ġfaint
83,43,0.7734375,300,Ġof
82,44,0.43359375,26829,Ġglow
78,45,0.458984375,73957,Ġozone
85,46,0.2001953125,13170,Ġlights
84,47,0.8359375,52244,Ġfluorescent
86,48,0.38671875,13,.
87,49,0.181640625,468,ĠThe
88,50,0.302734375,8673,Ġworkers
89,51,0.392578125,11,","
91,52,0.46484375,296,Ġin
90,53,0.69921875,100973,Ġclad
92,54,0.2353515625,4999,Ġwhite
94,55,0.298828125,301,Ġand
93,56,0.490234375,25600,Ġsuits
97,57,0.376953125,11,","
98,58,0.58203125,3303,Ġmove
99,59,0.34375,391,Ġwith
101,60,0.34375,18362,Ġprecision
100,61,0.796875,17719,Ġmechanical
96,62,0.3203125,27270,Ġmasks
95,63,0.3359375,6667,Ġgas
102,64,0.671875,11,","
103,65,0.361328125,802,Ġtheir
104,66,0.58203125,15319,Ġfaces
105,67,0.74609375,114568,Ġobscured
106,68,0.9453125,527,Ġby
107,69,0.59375,268,Ġthe
108,70,0.29296875,29547,Ġhood
109,71,0.890625,82,s
113,72,0.54296875,13,.
111,73,0.9375,802,Ġtheir
110,74,0.95703125,300,Ġof
112,75,0.7265625,81945,Ġhelmets
114,76,0.671875,198,Ċ
115,77,0.859375,198,Ċ
116,78,0.5078125,678,The
117,79,0.51953125,15019,Ġfactory
118,80,0.466796875,698,'s
120,81,0.31640625,341,Ġis
119,82,0.71484375,6189,Ġpurpose
121,83,0.83984375,297,Ġto
122,84,0.8671875,59968,Ġrecycle
124,85,0.96484375,16757,Ġdreams
123,86,0.9921875,49806,Ġdiscarded
125,87,0.6796875,1119,Ġinto
128,88,0.65234375,13,.
126,89,0.65625,2540,Ġsomething
127,90,0.875,6106,Ġuseful
129,91,0.5625,468,ĠThe
130,92,0.380859375,3456,Ġproducts
131,93,0.58984375,1851,Ġmade
132,94,0.578125,449,Ġare
133,95,0.0810546875,259,Ġa
135,96,0.412109375,300,Ġof
137,97,0.181640625,301,Ġand
134,98,0.318359375,5875,Ġmix
140,99,0.265625,13,.
142,100,0.296875,449,Ġare
141,101,0.828125,2263,ĠThere
136,102,0.419921875,16578,Ġstrange
139,103,0.578125,5172,Ġitems
138,104,0.16015625,114906,Ġunsettling
144,105,0.1611328125,1851,Ġmade
145,106,0.82421875,546,Ġfrom
146,107,0.53515625,268,Ġthe
148,108,0.53125,300,Ġof
149,109,0.44140625,25149,Ġforgotten
147,110,0.2021484375,12425,Ġfabric
143,111,0.0830078125,14156,Ġclothes
151,112,0.88671875,11,","
150,113,0.56640625,16919,Ġmemories
155,114,0.16015625,268,Ġthe
157,115,0.796875,300,Ġof
154,116,0.77734375,546,Ġfrom
160,117,0.69140625,11,","
161,118,0.94140625,301,Ġand
152,119,0.52734375,12291,Ġfurniture
153,120,0.59375,38880,Ġcrafted
162,121,0.55859375,1501,Ġeven
165,122,0.46875,546,Ġfrom
156,123,0.53125,6792,Ġwood
158,124,0.376953125,6040,Ġlost
159,125,0.4765625,18844,Ġhopes
164,126,0.240234375,1851,Ġmade
163,127,0.28515625,12291,Ġfurniture
166,128,0.953125,268,Ġthe
168,129,0.68359375,300,Ġof
171,130,0.62109375,13,.
169,131,0.326171875,73245,Ġshattered
170,132,0.41796875,16757,Ġdreams
172,133,0.259765625,468,ĠThe
173,134,0.3828125,15019,Ġfactory
174,135,0.70703125,911,Ġalso
175,136,0.859375,18413,Ġproduces
167,137,0.310546875,7966,Ġglass
177,138,0.193359375,1851,Ġmade
178,139,0.98828125,546,Ġfrom
179,140,0.921875,268,Ġthe
181,141,0.7734375,300,Ġof
180,142,0.0751953125,27472,Ġessence
176,143,0.1181640625,62821,Ġcosmetics
182,144,0.39453125,25149,Ġforgotten
184,145,0.458984375,11,","
185,146,0.392578125,301,Ġand
188,147,0.466796875,546,Ġfrom
189,148,0.984375,268,Ġthe
191,149,0.87890625,300,Ġof
196,150,0.8828125,198,Ċ
194,151,0.859375,13,.
195,152,0.99609375,198,Ċ
187,153,0.59375,1851,Ġmade
197,154,0.45703125,10248,However
192,155,0.4375,6040,Ġlost
183,156,0.185546875,26972,Ġdesires
193,157,0.1650390625,16757,Ġdreams
186,158,0.11865234375,3199,Ġfood
190,159,0.09130859375,27472,Ġessence
198,160,1.0,11,","
199,161,0.671875,268,Ġthe
200,162,0.66796875,3392,Ġside
201,163,0.99609375,5389,Ġeffects
202,164,0.93359375,300,Ġof
203,165,0.640625,1661,Ġusing
205,166,0.9609375,3456,Ġproducts
204,167,0.984375,1261,Ġthese
206,168,0.90625,449,Ġare
208,169,0.310546875,13,.
210,170,0.365234375,901,Ġwho
209,171,0.71875,13507,ĠThose
212,172,0.37109375,268,Ġthe
211,173,0.384765625,9340,Ġwear
213,174,0.7734375,14156,Ġclothes
207,175,0.1455078125,11224,Ġsevere
214,176,0.53125,1851,Ġmade
215,177,0.98828125,546,Ġfrom
216,178,0.89453125,25149,Ġforgotten
217,179,0.99609375,16919,Ġmemories
218,180,0.26171875,2526,Ġexperience
219,181,0.36328125,259,Ġa
222,182,0.41015625,300,Ġof
221,183,0.7890625,5209,Ġsense
224,184,0.484375,301,Ġand
226,185,0.5,13,.
227,186,0.71875,468,ĠThe
228,187,0.97265625,12291,Ġfurniture
229,188,0.73046875,1851,Ġmade
223,189,0.251953125,103666,Ġmelancholy
225,190,0.251953125,48604,Ġdespair
