pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.60546875,4450,Ġupon
33,1,0.99609375,11456,Once
35,2,0.99609375,259,Ġa
36,3,0.9921875,898,Ġtime
37,4,0.76171875,11,","
38,5,0.4140625,296,Ġin
39,6,0.84765625,259,Ġa
41,7,0.328125,3499,Ġfar
40,8,0.6796875,3944,Ġland
42,9,0.78515625,3204,Ġaway
43,10,0.92578125,11,","
44,11,0.76171875,947,Ġthere
46,12,0.7734375,259,Ġa
45,13,0.7421875,529,Ġwas
48,14,0.3046875,5088,Ġgirl
47,15,0.51171875,4036,Ġyoung
49,16,0.85546875,7508,Ġnamed
51,17,0.6328125,13,.
52,18,0.373046875,2608,ĠShe
50,19,0.2236328125,29693,ĠLily
53,20,0.263671875,7916,Ġloved
54,21,0.8125,297,Ġto
55,22,0.427734375,7313,Ġdream
56,23,0.2275390625,866,Ġabout
57,24,0.455078125,18915,Ġflying
59,25,0.46875,268,Ġthe
58,26,0.59765625,1352,Ġthrough
60,27,0.58203125,14250,Ġsky
61,28,0.43359375,301,Ġand
62,29,0.3046875,19166,Ġexploring
63,30,0.455078125,268,Ġthe
64,31,0.41015625,1931,Ġworld
66,32,0.3125,1094,Ġher
65,33,0.85546875,2137,Ġaround
67,34,0.90625,13,.
68,35,0.361328125,2078,ĠBut
69,36,0.58203125,409,Ġas
70,37,0.85546875,1285,Ġshe
71,38,0.8515625,14296,Ġgrew
73,39,0.828125,11,","
72,40,0.86328125,8855,Ġolder
74,41,0.58984375,1285,Ġshe
76,42,0.392578125,297,Ġto
75,43,0.66796875,4057,Ġstarted
78,44,0.53125,378,Ġthat
77,45,0.57421875,11660,Ġrealize
80,46,0.365234375,16757,Ġdreams
79,47,0.92578125,1094,Ġher
81,48,0.8203125,929,Ġwere
82,49,0.478515625,10112,Ġbecoming
84,50,0.7734375,301,Ġand
87,51,0.6640625,13,.
89,52,0.6875,198,Ċ
88,53,0.90234375,198,Ċ
92,54,0.71875,11,","
90,55,0.95703125,5146,One
85,56,0.59375,2645,Ġless
83,57,0.94140625,2645,Ġless
86,58,0.87109375,39631,Ġvivid
91,59,0.5,3945,Ġnight
93,60,0.3984375,29693,ĠLily
94,61,0.2197265625,1028,Ġhad
95,62,0.9375,259,Ġa
96,63,0.69921875,7313,Ġdream
99,64,0.28515625,529,Ġwas
98,65,0.984375,1285,Ġshe
97,66,0.75390625,378,Ġthat
102,67,0.4140625,259,Ġa
100,68,0.48046875,18915,Ġflying
101,69,0.3828125,997,Ġover
103,70,0.32421875,5071,Ġbeautiful
105,71,0.37109375,11,","
107,72,0.6640625,527,Ġby
106,73,0.9921875,22790,Ġsurrounded
110,74,0.59375,301,Ġand
109,75,0.32421875,10864,Ġtrees
108,76,0.875,15835,Ġtall
112,77,0.5859375,14462,Ġflowers
111,78,0.86328125,30760,Ġcolorful
104,79,0.30078125,12411,Ġforest
113,80,0.99609375,13,.
114,81,0.376953125,2608,ĠShe
115,82,0.67578125,6561,Ġfelt
116,83,0.333984375,740,Ġso
118,84,0.6875,301,Ġand
119,85,0.42578125,2169,Ġfree
117,86,0.8046875,5757,Ġhappy
120,87,0.52734375,11,","
121,88,0.408203125,301,Ġand
122,89,0.4140625,1285,Ġshe
123,90,0.4921875,6751,Ġknew
124,91,0.94921875,378,Ġthat
126,92,0.439453125,529,Ġwas
125,93,0.39453125,1285,Ġshe
128,94,0.177734375,297,Ġto
127,95,0.4296875,9329,Ġmeant
129,96,0.703125,367,Ġbe
131,97,0.48046875,13,.
130,98,0.8359375,947,Ġthere
132,99,0.74609375,2078,ĠBut
134,100,0.62890625,1285,Ġshe
135,101,0.84375,38566,Ġwoke
136,102,0.99609375,760,Ġup
133,103,0.95703125,950,Ġwhen
137,104,0.953125,11,","
138,105,0.9453125,1285,Ġshe
140,106,0.5546875,378,Ġthat
139,107,0.95703125,13215,Ġrealized
141,108,0.46484375,1285,Ġshe
142,109,0.69921875,529,Ġwas
144,110,0.474609375,296,Ġin
143,111,0.625,2111,Ġstill
145,112,0.73828125,1094,Ġher
146,113,0.51953125,4753,Ġbed
147,114,0.77734375,11,","
148,115,0.53125,301,Ġand
150,116,0.431640625,7313,Ġdream
149,117,0.8125,268,Ġthe
151,118,0.56640625,529,Ġwas
156,119,0.421875,198,Ċ
152,120,0.71484375,1125,Ġjust
157,121,0.8359375,198,Ċ
155,122,1.0,13,.
