pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.2734375,43,L
35,1,0.9921875,7613,aughter
40,2,0.53125,44138,Ġcommodity
37,3,0.95703125,268,Ġthe
38,4,1.0,1325,Ġmost
39,5,0.9765625,10535,Ġexpensive
36,6,0.70703125,6514,Ġbecame
41,7,0.58984375,1521,Ġbecause
42,8,0.5625,403,Ġit
43,9,0.6640625,341,Ġis
44,10,0.3515625,259,Ġa
46,11,0.251953125,301,Ġand
45,12,0.46875,9496,Ġrare
48,13,0.447265625,5470,Ġsound
49,14,0.74609375,378,Ġthat
47,15,0.451171875,11988,Ġvaluable
50,16,0.46875,560,Ġcan
51,17,0.42578125,367,Ġbe
53,18,0.57421875,301,Ġand
54,19,0.8984375,34714,Ġtraded
52,20,0.92578125,9176,Ġstored
55,21,0.69921875,13,.
56,22,0.171875,468,ĠThe
58,23,0.408203125,300,Ġof
59,24,0.76953125,41305,Ġlaughter
57,25,0.55078125,79289,Ġscarcity
60,26,0.306640625,341,Ġis
61,27,0.52734375,3614,Ġdue
62,28,1.0,297,Ġto
65,29,0.7421875,378,Ġthat
63,30,0.99609375,268,Ġthe
64,31,1.0,1850,Ġfact
67,32,0.5625,341,Ġis
66,33,0.80859375,403,Ġit
68,34,0.55859375,259,Ġa
69,35,0.53125,4946,Ġnatural
71,36,0.384765625,378,Ġthat
70,37,0.453125,5470,Ġsound
74,38,0.37890625,8340,Ġproduced
73,39,0.921875,367,Ġbe
72,40,0.9375,4331,Ġcannot
75,41,0.69140625,88116,Ġartificially
76,42,0.59765625,13,.
78,43,0.2255859375,79289,Ġscarcity
77,44,0.8984375,1077,ĠThis
79,45,0.515625,12884,Ġcreates
80,46,0.86328125,259,Ġa
81,47,0.78515625,7154,Ġdemand
82,48,0.8984375,352,Ġfor
83,49,0.86328125,41305,Ġlaughter
84,50,0.828125,11,","
85,51,0.65625,818,Ġwhich
86,52,0.43359375,20603,Ġdrives
88,53,0.8515625,1097,Ġits
87,54,1.0,760,Ġup
90,55,0.88671875,13,.
89,56,0.765625,3965,Ġprice
92,57,0.59765625,198,Ċ
91,58,0.8671875,198,Ċ
95,59,0.55078125,300,Ġof
96,60,0.98046875,41305,Ġlaughter
93,61,0.9921875,678,The
94,62,0.89453125,1669,Ġvalue
97,63,0.76953125,341,Ġis
100,64,0.455078125,1097,Ġits
101,65,0.7578125,5513,Ġability
102,66,1.0,297,Ġto
98,67,0.53515625,3614,Ġdue
99,68,1.0,297,Ġto
110,69,0.578125,7613,aughter
108,70,1.0,13,.
109,71,1.0,471,ĠL
105,72,0.5625,301,Ġand
111,73,0.416015625,341,Ġis
112,74,0.51953125,259,Ġa
113,75,0.46484375,20031,Ġuniversal
104,76,0.38671875,18769,Ġhappiness
103,77,0.6640625,3640,Ġbring
107,78,0.56640625,6299,Ġstress
106,79,0.53125,6658,Ġreduce
114,80,0.80078125,2295,Ġlanguage
115,81,0.8984375,378,Ġthat
116,82,0.58203125,560,Ġcan
118,83,0.353515625,1255,Ġpeople
117,84,0.6484375,3630,Ġconnect
119,85,0.5,301,Ġand
121,86,0.302734375,259,Ġa
123,87,0.8203125,300,Ġof
122,88,0.98046875,5209,Ġsense
120,89,0.84765625,2818,Ġcreate
125,90,0.69921875,13,.
124,91,0.77734375,3620,Ġcommunity
126,92,0.41015625,1077,ĠThis
127,93,0.15625,3524,Ġmakes
129,94,0.79296875,259,Ġa
128,95,0.6484375,403,Ġit
130,96,0.88671875,11988,Ġvaluable
131,97,0.9140625,44138,Ġcommodity
132,98,0.55859375,378,Ġthat
133,99,0.53125,560,Ġcan
134,100,0.81640625,367,Ġbe
135,101,0.6328125,34714,Ġtraded
136,102,0.45703125,352,Ġfor
139,103,0.40234375,2973,Ġservices
137,104,1.0,12192,Ġgoods
138,105,0.94921875,301,Ġand
140,106,0.90625,13,.
142,107,0.8046875,198,Ċ
141,108,0.9921875,198,Ċ
143,109,0.4609375,678,The
145,110,0.55859375,300,Ġof
144,111,0.625,6799,Ġstorage
146,112,0.88671875,41305,Ġlaughter
147,113,0.625,341,Ġis
148,114,0.251953125,911,Ġalso
149,115,0.61328125,259,Ġa
152,116,0.5625,1097,Ġits
150,117,0.9140625,6191,Ġfactor
151,118,0.9921875,296,Ġin
154,119,0.75,13,.
159,120,0.4765625,9176,Ġstored
158,121,0.984375,367,Ġbe
155,122,0.88671875,471,ĠL
156,123,1.0,7613,aughter
157,124,0.87890625,560,Ġcan
153,125,0.51171875,1669,Ġvalue
160,126,0.28125,296,Ġin
161,127,0.56640625,5910,Ġdigital
163,128,0.58203125,11,","
164,129,0.4765625,818,Ġwhich
165,130,0.52734375,560,Ġcan
166,131,0.77734375,367,Ġbe
168,132,0.43359375,301,Ġand
169,133,0.349609375,7089,Ġsold
167,134,0.96484375,10695,Ġbought
170,135,0.423828125,1029,Ġlike
172,136,0.796875,880,Ġother
171,137,1.0,897,Ġany
174,138,0.94140625,13,.
173,139,0.9765625,44138,Ġcommodity
175,140,0.7734375,1077,ĠThis
176,141,0.37890625,12884,Ġcreates
177,142,0.95703125,259,Ġa
162,143,0.330078125,5508,Ġfiles
178,144,0.703125,2201,Ġmarket
180,145,0.91015625,41305,Ġlaughter
179,146,0.98046875,352,Ġfor
181,147,0.890625,11,","
182,148,0.83984375,818,Ġwhich
189,149,0.73828125,198,Ċ
187,150,0.77734375,13,.
188,151,0.9921875,198,Ċ
185,152,0.98828125,1097,Ġits
184,153,0.921875,760,Ġup
183,154,0.9921875,20603,Ġdrives
186,155,0.95703125,3965,Ġprice
191,156,0.62890625,11,","
192,157,0.7734375,268,Ġthe
190,158,0.353515625,17927,Finally
193,159,0.10595703125,7573,Ġtrade
195,160,0.92578125,41305,Ġlaughter
194,161,0.96875,300,Ġof
196,162,0.8515625,341,Ġis
199,163,0.69921875,6191,Ġfactor
201,164,0.953125,1097,Ġits
200,165,0.99609375,296,Ġin
203,166,0.98046875,13,.
202,167,0.96875,1669,Ġvalue
208,168,0.9453125,34714,Ġtraded
206,169,1.0,560,Ġcan
207,170,1.0,367,Ġbe
205,171,0.99609375,7613,aughter
204,172,1.0,471,ĠL
197,173,0.91015625,911,Ġalso
198,174,0.99609375,259,Ġa
209,175,0.6484375,352,Ġfor
210,176,0.859375,12192,Ġgoods
212,177,0.9921875,2973,Ġservices
211,178,0.98046875,301,Ġand
213,179,0.91015625,11,","
214,180,0.5234375,818,Ġwhich
215,181,0.56640625,12884,Ġcreates
216,182,0.91015625,259,Ġa
218,183,0.76171875,352,Ġfor
223,184,0.703125,760,Ġup
224,185,0.9921875,1097,Ġits
225,186,0.98828125,3965,Ġprice
222,187,0.96875,20603,Ġdrives
219,188,0.734375,41305,Ġlaughter
220,189,0.68359375,11,","
221,190,0.9921875,818,Ġwhich
217,191,0.5546875,7154,Ġdemand
226,192,0.99609375,13,.
228,193,0.87109375,198,Ċ
227,194,0.984375,198,Ċ
231,195,0.90625,11,","
229,196,1.0,846,In
