pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.251953125,40,I
39,1,0.4375,560,Ġcan
40,2,0.453125,1227,'t
41,3,0.380859375,13509,Ġcapture
42,4,0.53125,259,Ġa
43,5,0.6171875,5104,Ġmoment
45,6,0.4453125,731,Ġbut
44,7,1.0,11,","
46,8,0.95703125,331,ĠI
47,9,0.984375,560,Ġcan
48,10,0.6953125,10173,Ġdescribe
49,11,0.439453125,403,Ġit
51,12,0.66015625,362,Ġyou
52,13,0.71484375,13,.
53,14,0.5703125,198,Ċ
50,15,0.5625,297,Ġto
54,16,1.0,198,Ċ
55,17,0.85546875,49185,Imagine
57,18,0.474609375,3273,'re
56,19,0.99609375,362,Ġyou
60,20,0.578125,259,Ġa
59,21,0.7265625,296,Ġin
62,22,0.53125,11,","
58,23,0.455078125,11397,Ġstanding
63,24,0.498046875,8014,Ġempty
64,25,0.71875,3284,Ġroom
65,26,0.56640625,11,","
61,27,0.5,14207,Ġvast
66,28,0.296875,301,Ġand
67,29,0.72265625,1380,Ġevery
69,30,0.76953125,362,Ġyou
68,31,0.54296875,3212,Ġstep
70,32,0.99609375,1801,Ġtake
72,33,0.421875,259,Ġa
71,34,0.51953125,10270,Ġleaves
73,35,0.5625,43370,Ġfaint
76,36,0.3515625,3368,ĠAt
75,37,1.0,13,.
77,38,1.0,1218,Ġfirst
78,39,1.0,11,","
74,40,0.76953125,8119,Ġecho
80,41,0.55859375,84377,Ġechoes
81,42,0.89453125,449,Ġare
79,43,0.75,268,Ġthe
83,44,0.38671875,301,Ġand
82,45,0.6015625,8135,Ġsoft
84,46,0.71484375,22990,Ġbarely
85,47,0.76953125,42183,Ġnoticeable
88,48,0.609375,409,Ġas
86,49,0.77734375,11,","
87,50,1.0,731,Ġbut
89,51,0.796875,362,Ġyou
90,52,0.79296875,4458,Ġcontinue
91,53,0.9296875,297,Ġto
93,54,0.64453125,11,","
92,55,0.78515625,4372,Ġwalk
94,56,0.59765625,792,Ġthey
96,57,0.69921875,297,Ġto
95,58,0.5625,1489,Ġstart
98,59,0.373046875,301,Ġand
97,60,0.546875,30662,Ġoverlap
