pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.3984375,46221,ĠForecast
28,1,0.87109375,25,:
26,2,0.71875,698,'s
25,3,0.98828125,88958,Tomorrow
30,4,0.283203125,198,Ċ
29,5,0.85546875,198,Ċ
31,6,0.287109375,480,**
33,7,0.38671875,31073,:**
32,8,0.34375,48946,Weather
34,9,0.2001953125,198,Ċ
35,10,0.39453125,12,-
36,11,0.57421875,5321,Ġ**
38,12,0.5234375,31073,:**
37,13,0.306640625,78144,Morning
39,14,0.447265625,355,ĠA
40,15,0.435546875,17561,Ġgentle
41,16,0.37109375,41746,Ġbreeze
42,17,0.1865234375,24738,Ġcarries
45,18,0.55078125,300,Ġof
43,19,0.5859375,268,Ġthe
46,20,0.474609375,4159,Ġhope
44,21,0.6640625,37264,Ġscent
47,22,0.453125,11,","
49,23,0.326171875,268,Ġthe
48,24,0.61328125,15187,Ġpainting
50,25,0.9609375,14250,Ġsky
51,26,0.80078125,391,Ġwith
53,27,0.6015625,300,Ġof
52,28,0.859375,84050,Ġhues
55,29,0.6328125,301,Ġand
56,30,0.3359375,17994,Ġpink
54,31,0.484375,18893,Ġorange
57,32,0.65234375,13,.
58,33,0.357421875,468,ĠThe
60,34,0.373046875,341,Ġis
59,35,0.7890625,3662,Ġair
62,36,0.83984375,391,Ġwith
61,37,0.83984375,10604,Ġfilled
63,38,0.486328125,268,Ġthe
65,39,0.59765625,300,Ġof
67,40,0.63671875,64862,Ġbeginnings
66,41,0.94140625,782,Ġnew
64,42,0.84765625,13988,Ġpromise
68,43,0.578125,13,.
71,44,0.859375,5321,Ġ**
70,45,1.0,12,-
69,46,1.0,198,Ċ
72,47,0.60546875,26738,Af
73,48,1.0,13054,ternoon
74,49,0.9921875,31073,:**
75,50,0.5,355,ĠA
76,51,0.353515625,7524,Ġwarm
77,52,0.69921875,11,","
78,53,0.66796875,20799,Ġgolden
79,54,0.55859375,6326,Ġsun
82,55,0.296875,11,","
83,56,0.765625,34315,Ġcasting
84,57,0.8515625,259,Ġa
86,58,0.470703125,26829,Ġglow
87,59,0.6015625,997,Ġover
88,60,0.85546875,268,Ġthe
80,61,0.435546875,63963,Ġshines
81,62,0.8203125,78442,Ġbrightly
