pos,step_decoded,conf_decoded,token_id,token_str
40,0,0.24609375,56276,Discovery
41,1,0.96875,9655,ĠReport
42,2,0.7421875,25,:
45,3,0.421875,9513,ĠLove
44,4,0.90625,7534,First
46,5,0.93359375,6,'
43,6,1.0,689,Ġ'
47,7,0.5,42569,ĠExc
48,8,1.0,736,av
49,9,1.0,356,ation
51,10,0.86328125,198,Ċ
50,11,0.87890625,13284,ĠSite
52,12,0.734375,198,Ċ
53,13,0.318359375,6272,Date
54,14,0.8671875,25,:
55,15,0.255859375,831,Ġ[
56,16,0.84375,22114,Insert
58,17,0.8828125,60,]
59,18,0.9921875,198,Ċ
57,19,0.91015625,8383,ĠDate
60,20,0.67578125,198,Ċ
62,21,0.80078125,25,:
61,22,0.890625,8934,Location
64,23,0.75390625,22114,Insert
63,24,1.0,831,Ġ[
65,25,0.921875,19286,ĠLocation
68,26,0.91796875,198,Ċ
66,27,0.984375,60,]
67,28,0.99609375,198,Ċ
70,29,0.31640625,25,:
69,30,0.134765625,21688,Summary
71,31,0.296875,66785,ĠArchae
72,32,0.94921875,20147,ologists
73,33,0.6796875,561,Ġhave
76,34,0.734375,1403,hed
74,35,1.0,25208,Ġune
75,36,1.0,513,art
77,37,0.439453125,259,Ġa
78,38,0.1728515625,21709,Ġremarkable
80,39,0.3359375,300,Ġof
82,40,0.53125,1678,ized
81,41,1.0,33923,Ġfossil
83,42,0.7421875,17255,Ġemotions
85,43,0.61328125,268,Ġthe
84,44,0.60546875,482,Ġat
87,45,0.48046875,2939,Ġsite
86,46,0.98046875,98554,Ġexcavation
79,47,0.369140625,16920,Ġdiscovery
88,48,0.8828125,300,Ġof
91,49,0.984375,9513,ĠLove
90,50,1.0,7534,First
89,51,0.98828125,689,Ġ'
92,52,0.51171875,9356,'.
93,53,0.3515625,3237,ĠThese
95,54,0.376953125,1678,ized
94,55,0.96875,33923,Ġfossil
96,56,0.875,17255,Ġemotions
97,57,0.2373046875,2598,Ġprovide
101,58,0.53515625,268,Ġthe
100,59,0.95703125,1119,Ġinto
99,60,0.8203125,15236,Ġinsights
102,61,0.7265625,5809,Ġlives
103,62,0.62109375,300,Ġof
98,63,0.28515625,11988,Ġvaluable
104,64,0.54296875,14825,Ġancient
106,65,0.384765625,301,Ġand
107,66,0.55859375,802,Ġtheir
105,67,0.396484375,99630,Ġcivilizations
112,68,0.40625,198,Ċ
110,69,0.734375,13,.
111,70,0.96484375,198,Ċ
108,71,0.73828125,12282,Ġemotional
109,72,0.70703125,8400,Ġexperiences
113,73,0.259765625,15906,During
114,74,0.7109375,268,Ġthe
115,75,0.91796875,98554,Ġexcavation
116,76,0.7734375,11,","
117,77,0.37890625,40286,Ġarchae
118,78,0.99609375,20147,ologists
119,79,0.390625,1909,Ġfound
121,80,0.375,300,Ġof
120,81,0.55078125,4928,Ġevidence
123,82,0.44140625,1678,ized
122,83,0.99609375,33923,Ġfossil
124,84,0.62109375,17255,Ġemotions
125,85,0.7734375,296,Ġin
126,86,0.7421875,268,Ġthe
127,87,0.91015625,1627,Ġform
128,88,1.0,300,Ġof
132,89,0.1923828125,11,","
133,90,0.5859375,301,Ġand
130,91,0.99609375,11,","
134,92,0.388671875,880,Ġother
135,93,0.396484375,41546,Ġartifacts
129,94,0.2041015625,74158,Ġpottery
131,95,0.38671875,23859,Ġjewelry
136,96,0.72265625,13,.
137,97,0.49609375,3237,ĠThese
138,98,0.78125,41546,Ġartifacts
139,99,0.2109375,72924,Ġdepict
140,100,0.40234375,19038,Ġscenes
141,101,0.8984375,300,Ġof
143,102,0.5390625,11,","
145,103,0.89453125,11,","
146,104,0.8984375,301,Ġand
142,105,0.859375,2318,Ġlove
148,106,0.51171875,11,","
144,107,0.31640625,10221,Ġpassion
150,108,0.298828125,259,Ġa
151,109,0.78515625,40171,Ġglimpse
149,110,0.81640625,8961,Ġoffering
147,111,0.265625,25051,Ġromance
152,112,0.99609375,1119,Ġinto
153,113,0.9921875,268,Ġthe
155,114,0.78515625,5809,Ġlives
156,115,0.984375,300,Ġof
154,116,0.87890625,12282,Ġemotional
159,117,0.515625,13,.
161,118,0.87890625,198,Ċ
160,119,0.9921875,198,Ċ
157,120,0.734375,14825,Ġancient
158,121,0.625,1255,Ġpeople
162,122,0.5234375,5146,One
163,123,0.5859375,300,Ġof
164,124,1.0,268,Ġthe
165,125,0.9765625,1325,Ġmost
166,126,0.53125,3741,Ġsignificant
167,127,0.5234375,52695,Ġdiscoveries
168,128,0.90625,529,Ġwas
169,129,0.89453125,259,Ġa
171,130,0.357421875,300,Ġof
172,131,0.6171875,74158,Ġpottery
170,132,0.6171875,6937,Ġpiece
174,133,0.3203125,259,Ġa
