pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.1064453125,18031,onom
36,1,1.0,125267,Astr
38,2,0.71484375,427,ers
39,3,0.474609375,561,Ġhave
42,4,0.490234375,1335,Ġconst
43,5,0.99609375,596,ell
44,6,1.0,768,ations
41,7,0.94140625,378,Ġthat
40,8,0.80078125,11271,Ġdiscovered
45,9,0.59375,2712,Ġchange
46,10,0.86328125,7376,Ġshape
47,11,0.77734375,2901,Ġbased
48,12,1.0,366,Ġon
49,13,0.8046875,4742,Ġglobal
51,14,0.9609375,5011,Ġlevels
50,15,0.96875,18863,Ġemotion
52,16,0.7890625,13,.
53,17,0.26953125,1077,ĠThis
54,18,0.1806640625,341,Ġis
55,19,0.376953125,259,Ġa
57,20,0.34765625,16920,Ġdiscovery
56,21,0.49609375,69789,Ġgroundbreaking
58,22,0.4609375,378,Ġthat
59,23,0.28125,723,Ġhas
60,24,0.353515625,1007,Ġbeen
62,25,0.443359375,527,Ġby
61,26,0.50390625,1851,Ġmade
63,27,0.34375,268,Ġthe
64,28,0.20703125,2286,Ġteam
65,29,0.53125,300,Ġof
67,30,0.640625,482,Ġat
66,31,0.458984375,125206,Ġastronomers
68,32,0.8671875,268,Ġthe
69,33,0.56640625,10214,Ġobserv
70,34,1.0,4695,atory
71,35,0.84765625,13,.
73,36,0.498046875,198,Ċ
72,37,0.67578125,198,Ċ
74,38,0.462890625,678,The
75,39,0.52734375,2286,Ġteam
77,40,0.41015625,1007,Ġbeen
76,41,0.96484375,723,Ġhas
79,42,0.58203125,268,Ġthe
80,43,0.77734375,1335,Ġconst
81,44,1.0,596,ell
82,45,1.0,768,ations
83,46,0.65234375,352,Ġfor
78,47,0.57421875,16941,Ġstudying
85,48,0.328125,1594,Ġyears
84,49,0.58984375,3480,Ġseveral
86,50,0.455078125,301,Ġand
87,51,0.67578125,723,Ġhas
89,52,0.546875,378,Ġthat
88,53,0.4296875,1909,Ġfound
90,54,0.39453125,268,Ġthe
92,55,0.6015625,300,Ġof
95,56,0.84375,596,ell
94,57,1.0,1335,Ġconst
96,58,1.0,768,ations
93,59,0.87890625,268,Ġthe
91,60,0.76953125,7376,Ġshape
97,61,0.6171875,4309,Ġchanges
99,62,0.7109375,366,Ġon
98,63,0.5625,10315,Ġdepending
100,64,0.97265625,268,Ġthe
102,65,0.4296875,300,Ġof
101,66,0.54296875,2234,Ġlevel
103,67,0.3828125,4742,Ġglobal
105,68,0.90625,13,.
104,69,0.80078125,17255,Ġemotions
106,70,0.3515625,3165,ĠWhen
108,71,0.41796875,449,Ġare
107,72,0.5546875,17255,Ġemotions
110,73,0.90234375,11,","
111,74,0.96484375,268,Ġthe
113,75,0.9609375,596,ell
112,76,1.0,1335,Ġconst
114,77,1.0,768,ations
109,78,0.8828125,1607,Ġhigh
115,79,0.8046875,5397,Ġappear
118,80,0.44921875,778,Ġmore
116,81,0.8359375,297,Ġto
117,82,0.91796875,367,Ġbe
120,83,0.86328125,301,Ġand
124,84,0.5,17255,Ġemotions
125,85,0.99609375,449,Ġare
127,86,0.9921875,11,","
122,87,0.98828125,13,.
123,88,1.0,3165,ĠWhen
126,89,0.98828125,3185,Ġlow
128,90,0.97265625,268,Ġthe
129,91,0.99609375,1335,Ġconst
130,92,1.0,596,ell
131,93,1.0,768,ations
119,94,0.1904296875,28793,Ġvibrant
121,95,0.25,30760,Ġcolorful
132,96,0.93359375,5397,Ġappear
134,97,0.890625,367,Ġbe
133,98,1.0,297,Ġto
141,99,0.8046875,198,Ċ
139,100,0.8984375,13,.
140,101,0.99609375,198,Ċ
142,102,0.82421875,678,The
137,103,0.6015625,301,Ġand
135,104,0.9140625,778,Ġmore
136,105,0.5078125,37946,Ġdull
143,106,0.466796875,2286,Ġteam
144,107,0.48046875,723,Ġhas
138,108,0.337890625,21242,Ġgray
145,109,0.333984375,1007,Ġbeen
147,110,0.248046875,297,Ġto
146,111,0.8359375,2766,Ġable
149,112,0.5234375,501,Ġthis
151,113,0.3984375,527,Ġby
152,114,0.45703125,28500,Ġanalyzing
148,115,0.7578125,1253,Ġmake
150,116,0.98046875,16920,Ġdiscovery
153,117,0.62890625,1354,Ġdata
154,118,0.96875,546,Ġfrom
155,119,0.51953125,4102,Ġvarious
156,120,0.96875,8270,Ġsources
157,121,0.85546875,11,","
158,122,0.94140625,2524,Ġincluding
160,123,0.78515625,4186,Ġmedia
159,124,1.0,3446,Ġsocial
161,125,0.73828125,11,","
162,126,0.8125,4113,Ġnews
163,127,0.734375,9234,Ġarticles
164,128,0.99609375,11,","
165,129,1.0,301,Ġand
168,130,0.59375,13,.
169,131,0.68359375,2240,ĠThey
170,132,0.8984375,561,Ġhave
171,133,0.349609375,1007,Ġbeen
173,134,0.94921875,297,Ġto
172,135,1.0,2766,Ġable
175,136,0.4140625,268,Ġthe
177,137,0.6015625,300,Ġof
179,138,0.63671875,17255,Ġemotions
178,139,0.9921875,4742,Ġglobal
176,140,0.88671875,2234,Ġlevel
174,141,0.353515625,5326,Ġmeasure
166,142,0.298828125,9112,Ġweather
167,143,0.71875,7758,Ġreports
180,144,0.6953125,301,Ġand
193,145,0.53125,198,Ċ
191,146,0.76171875,13,.
192,147,1.0,198,Ċ
189,148,0.9921875,596,ell
188,149,1.0,1335,Ġconst
190,150,1.0,768,ations
187,151,0.9921875,268,Ġthe
184,152,0.98828125,268,Ġthe
186,153,0.96875,300,Ġof
195,154,0.8515625,16920,Ġdiscovery
194,155,0.953125,1921,This
181,156,0.80859375,68078,Ġcorrelate
183,157,0.93359375,391,Ġwith
182,158,0.703125,403,Ġit
185,159,0.494140625,7376,Ġshape
198,160,0.80078125,17074,Ġimplications
196,161,0.9921875,723,Ġhas
199,162,0.9765625,352,Ġfor
197,163,0.66015625,3741,Ġsignificant
202,164,0.62109375,300,Ġof
200,165,0.73046875,869,Ġour
201,166,1.0,5942,Ġunderstanding
203,167,0.9140625,268,Ġthe
204,168,0.703125,16928,Ġuniverse
205,169,0.64453125,301,Ġand
206,170,0.5546875,869,Ġour
207,171,0.9453125,2242,Ġplace
209,172,1.0,403,Ġit
210,173,1.0,13,.
211,174,0.84375,963,ĠIt
208,175,0.5625,296,Ġin
212,176,0.88671875,12009,Ġsuggests
213,177,1.0,378,Ġthat
215,178,0.55078125,17255,Ġemotions
214,179,0.9375,869,Ġour
216,180,0.283203125,301,Ġand
217,181,0.32421875,13975,Ġfeelings
218,182,0.375,449,Ġare
219,183,0.427734375,8299,Ġconnected
220,184,0.9921875,297,Ġto
221,185,0.9453125,268,Ġthe
222,186,0.37890625,16928,Ġuniverse
223,187,0.546875,296,Ġin
225,188,0.59375,1487,Ġway
224,189,0.81640625,259,Ġa
226,190,0.984375,378,Ġthat
227,191,0.71484375,438,Ġwe
232,192,0.494140625,13,.
234,193,0.65234375,198,Ċ
233,194,0.99609375,198,Ċ
235,195,0.765625,678,The
229,196,0.70703125,526,Ġnot
230,197,0.62890625,8338,Ġpreviously
228,198,0.66796875,1028,Ġhad
236,199,0.62890625,2286,Ġteam
238,200,0.5390625,125206,Ġastronomers
237,201,1.0,300,Ġof
239,202,0.75390625,482,Ġat
241,203,1.0,10214,Ġobserv
240,204,1.0,268,Ġthe
242,205,1.0,4695,atory
243,206,0.466796875,627,Ġwill
231,207,0.4375,13215,Ġrealized
244,208,0.98046875,4458,Ġcontinue
245,209,0.98828125,297,Ġto
246,210,0.93359375,2895,Ġstudy
247,211,0.796875,501,Ġthis
248,212,0.859375,24022,Ġphenomenon
249,213,0.84375,301,Ġand
251,214,0.3515625,297,Ġto
250,215,0.7734375,2164,Ġtry
252,216,0.875,2725,Ġunderstand
253,217,0.87109375,268,Ġthe
255,218,0.478515625,5332,Ġbehind
256,219,0.875,403,Ġit
257,220,1.0,13,.
254,221,0.80859375,16350,Ġmechanisms
258,222,0.734375,2240,ĠThey
259,223,0.7109375,4159,Ġhope
260,224,0.5625,297,Ġto
261,225,0.50390625,7498,Ġgain
263,226,0.62890625,15236,Ġinsights
264,227,0.9921875,1119,Ġinto
265,228,0.90625,268,Ġthe
267,229,0.87109375,1745,Ġbetween
269,230,0.90234375,17255,Ġemotions
270,231,0.99609375,301,Ġand
271,232,0.9765625,268,Ġthe
268,233,0.90234375,869,Ġour
272,234,0.89453125,16928,Ġuniverse
274,235,0.75,301,Ġand
273,236,1.0,11,","
275,237,0.828125,297,Ġto
266,238,0.53515625,4003,Ġrelationship
262,239,0.4375,3968,Ġfurther
291,240,0.96875,126081,<|endoftext|>
290,241,0.9453125,126348,<|eot_id|>
289,242,0.99609375,13,.
278,243,0.2373046875,4848,Ġknowledge
276,244,0.99609375,1071,Ġuse
277,245,1.0,501,Ġthis
279,246,1.0,297,Ġto
280,247,0.427734375,1376,Ġhelp
281,248,0.482421875,1255,Ġpeople
283,249,0.462890625,2725,Ġunderstand
282,250,1.0,2424,Ġbetter
285,251,0.87109375,8451,Ġmanage
284,252,1.0,301,Ġand
286,253,1.0,802,Ġtheir
288,254,0.9296875,17255,Ġemotions
287,255,1.0,1645,Ġown
