pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.443359375,59069,ĠEfficiency
41,1,0.99609375,3834,ĠGu
40,2,1.0,301,Ġand
42,3,1.0,3888,ilt
43,4,1.0,33265,ĠMaintenance
45,5,0.9375,198,Ċ
37,6,0.8984375,480,**
38,7,0.99609375,79763,Fuel
44,8,0.96875,480,**
46,9,0.96875,198,Ċ
49,10,0.25390625,59069,ĠEfficiency
48,11,0.65625,79763,Fuel
47,12,0.80859375,480,**
51,13,0.68359375,198,Ċ
52,14,0.69921875,198,Ċ
50,15,0.69921875,480,**
53,16,0.26171875,678,The
54,17,0.283203125,62664,ĠEmotional
55,18,0.69140625,8476,ĠEngine
56,19,0.271484375,24229,Ġoperates
57,20,0.55859375,366,Ġon
58,21,0.703125,259,Ġa
60,22,0.734375,300,Ġof
62,23,0.69921875,17255,Ġemotions
61,24,0.9453125,3738,Ġhuman
63,25,0.57421875,11,","
64,26,0.345703125,2524,Ġincluding
66,27,0.73046875,11,","
68,28,0.98828125,11,","
65,29,0.53125,12916,Ġjoy
67,30,0.400390625,47619,Ġsadness
59,31,0.2470703125,6216,Ġvariety
70,32,0.984375,11,","
69,33,0.7265625,23531,Ġanger
72,34,0.58984375,11,","
73,35,0.8046875,301,Ġand
75,36,0.91796875,13,.
71,37,0.7265625,9147,Ġfear
74,38,0.431640625,2318,Ġlove
76,39,0.28515625,2421,ĠTo
80,40,0.51171875,11,","
79,41,0.78515625,10759,Ġefficiency
78,42,0.93359375,10986,Ġfuel
77,43,0.546875,26648,Ġmaximize
84,44,0.44921875,297,Ġto
81,45,0.8046875,403,Ġit
82,46,0.75390625,341,Ġis
83,47,0.87890625,10442,Ġrecommended
90,48,0.34765625,17255,Ġemotions
86,49,0.78515625,259,Ġa
88,50,0.5703125,300,Ġof
89,51,0.73828125,1261,Ġthese
87,52,0.60546875,8652,Ġbalance
85,53,0.59765625,5351,Ġmaintain
91,54,0.65234375,13,.
92,55,0.140625,7851,ĠEm
93,56,0.99609375,40231,otions
94,57,0.56640625,378,Ġthat
95,58,0.44921875,449,Ġare
96,59,0.34765625,2226,Ġtoo
97,60,0.796875,19931,Ġintense
98,61,0.625,453,Ġor
99,62,0.306640625,2226,Ġtoo
100,63,0.2041015625,19194,Ġfrequent
101,64,0.6953125,560,Ġcan
103,65,0.44921875,268,Ġthe
102,66,0.396484375,19902,Ġdrain
104,67,0.435546875,4954,Ġengine
105,68,0.46484375,698,'s
107,69,0.388671875,11,","
106,70,0.390625,3805,Ġenergy
109,71,0.291015625,297,Ġto
108,72,0.98046875,6135,Ġleading
110,73,0.37890625,17444,Ġdecreased
111,74,0.546875,10759,Ġefficiency
112,75,0.72265625,13,.
114,76,0.48828125,198,Ċ
113,77,0.98828125,198,Ċ
115,78,0.8125,480,**
116,79,0.98828125,11930,Gu
117,80,1.0,3888,ilt
118,81,1.0,33265,ĠMaintenance
119,82,1.0,480,**
120,83,1.0,198,Ċ
121,84,1.0,198,Ċ
