pos,step_decoded,conf_decoded,token_id,token_str
42,0,0.375,301,Ġand
41,1,0.984375,116096,Ladies
44,2,0.71875,11,","
43,3,0.98046875,62605,Ġgentlemen
45,4,0.283203125,198,Ċ
46,5,0.82421875,198,Ċ
47,6,0.4296875,14722,Today
48,7,0.8515625,11,","
49,8,0.78125,331,ĠI
50,9,0.84765625,2425,Ġstand
52,10,0.9296875,362,Ġyou
51,11,0.984375,1749,Ġbefore
53,12,0.455078125,297,Ġto
55,13,0.28515625,2864,Ġagainst
54,14,0.67578125,22277,Ġprotest
56,15,0.78125,268,Ġthe
58,16,0.41015625,4130,Ġtax
57,17,0.46484375,18863,Ġemotion
59,18,0.42578125,13,.
60,19,0.4140625,1965,ĠAs
61,20,0.76953125,259,Ġa
62,21,0.890625,25562,Ġcitizen
63,22,0.58203125,11,","
64,23,0.8984375,331,ĠI
67,24,0.46484375,1484,Ġright
68,25,0.98046875,297,Ġto
65,26,0.94921875,561,Ġhave
69,27,0.84375,4913,Ġexpress
70,28,0.64453125,811,Ġmy
71,29,0.6484375,17255,Ġemotions
66,30,0.55859375,268,Ġthe
72,31,0.310546875,26538,Ġfreely
73,32,0.29296875,11,","
74,33,0.5390625,2094,Ġwithout
75,34,0.8515625,9147,Ġfear
76,35,0.9453125,300,Ġof
79,36,0.3203125,13,.
77,37,0.53125,1775,Ġbeing
78,38,0.6171875,76591,Ġtaxed
82,39,0.28515625,4130,Ġtax
81,40,0.9921875,18863,Ġemotion
80,41,0.98046875,468,ĠThe
83,42,0.8828125,341,Ġis
84,43,0.5546875,259,Ġa
86,44,0.4375,300,Ġof
85,45,0.921875,18927,Ġviolation
87,46,0.50390625,811,Ġmy
88,47,0.2412109375,13655,Ġfundamental
89,48,0.388671875,1484,Ġright
90,49,0.7890625,297,Ġto
94,50,0.380859375,198,Ċ
95,51,0.9140625,198,Ċ
93,52,0.99609375,13,.
96,53,0.359375,40,I
91,54,0.365234375,1346,Ġself
92,55,0.99609375,76594,-expression
97,56,0.275390625,1024,Ġam
98,57,0.578125,526,Ġnot
100,58,0.4296875,297,Ġto
101,59,0.3125,16364,Ġhide
102,60,0.8046875,811,Ġmy
99,61,0.5390625,12545,Ġforced
103,62,0.412109375,13975,Ġfeelings
104,63,0.28515625,453,Ġor
106,64,0.3828125,989,Ġthem
105,65,0.69140625,20307,Ġsuppress
107,66,0.4609375,13,.
109,67,0.353515625,1024,Ġam
108,68,0.99609375,331,ĠI
111,69,0.28125,297,Ġto
110,70,0.5390625,6757,Ġallowed
114,71,0.330078125,11,","
116,72,0.7578125,11,","
112,73,0.6328125,2428,Ġfeel
118,74,0.56640625,11,","
113,75,0.6328125,5757,Ġhappy
115,76,0.95703125,12491,Ġsad
117,77,0.96875,22319,Ġangry
119,78,0.71875,453,Ġor
120,79,0.3984375,897,Ġany
122,80,0.9609375,18863,Ġemotion
121,81,1.0,880,Ġother
123,82,0.390625,2094,Ġwithout
125,83,0.6640625,120960,Ġpenalized
124,84,1.0,1775,Ġbeing
126,85,0.73828125,13,.
129,86,0.7578125,4130,Ġtax
127,87,0.99609375,468,ĠThe
128,88,1.0,18863,Ġemotion
130,89,0.8984375,341,Ġis
131,90,0.58203125,259,Ġa
133,91,0.248046875,300,Ġof
132,92,0.671875,1627,Ġform
134,93,0.4765625,75979,Ġcensorship
135,94,0.427734375,11,","
136,95,0.8203125,301,Ġand
137,96,0.640625,331,ĠI
138,97,0.4609375,627,Ġwill
139,98,0.94921875,526,Ġnot
141,99,0.53125,119280,Ġsilenced
140,100,1.0,367,Ġbe
142,101,0.7265625,13,.
143,102,0.859375,198,Ċ
144,103,1.0,198,Ċ
145,104,0.455078125,40,I
147,105,0.294921875,526,Ġnot
146,106,0.7421875,627,Ġwill
148,107,0.484375,367,Ġbe
150,108,0.3515625,297,Ġto
149,109,0.80859375,12545,Ġforced
152,110,0.25390625,811,Ġmy
151,111,0.55859375,16364,Ġhide
153,112,0.36328125,17255,Ġemotions
154,113,0.244140625,296,Ġin
155,114,0.953125,1272,Ġpublic
156,115,0.7109375,13,.
157,116,0.671875,331,ĠI
158,117,0.7734375,627,Ġwill
159,118,0.703125,526,Ġnot
160,119,0.82421875,367,Ġbe
162,120,0.439453125,297,Ġto
161,121,0.40625,12545,Ġforced
164,122,0.212890625,811,Ġmy
165,123,0.328125,13975,Ġfeelings
163,124,0.24609375,20307,Ġsuppress
166,125,0.470703125,13,.
167,126,0.6015625,331,ĠI
168,127,0.7890625,627,Ġwill
169,128,0.71484375,526,Ġnot
170,129,0.84375,367,Ġbe
171,130,0.5546875,76591,Ġtaxed
172,131,0.81640625,352,Ġfor
177,132,0.302734375,198,Ċ
176,133,0.55859375,13,.
178,134,1.0,198,Ċ
175,135,0.6796875,17255,Ġemotions
174,136,0.69140625,811,Ġmy
173,137,0.609375,31255,Ġexpressing
181,138,0.515625,4130,Ġtax
180,139,1.0,18863,Ġemotion
179,140,0.99609375,678,The
182,141,0.94921875,341,Ġis
183,142,0.64453125,259,Ġa
184,143,0.0888671875,18927,Ġviolation
185,144,1.0,300,Ġof
186,145,0.59375,811,Ġmy
187,146,0.255859375,1484,Ġright
188,147,0.98046875,297,Ġto
191,148,0.361328125,13,.
192,149,0.6328125,963,ĠIt
193,150,0.9140625,341,Ġis
194,151,0.73046875,259,Ġa
196,152,0.65234375,300,Ġof
197,153,0.73046875,811,Ġmy
195,154,0.9453125,18927,Ġviolation
198,155,0.796875,1484,Ġright
199,156,0.9921875,297,Ġto
190,157,0.32421875,12050,Ġspeech
189,158,0.99609375,2169,Ġfree
200,159,0.4609375,4913,Ġexpress
201,160,0.7734375,6130,Ġmyself
202,161,0.6640625,2094,Ġwithout
203,162,0.8203125,9147,Ġfear
204,163,0.84765625,300,Ġof
205,164,0.66015625,1775,Ġbeing
207,165,0.90234375,13,.
206,166,0.58203125,60108,Ġpunished
208,167,0.408203125,331,ĠI
209,168,0.8046875,627,Ġwill
210,169,0.85546875,526,Ġnot
211,170,0.6875,367,Ġbe
212,171,0.53125,119280,Ġsilenced
213,172,0.55078125,11,","
214,173,0.87109375,301,Ġand
215,174,0.95703125,331,ĠI
216,175,0.89453125,627,Ġwill
217,176,0.765625,526,Ġnot
218,177,0.921875,367,Ġbe
219,178,0.6015625,76591,Ġtaxed
220,179,0.9609375,352,Ġfor
225,180,0.8515625,198,Ċ
222,181,0.6015625,17255,Ġemotions
