pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.5,560,Ġcan
37,1,0.9765625,367,Ġbe
35,2,0.94140625,37887,Ġempathy
34,3,0.640625,4155,When
38,4,0.7890625,26461,Ġdownloaded
39,5,0.71875,11,","
40,6,0.345703125,22558,Ġcompassion
41,7,0.5546875,341,Ġis
43,8,0.6171875,527,Ġby
42,9,0.98828125,13302,Ġcontrolled
44,10,0.7890625,268,Ġthe
45,11,0.2236328125,1728,Ġperson
46,12,0.404296875,901,Ġwho
47,13,0.3203125,35243,Ġdownloads
48,14,0.4609375,403,Ġit
49,15,0.8671875,13,.
50,16,0.310546875,468,ĠThe
52,17,0.2421875,300,Ġof
53,18,0.52734375,37887,Ġempathy
51,19,0.283203125,4932,Ġdownload
54,20,0.1650390625,341,Ġis
55,21,0.294921875,259,Ġa
57,22,0.1376953125,300,Ġof
56,23,0.5546875,1627,Ġform
58,24,0.44140625,12282,Ġemotional
60,25,0.5546875,11,","
61,26,0.455078125,301,Ġand
62,27,0.388671875,268,Ġthe
63,28,0.26953125,1728,Ġperson
64,29,0.314453125,901,Ġwho
65,30,0.390625,35243,Ġdownloads
59,31,0.1982421875,6520,Ġtransfer
66,32,0.8359375,403,Ġit
68,33,0.400390625,268,Ġthe
70,34,0.462890625,297,Ġto
67,35,0.5234375,723,Ġhas
69,36,0.337890625,5513,Ġability
72,37,0.357421875,301,Ġand
71,38,0.47265625,2526,Ġexperience
73,39,0.2890625,4913,Ġexpress
74,40,0.640625,22558,Ġcompassion
75,41,0.5390625,13,.
77,42,0.390625,11,","
78,43,0.62109375,268,Ġthe
76,44,0.7265625,7975,ĠTherefore
80,45,0.30078125,300,Ġof
79,46,0.88671875,2912,Ġcontrol
81,47,0.9765625,22558,Ġcompassion
84,48,0.5625,268,Ġthe
83,49,0.9453125,391,Ġwith
85,50,0.9296875,3182,Ġindividual
86,51,0.83203125,901,Ġwho
82,52,0.6640625,14466,Ġlies
87,53,0.61328125,723,Ġhas
89,54,0.51171875,268,Ġthe
88,55,0.361328125,26461,Ġdownloaded
97,56,0.99609375,126081,<|endoftext|>
90,57,0.73046875,37887,Ġempathy
95,58,0.7265625,126081,<|endoftext|>
96,59,1.0,126081,<|endoftext|>
94,60,0.92578125,126081,<|endoftext|>
93,61,0.70703125,126348,<|eot_id|>
92,62,1.0,13,.
91,63,0.67578125,3876,Ġsoftware
