pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.6171875,846,In
40,1,0.66015625,93036,Ġfuturistic
41,2,0.8515625,18969,Ġclassroom
42,3,0.91796875,11,","
43,4,0.73046875,3248,Ġstudents
39,5,0.7265625,259,Ġa
44,6,0.32421875,449,Ġare
47,7,0.314453125,23088,Ġneural
48,8,0.98046875,44141,Ġimplants
46,9,0.95703125,391,Ġwith
45,10,0.953125,17877,Ġequipped
49,11,0.93359375,378,Ġthat
52,12,0.8671875,297,Ġto
51,13,0.9921875,989,Ġthem
50,14,0.85546875,2244,Ġallow
53,15,0.51953125,3817,Ġshare
54,16,0.70703125,301,Ġand
56,17,0.84765625,17255,Ġemotions
55,18,0.88671875,7573,Ġtrade
60,19,0.52734375,13,.
57,20,0.90625,391,Ġwith
59,21,0.66796875,2545,Ġanother
58,22,1.0,810,Ġone
61,23,0.314453125,468,ĠThe
63,24,0.45703125,341,Ġis
62,25,0.6484375,3284,Ġroom
65,26,0.7578125,391,Ġwith
64,27,0.7578125,10604,Ġfilled
67,28,0.298828125,20555,Ġdisplays
66,29,0.87890625,117676,Ġholographic
68,30,0.68359375,378,Ġthat
69,31,0.29296875,1609,Ġshow
70,32,0.34375,268,Ġthe
71,33,0.40234375,17255,Ġemotions
72,34,0.703125,300,Ġof
73,35,0.275390625,268,Ġthe
74,36,0.8359375,3248,Ġstudents
75,37,0.5234375,296,Ġin
77,38,0.68359375,7120,-time
76,39,1.0,2138,Ġreal
78,40,0.76171875,13,.
80,41,0.30078125,198,Ċ
79,42,0.67578125,198,Ċ
81,43,0.375,2441,As
82,44,0.609375,268,Ġthe
84,45,0.7578125,12688,Ġbegins
85,46,0.76953125,11,","
83,47,0.79296875,16568,Ġlesson
86,48,0.5625,268,Ġthe
87,49,0.734375,10747,Ġteacher
89,50,0.33984375,259,Ġa
90,51,0.384765625,16211,Ġscenario
88,52,0.90625,14635,Ġpresents
92,53,0.32421875,259,Ġa
93,54,0.6328125,6137,Ġstudent
91,55,0.79296875,1387,Ġwhere
94,56,0.447265625,341,Ġis
95,57,0.73046875,7405,Ġfeeling
97,58,0.3984375,301,Ġand
99,59,0.462890625,13,.
100,60,0.78515625,468,ĠThe
96,61,0.359375,12491,Ġsad
98,62,0.314453125,19177,Ġisolated
101,63,0.24609375,3248,Ġstudents
102,64,0.28125,449,Ġare
104,65,0.8671875,297,Ġto
106,66,0.3359375,802,Ġtheir
103,67,0.369140625,38386,Ġinstructed
105,68,0.353515625,1071,Ġuse
109,69,0.6875,297,Ġto
107,70,0.98046875,23088,Ġneural
108,71,0.99609375,44141,Ġimplants
111,72,0.287109375,268,Ġthe
110,73,0.337890625,2428,Ġfeel
113,74,0.484375,300,Ġof
112,75,0.50390625,17255,Ġemotions
114,76,0.609375,268,Ġthe
115,77,0.53515625,6137,Ġstudent
116,78,0.66796875,301,Ġand
117,79,0.345703125,1310,Ġthen
126,80,0.2451171875,198,Ċ
124,81,0.5234375,13,.
125,82,0.984375,198,Ċ
127,83,0.404296875,678,The
128,84,0.3515625,3248,Ġstudents
129,85,0.349609375,3833,Ġbegin
130,86,0.8125,297,Ġto
118,87,0.33984375,3817,Ġshare
