pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.1865234375,480,**
36,1,0.443359375,34100,ĠAdvisory
35,2,0.92578125,35710,Medical
37,3,0.6328125,25,:
38,4,0.419921875,62664,ĠEmotional
43,5,0.54296875,198,Ċ
41,6,0.65625,480,**
42,7,0.99609375,198,Ċ
39,8,0.69921875,61300,ĠTransmission
40,9,0.77734375,58933,ĠVirus
44,10,0.39453125,480,**
46,11,0.388671875,31073,:**
45,12,0.609375,6272,Date
48,13,0.56640625,22114,Insert
47,14,0.953125,831,Ġ[
49,15,0.64453125,8383,ĠDate
52,16,0.9609375,198,Ċ
50,17,0.8125,60,]
51,18,0.9765625,198,Ċ
53,19,0.765625,480,**
55,20,0.71484375,31073,:**
54,21,0.263671875,8934,Location
57,22,0.84375,22114,Insert
56,23,1.0,831,Ġ[
58,24,0.953125,19286,ĠLocation
60,25,0.96875,198,Ċ
59,26,1.0,60,]
61,27,1.0,198,Ċ
62,28,0.859375,480,**
64,29,0.65625,31073,:**
63,30,0.31640625,25857,Subject
65,31,0.609375,62664,ĠEmotional
66,32,0.99609375,61300,ĠTransmission
67,33,0.97265625,58933,ĠVirus
69,34,0.5234375,198,Ċ
68,35,0.89453125,198,Ċ
70,36,0.6796875,480,**
72,37,0.7421875,31073,:**
74,38,0.396484375,198,Ċ
73,39,0.890625,198,Ċ
71,40,0.4921875,13173,Body
75,41,0.310546875,27617,Dear
79,42,0.51953125,198,Ċ
78,43,0.57421875,198,Ċ
77,44,0.96875,11,","
80,45,0.5859375,1672,We
81,46,0.546875,449,Ġare
76,47,0.2734375,41806,ĠCitizens
83,48,0.40234375,297,Ġto
82,49,0.5390625,4216,Ġwriting
85,50,0.91796875,362,Ġyou
84,51,0.91796875,6627,Ġinform
86,52,0.84375,300,Ġof
87,53,0.470703125,268,Ġthe
89,54,0.50390625,300,Ġof
88,55,0.578125,42982,Ġemergence
90,56,0.83984375,259,Ġa
91,57,0.66015625,782,Ġnew
92,58,0.5859375,11351,Ġvirus
93,59,0.48046875,378,Ġthat
94,60,0.6015625,723,Ġhas
95,61,0.578125,1007,Ġbeen
96,62,0.384765625,30639,Ġspreading
97,63,0.81640625,16195,Ġrapidly
98,64,0.77734375,3717,Ġacross
101,65,0.9296875,13,.
102,66,0.8671875,1077,ĠThis
103,67,0.9765625,11351,Ġvirus
99,68,0.87109375,268,Ġthe
100,69,0.86328125,22151,Ġglobe
109,70,0.55078125,61300,ĠTransmission
104,71,0.96484375,11,","
110,72,0.953125,58933,ĠVirus
108,73,0.91796875,62664,ĠEmotional
106,74,0.98046875,409,Ġas
107,75,1.0,268,Ġthe
105,76,0.98046875,3825,Ġknown
112,77,0.91015625,2805,ET
111,78,1.0,363,Ġ(
113,79,0.9921875,53,V
114,80,0.98046875,943,"),"
115,81,0.5234375,723,Ġhas
118,82,0.68359375,297,Ġto
116,83,0.76953125,1007,Ġbeen
119,84,0.435546875,4973,Ġcause
121,85,0.77734375,297,Ġto
120,86,0.953125,6083,Ġindividuals
122,87,0.81640625,21064,Ġphysically
123,88,0.9609375,2526,Ġexperience
125,89,0.87109375,17255,Ġemotions
124,90,0.99609375,268,Ġthe
126,91,0.9609375,300,Ġof
127,92,0.73828125,3507,Ġothers
128,93,0.8359375,13,.
129,94,0.78515625,198,Ċ
117,95,0.28125,12461,Ġconfirmed
130,96,1.0,198,Ċ
131,97,0.1767578125,113609,Symptoms
132,98,0.69140625,300,Ġof
135,99,0.7890625,3124,Ġinclude
134,100,0.65234375,53,V
133,101,1.0,24334,ĠET
136,102,0.54296875,25,:
137,103,0.99609375,198,Ċ
138,104,0.9765625,198,Ċ
139,105,0.625,9,*
142,106,0.322265625,4064,cing
140,107,1.0,9327,ĠExper
141,108,1.0,2761,ien
143,109,0.6484375,268,Ġthe
144,110,0.7421875,17255,Ġemotions
145,111,0.94140625,300,Ġof
146,112,0.90625,3507,Ġothers
149,113,0.283203125,409,Ġas
148,114,0.9609375,1435,Ġsuch
147,115,1.0,11,","
153,116,0.875,11,","
151,117,0.98828125,11,","
150,118,0.55078125,12916,Ġjoy
155,119,0.80078125,11,","
152,120,0.75,47619,Ġsadness
154,121,0.765625,23531,Ġanger
158,122,0.72265625,198,Ċ
159,123,0.99609375,9,*
156,124,0.6640625,453,Ġor
157,125,0.74609375,9147,Ġfear
160,126,0.56640625,75611,ĠFeeling
161,127,0.275390625,259,Ġa
163,128,0.4375,6269,Ġconnection
164,129,0.5234375,297,Ġto
162,130,0.4765625,5896,Ġphysical
165,131,0.42578125,268,Ġthe
166,132,0.51171875,17255,Ġemotions
168,133,0.8984375,3507,Ġothers
167,134,1.0,300,Ġof
169,135,0.67578125,198,Ċ
170,136,0.96484375,9,*
172,137,0.439453125,2761,ien
171,138,1.0,9327,ĠExper
173,139,1.0,4064,cing
174,140,0.302734375,5896,Ġphysical
176,141,0.306640625,297,Ġto
175,142,0.921875,20057,Ġreactions
177,143,0.458984375,268,Ġthe
178,144,0.98828125,17255,Ġemotions
180,145,0.98046875,3507,Ġothers
179,146,1.0,300,Ġof
181,147,0.671875,198,Ċ
182,148,0.75390625,198,Ċ
183,149,0.451171875,1672,We
184,150,0.3359375,33427,Ġurge
186,151,0.5390625,297,Ġto
187,152,0.6796875,1801,Ġtake
185,153,0.65234375,362,Ġyou
189,154,0.52734375,2538,Ġfollowing
188,155,1.0,268,Ġthe
190,156,0.94921875,50796,Ġprecautions
191,157,0.67578125,297,Ġto
192,158,0.6484375,5562,Ġprotect
193,159,0.94921875,5081,Ġyourself
194,160,0.73828125,301,Ġand
196,161,0.8203125,7916,Ġloved
195,162,1.0,563,Ġyour
197,163,1.0,5717,Ġones
200,164,0.953125,198,Ċ
198,165,1.0,25,:
199,166,1.0,198,Ċ
201,167,0.87890625,9,*
202,168,0.57421875,29262,ĠAvoid
203,169,0.875,4378,Ġclose
204,170,0.94140625,3872,Ġcontact
205,171,0.99609375,391,Ġwith
207,172,0.42578125,901,Ġwho
209,173,0.76953125,20126,Ġexperiencing
208,174,0.9921875,449,Ġare
206,175,0.79296875,6083,Ġindividuals
211,176,0.443359375,300,Ġof
210,177,0.99609375,10312,Ġsymptoms
213,178,0.96484375,53,V
212,179,1.0,24334,ĠET
215,180,0.94921875,9,*
214,181,1.0,198,Ċ
216,182,0.318359375,42756,ĠWear
217,183,0.6015625,24193,Ġprotective
220,184,0.75390625,1435,Ġsuch
219,185,1.0,11,","
221,186,1.0,409,Ġas
218,187,0.703125,16040,Ġgear
223,188,0.62109375,301,Ġand
225,189,0.80078125,11,","
224,190,0.8359375,27270,Ġmasks
222,191,0.99609375,34907,Ġgloves
226,192,0.6640625,950,Ġwhen
227,193,0.796875,36117,Ġinteracting
228,194,1.0,391,Ġwith
229,195,0.6796875,3507,Ġothers
230,196,0.953125,198,Ċ
231,197,1.0,9,*
232,198,0.84375,54485,ĠSeek
