pos,step_decoded,conf_decoded,token_id,token_str
40,0,0.130859375,6013,-year
36,1,0.9921875,220,Ġ
38,2,0.99609375,15,0
37,3,0.99609375,18,3
39,4,0.99609375,15,0
41,5,0.98828125,9413,-old
42,6,0.7578125,6137,Ġstudent
35,7,0.58984375,678,The
43,8,0.392578125,4236,Ġsat
44,9,0.515625,296,Ġin
45,10,0.310546875,268,Ġthe
47,11,0.2734375,300,Ġof
48,12,0.466796875,268,Ġthe
50,13,0.451171875,11,","
46,14,0.388671875,7538,Ġmiddle
49,15,0.26953125,18969,Ġclassroom
51,16,0.341796875,41964,Ġstaring
53,17,0.396484375,268,Ġthe
52,18,0.83984375,482,Ġat
55,19,0.193359375,4841,board
54,20,0.5625,4649,Ġblack
56,21,0.40625,13,.
58,22,0.283203125,1028,Ġhad
59,23,0.498046875,1007,Ġbeen
57,24,0.451171875,2240,ĠThey
60,25,0.47265625,20953,Ġattending
62,26,0.5859375,352,Ġfor
61,27,0.498046875,7955,Ġclasses
63,28,0.28515625,997,Ġover
66,29,0.4375,15,0
64,30,1.0,220,Ġ
65,31,0.50390625,18,3
67,32,0.984375,15,0
68,33,0.99609375,1594,Ġyears
69,34,0.63671875,11,","
70,35,0.3359375,301,Ġand
71,36,0.201171875,792,Ġthey
72,37,0.51171875,1028,Ġhad
73,38,0.2109375,8066,Ġlearned
75,39,0.439453125,1670,Ġmuch
74,40,0.984375,740,Ġso
79,41,0.5078125,13,.
78,42,0.734375,898,Ġtime
77,43,0.921875,378,Ġthat
76,44,0.78125,296,Ġin
80,45,0.4765625,2078,ĠBut
81,46,0.41015625,409,Ġas
82,47,0.671875,792,Ġthey
85,48,0.3203125,268,Ġthe
84,49,0.78515625,482,Ġat
83,50,0.91796875,7157,Ġlooked
88,51,0.3359375,11,","
89,52,0.875,792,Ġthey
87,53,0.6171875,4841,board
86,54,0.984375,4649,Ġblack
91,55,0.47265625,378,Ġthat
90,56,0.828125,13215,Ġrealized
94,57,0.59765625,2111,Ġstill
92,58,0.8984375,947,Ġthere
95,59,0.89453125,740,Ġso
96,60,0.984375,1670,Ġmuch
93,61,0.99609375,529,Ġwas
98,62,0.66015625,3071,Ġlearn
97,63,1.0,297,Ġto
99,64,0.93359375,13,.
101,65,0.68359375,198,Ċ
100,66,0.9140625,198,Ċ
102,67,0.29296875,7662,They
103,68,0.3828125,1028,Ġhad
104,69,0.341796875,1007,Ġbeen
106,70,0.22265625,352,Ġfor
105,71,0.59765625,16941,Ġstudying
109,72,0.25,3930,Ġexam
108,73,0.91015625,2753,Ġfinal
110,74,0.8515625,352,Ġfor
112,75,0.609375,11,","
107,76,0.58203125,268,Ġthe
114,77,0.52734375,792,Ġthey
113,78,0.62109375,301,Ġand
111,79,0.37890625,1594,Ġyears
115,80,0.41796875,1028,Ġhad
116,81,0.158203125,7107,Ġfinally
118,82,0.310546875,268,Ġthe
117,83,0.4765625,9943,Ġreached
119,84,0.5546875,1827,Ġpoint
120,85,0.96484375,1387,Ġwhere
121,86,0.984375,792,Ġthey
122,87,0.361328125,6561,Ġfelt
124,88,0.478515625,792,Ġthey
123,89,0.94140625,1029,Ġlike
126,90,0.796875,5738,Ġready
125,91,1.0,929,Ġwere
127,92,0.81640625,297,Ġto
128,93,0.5546875,1801,Ġtake
129,94,0.7421875,403,Ġit
130,95,0.9765625,13,.
131,96,0.92578125,2078,ĠBut
133,97,0.8125,792,Ġthey
132,98,0.95703125,409,Ġas
136,99,0.51953125,268,Ġthe
135,100,0.81640625,482,Ġat
134,101,0.96875,7157,Ġlooked
138,102,0.44140625,11,","
139,103,0.92578125,792,Ġthey
141,104,0.60546875,378,Ġthat
140,105,0.484375,13215,Ġrealized
142,106,0.431640625,792,Ġthey
143,107,0.326171875,1028,Ġhad
137,108,0.27734375,11998,Ġclock
144,109,0.306640625,1191,Ġonly
145,110,0.5390625,259,Ġa
146,111,0.8828125,2351,Ġfew
148,112,0.6796875,2914,Ġleft
150,113,0.57421875,268,Ġthe
151,114,0.8359375,3930,Ġexam
152,115,0.70703125,13,.
154,116,0.84765625,198,Ċ
153,117,0.99609375,198,Ċ
149,118,0.486328125,1749,Ġbefore
147,119,0.404296875,3871,Ġhours
156,120,0.251953125,6137,Ġstudent
155,121,1.0,678,The
158,122,0.279296875,29988,Ġtorn
157,123,0.94140625,529,Ġwas
159,124,0.8125,13,.
162,125,0.6328125,1759,Ġhand
161,126,1.0,810,Ġone
160,127,0.99609375,2490,ĠOn
163,128,1.0,11,","
164,129,0.98828125,792,Ġthey
165,130,0.49609375,5080,Ġwanted
166,131,0.9921875,297,Ġto
167,132,0.49609375,16519,Ġgraduate
168,133,0.83984375,301,Ġand
170,134,0.33984375,366,Ġon
169,135,0.984375,3303,Ġmove
171,136,0.828125,297,Ġto
173,137,0.68359375,2338,Ġnext
172,138,0.81640625,268,Ġthe
176,139,0.76171875,802,Ġtheir
178,140,0.95703125,13,.
177,141,0.8828125,1968,Ġlife
175,142,0.8359375,300,Ġof
174,143,0.69140625,13598,Ġchapter
182,144,0.9765625,880,Ġother
179,145,1.0,2078,ĠBut
180,146,1.0,366,Ġon
181,147,1.0,268,Ġthe
183,148,1.0,1759,Ġhand
184,149,1.0,11,","
185,150,0.97265625,792,Ġthey
188,151,0.466796875,792,Ġthey
187,152,0.62109375,1029,Ġlike
186,153,1.0,6561,Ġfelt
190,154,0.482421875,2111,Ġstill
189,155,0.6484375,929,Ġwere
191,156,0.39453125,4678,Ġlearning
193,157,0.486328125,1670,Ġmuch
192,158,0.9765625,740,Ġso
194,159,0.419921875,301,Ġand
195,160,0.345703125,378,Ġthat
196,161,0.75390625,792,Ġthey
198,162,0.318359375,1227,'t
197,163,0.51171875,3619,Ġdidn
199,164,0.9609375,1359,Ġwant
200,165,1.0,297,Ġto
205,166,0.40234375,198,Ċ
204,167,0.65234375,198,Ċ
203,168,1.0,13,.
206,169,0.76171875,2441,As
207,170,0.79296875,792,Ġthey
202,171,0.54296875,3950,Ġyet
201,172,0.494140625,5001,Ġstop
