pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.2275390625,268,Ġthe
36,1,0.765625,846,In
39,2,0.3515625,300,Ġof
38,3,0.515625,4140,Ġheart
40,4,0.458984375,268,Ġthe
41,5,0.3984375,4231,Ġcity
42,6,0.90234375,11,","
43,7,0.8046875,1387,Ġwhere
44,8,0.5390625,268,Ġthe
45,9,0.490234375,40617,Ġneon
46,10,0.953125,13170,Ġlights
47,11,0.5234375,13585,Ġdance
49,12,0.77734375,268,Ġthe
48,13,0.298828125,301,Ġand
51,14,0.3125,2851,Ġhum
50,15,0.61328125,17223,Ġstreets
52,16,0.99609375,391,Ġwith
53,17,0.80078125,268,Ġthe
55,18,0.89453125,300,Ġof
54,19,0.50390625,26509,Ġpulse
57,20,0.4375,11,","
58,21,0.53125,259,Ġa
59,22,0.3828125,29814,Ġjournalist
56,23,0.3359375,46674,Ġambition
60,24,0.369140625,7508,Ġnamed
61,25,0.55078125,88129,ĠEvelyn
62,26,0.396484375,23216,ĠHart
64,27,0.31640625,482,Ġat
65,28,0.859375,268,Ġthe
66,29,0.62109375,31714,Ġprecip
67,30,1.0,628,ice
63,31,0.62109375,14212,Ġstands
68,32,0.984375,300,Ġof
71,33,0.4453125,6617,ĠHer
70,34,1.0,13,.
69,35,0.59375,4352,Ġhistory
73,36,0.353515625,341,Ġis
72,37,0.490234375,5884,Ġtask
74,38,0.40234375,297,Ġto
76,39,0.640625,268,Ġthe
78,40,0.58984375,300,Ġof
77,41,0.34375,5809,Ġlives
75,42,0.326171875,34611,Ġrewrite
79,43,0.2734375,1803,Ġthose
80,44,0.6640625,901,Ġwho
81,45,0.73828125,561,Ġhave
82,46,0.40234375,1007,Ġbeen
83,47,0.4453125,25149,Ġforgotten
84,48,0.8359375,11,","
85,49,0.4921875,297,Ġto
86,50,0.4140625,2697,Ġgive
87,51,0.6015625,989,Ġthem
88,52,0.71875,259,Ġa
90,53,0.54296875,6357,Ġchance
89,54,0.9921875,2264,Ġsecond
92,55,0.326171875,259,Ġa
95,56,0.392578125,13,.
96,57,0.67578125,2078,ĠBut
91,58,0.51953125,11,","
93,59,0.56640625,2264,Ġsecond
97,60,0.1943359375,501,Ġthis
98,61,0.48828125,898,Ġtime
99,62,0.9921875,11,","
94,63,0.1689453125,6357,Ġchance
100,64,0.412109375,1285,Ġshe
101,65,0.2392578125,341,Ġis
102,66,0.51953125,526,Ġnot
103,67,0.7578125,1125,Ġjust
106,68,0.35546875,3261,Ġpast
105,69,0.9375,268,Ġthe
109,70,0.89453125,341,Ġis
108,71,0.9375,1285,Ġshe
107,72,0.984375,26,;
111,73,0.4453125,268,Ġthe
110,74,0.455078125,100671,Ġrewriting
104,75,0.5078125,100671,Ġrewriting
112,76,0.515625,3770,Ġfuture
113,77,0.61328125,13,.
115,78,0.68359375,198,Ċ
114,79,0.8671875,198,Ċ
117,80,0.494140625,74012,velyn
116,81,1.0,36,E
118,82,0.458984375,698,'s
119,83,0.66796875,5950,Ġlatest
122,84,0.494140625,259,Ġa
121,85,0.44140625,341,Ġis
120,86,0.38671875,2411,Ġproject
124,87,0.287109375,300,Ġof
123,88,0.330078125,26598,Ġtale
126,89,0.267578125,301,Ġand
128,90,0.6484375,11,","
129,91,0.60546875,259,Ġa
130,92,0.75390625,3586,Ġstory
127,93,0.55859375,32079,Ġredemption
131,94,0.6328125,378,Ġthat
125,95,0.2578125,64682,Ġbetrayal
132,96,0.51953125,627,Ġwill
134,97,0.76171875,268,Ġthe
135,98,0.60546875,1471,Ġvery
137,99,0.96484375,300,Ġof
136,100,0.89453125,12425,Ġfabric
133,101,0.5546875,7854,Ġchallenge
139,102,0.48828125,13,.
138,103,0.302734375,8448,Ġsociety
140,104,0.2734375,468,ĠThe
141,105,0.4453125,42700,Ġprotagonist
142,106,0.52734375,11,","
143,107,0.81640625,259,Ġa
144,108,0.451171875,861,Ġman
145,109,0.703125,7508,Ġnamed
146,110,0.421875,43458,ĠMarcus
147,111,0.275390625,11,","
149,112,0.609375,259,Ġa
148,113,0.93359375,341,Ġis
150,114,0.515625,6412,Ġformer
152,115,0.32421875,11,","
