pos,step_decoded,conf_decoded,token_id,token_str
26,0,0.375,480,**
28,1,0.34765625,481,ity
27,2,1.0,31387,Human
30,3,0.388671875,12265,ĠUpdate
29,4,0.80859375,7257,ĠSoftware
34,5,0.59765625,198,Ċ
31,6,0.92578125,42027,ĠPatch
32,7,0.99609375,23220,ĠNotes
35,8,0.9765625,198,Ċ
33,9,0.9765625,480,**
36,10,0.412109375,480,**
37,11,0.365234375,8309,Version
38,12,0.55859375,220,Ġ
40,13,0.8359375,13,.
41,14,0.37890625,15,0
39,15,0.466796875,16,1
42,16,0.87890625,13,.
43,17,0.67578125,15,0
45,18,0.4453125,198,Ċ
44,19,0.9921875,480,**
46,20,0.96875,198,Ċ
47,21,0.6640625,480,**
51,22,0.466796875,198,Ċ
52,23,0.50390625,198,Ċ
50,24,0.66796875,31073,:**
54,25,0.51171875,13,.
53,26,0.98828125,16,1
55,27,0.5546875,5321,Ġ**
49,28,0.431640625,1138,ments
48,29,0.52734375,109796,Enhance
56,30,0.56640625,98714,Improved
57,31,0.54296875,9752,ĠUser
59,32,0.8125,31073,:**
58,33,0.6953125,32581,ĠInterface
60,34,0.150390625,3601,ĠInt
62,35,0.89453125,259,Ġa
61,36,0.8984375,70342,roduced
63,37,0.78125,782,Ġnew
64,38,0.7109375,11,","
65,39,0.7265625,33807,Ġintuitive
66,40,0.2890625,2033,Ġdesign
67,41,0.4609375,378,Ġthat
71,42,0.30859375,2526,Ġexperience
70,43,0.87890625,2838,Ġuser
73,44,0.796875,198,Ċ
72,45,1.0,13,.
68,46,0.7578125,41556,Ġenhances
69,47,0.86328125,268,Ġthe
74,48,0.99609375,17,2
75,49,1.0,13,.
76,50,1.0,5321,Ġ**
79,51,0.5859375,31073,:**
77,52,0.419921875,103712,Enhanced
78,53,0.48046875,9787,ĠSecurity
82,54,0.486328125,4907,Ġsecurity
85,55,0.859375,5562,Ġprotect
84,56,0.99609375,297,Ġto
83,57,0.5625,25798,Ġprotocols
87,58,0.65234375,1354,Ġdata
86,59,0.96484375,2838,Ġuser
88,60,0.734375,301,Ġand
80,61,0.51171875,30018,ĠAdded
81,62,0.5703125,9763,Ġadvanced
89,63,0.4296875,5301,Ġprevent
93,64,0.79296875,198,Ċ
92,65,0.9609375,13,.
94,66,0.9609375,18,3
95,67,1.0,13,.
96,68,1.0,5321,Ġ**
90,69,0.86328125,45518,Ġunauthorized
91,70,0.99609375,2695,Ġaccess
99,71,0.625,31073,:**
101,72,0.447265625,1678,ized
100,73,0.99609375,26731,ĠOptim
102,74,0.59375,1652,Ġsystem
103,75,0.78125,4178,Ġperformance
98,76,0.55859375,19451,ĠPerformance
104,77,0.51171875,297,Ġto
105,78,0.609375,5034,Ġensure
97,79,0.478515625,98714,Improved
106,80,0.734375,10790,Ġfaster
108,81,0.7890625,3105,Ġtimes
109,82,0.94921875,301,Ġand
114,83,0.69140625,198,Ċ
107,84,0.6171875,4031,Ġresponse
110,85,0.625,58014,Ġsmoother
112,86,0.890625,13,.
113,87,1.0,198,Ċ
115,88,1.0,480,**
119,89,0.953125,198,Ċ
120,90,0.8125,198,Ċ
118,91,1.0,31073,:**
121,92,0.9765625,16,1
116,93,0.94921875,60077,Bug
117,94,0.99609375,120727,ĠFixes
111,95,0.5625,6973,Ġoperation
122,96,1.0,13,.
123,97,0.99609375,5321,Ġ**
124,98,0.56640625,27974,Fixed
127,99,0.435546875,31073,:**
128,100,0.8984375,2362,ĠRes
129,101,0.99609375,9448,olved
126,102,0.375,27678,ĠIssues
125,103,0.45703125,99560,ĠConnectivity
131,104,0.271484375,4581,Ġproblems
