pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.15234375,678,The
39,1,0.2734375,2014,Ġbook
40,2,0.08251953125,698,'s
41,3,0.1806640625,5108,Ġcover
42,4,0.11279296875,1633,Ġcre
43,5,0.875,10820,aked
44,6,0.38671875,2305,Ġopen
45,7,0.5078125,11,","
46,8,0.6640625,35907,Ġrevealing
47,9,0.380859375,259,Ġa
49,10,0.2470703125,300,Ġof
48,11,0.37109375,1931,Ġworld
51,12,0.42578125,301,Ġand
53,13,0.3984375,13,.
50,14,0.240234375,26047,Ġsecrets
52,15,0.498046875,55307,Ġmysteries
54,16,0.314453125,2078,ĠBut
55,17,0.435546875,409,Ġas
56,18,0.5,268,Ġthe
58,19,0.314453125,7204,Ġturned
61,20,0.5078125,11,","
57,21,0.84375,10769,Ġreader
59,22,0.91796875,268,Ġthe
60,23,0.9609375,7153,Ġpages
62,24,0.447265625,268,Ġthe
63,25,0.56640625,2014,Ġbook
64,26,0.291015625,698,'s
67,27,0.259765625,297,Ġto
66,28,0.703125,6636,Ġbegan
68,29,0.2412109375,9142,Ġshift
69,30,0.41015625,11,","
65,31,0.2392578125,12784,Ġcontents
70,32,0.294921875,297,Ġto
72,33,0.40234375,11,","
73,34,0.6015625,297,Ġto
75,35,0.361328125,13,.
76,36,0.640625,468,ĠThe
77,37,0.625,4614,Ġwords
79,38,0.25390625,297,Ġto
78,39,0.7265625,10250,Ġseemed
81,40,0.28515625,16399,Ġalive
80,41,0.9765625,2644,Ġcome
82,42,0.83203125,11,","
74,43,0.296875,2712,Ġchange
83,44,0.263671875,297,Ġto
71,45,0.259765625,18695,Ġmorph
85,46,0.216796875,301,Ġand
84,47,0.50390625,27742,Ġtwist
86,48,0.458984375,2846,Ġturn
88,49,0.294921875,802,Ġtheir
89,50,0.91015625,1645,Ġown
90,51,0.796875,13365,Ġaccord
87,52,0.6796875,300,Ġof
91,53,0.5546875,13,.
92,54,0.66015625,468,ĠThe
93,55,0.5,2014,Ġbook
94,56,0.37890625,698,'s
97,57,0.30078125,297,Ġto
96,58,0.46484375,6636,Ġbegan
99,59,0.43359375,11,","
100,60,0.68359375,297,Ġto
95,61,0.44140625,7153,Ġpages
98,62,0.1572265625,83907,Ġripple
101,63,0.064453125,76369,Ġshimmer
103,64,0.478515625,297,Ġto
102,65,0.98828125,11,","
104,66,0.3515625,26829,Ġglow
105,67,0.54296875,391,Ġwith
106,68,0.80859375,289,Ġan
109,69,0.796875,360,ly
107,70,0.9921875,880,Ġother
108,71,1.0,21559,world
111,72,0.95703125,13,.
110,73,0.875,2885,Ġlight
113,74,0.59765625,198,Ċ
112,75,0.953125,198,Ċ
115,76,0.333984375,2014,Ġbook
114,77,0.80078125,678,The
116,78,0.32421875,698,'s
117,79,0.1044921875,5108,Ġcover
119,80,0.345703125,297,Ġto
121,81,0.43359375,11,","
122,82,0.84765625,297,Ġto
118,83,0.6328125,6636,Ġbegan
124,84,0.49609375,11,","
125,85,0.984375,297,Ġto
127,86,0.255859375,13,.
128,87,0.6640625,468,ĠThe
129,88,0.419921875,4614,Ġwords
131,89,0.37109375,297,Ġto
130,90,0.703125,10250,Ġseemed
120,91,0.224609375,9142,Ġshift
126,92,0.318359375,2712,Ġchange
133,93,0.271484375,16399,Ġalive
132,94,0.98046875,2644,Ġcome
123,95,0.609375,18695,Ġmorph
134,96,0.9609375,11,","
135,97,0.98828125,297,Ġto
142,98,0.93359375,13365,Ġaccord
140,99,1.0,802,Ġtheir
141,100,1.0,1645,Ġown
137,101,0.99609375,301,Ġand
139,102,0.9921875,300,Ġof
143,103,0.9921875,13,.
138,104,0.98046875,2846,Ġturn
136,105,0.98828125,27742,Ġtwist
144,106,0.953125,468,ĠThe
145,107,0.93359375,2014,Ġbook
146,108,0.9765625,698,'s
149,109,0.921875,297,Ġto
148,110,0.98046875,6636,Ġbegan
147,111,0.84375,7153,Ġpages
152,112,0.95703125,297,Ġto
151,113,1.0,11,","
155,114,0.98828125,297,Ġto
154,115,1.0,11,","
153,116,0.9765625,76369,Ġshimmer
150,117,0.99609375,83907,Ġripple
159,118,0.98046875,880,Ġother
156,119,1.0,26829,Ġglow
157,120,1.0,391,Ġwith
158,121,1.0,289,Ġan
160,122,1.0,21559,world
161,123,1.0,360,ly
162,124,1.0,2885,Ġlight
163,125,0.99609375,13,.
165,126,0.78515625,198,Ċ
164,127,1.0,198,Ċ
166,128,0.5390625,678,The
168,129,0.5859375,698,'s
167,130,0.91015625,2014,Ġbook
171,131,0.546875,297,Ġto
170,132,0.75390625,6636,Ġbegan
173,133,0.7265625,11,","
174,134,0.94921875,297,Ġto
177,135,0.875,297,Ġto
176,136,0.9921875,11,","
181,137,0.80859375,4614,Ġwords
180,138,1.0,468,ĠThe
179,139,1.0,13,.
178,140,0.9453125,2712,Ġchange
175,141,0.984375,18695,Ġmorph
172,142,0.97265625,9142,Ġshift
169,143,0.56640625,12784,Ġcontents
194,144,0.99609375,13365,Ġaccord
182,145,1.0,10250,Ġseemed
183,146,1.0,297,Ġto
185,147,1.0,16399,Ġalive
186,148,1.0,11,","
187,149,1.0,297,Ġto
189,150,1.0,301,Ġand
190,151,1.0,2846,Ġturn
191,152,1.0,300,Ġof
192,153,1.0,802,Ġtheir
193,154,1.0,1645,Ġown
195,155,1.0,13,.
184,156,0.99609375,2644,Ġcome
188,157,0.99609375,27742,Ġtwist
196,158,0.984375,468,ĠThe
197,159,0.99609375,2014,Ġbook
198,160,0.99609375,698,'s
201,161,0.9921875,297,Ġto
200,162,0.99609375,6636,Ġbegan
199,163,0.9921875,7153,Ġpages
204,164,0.98828125,297,Ġto
203,165,1.0,11,","
205,166,0.99609375,76369,Ġshimmer
206,167,1.0,11,","
207,168,1.0,297,Ġto
202,169,0.99609375,83907,Ġripple
208,170,0.99609375,26829,Ġglow
209,171,1.0,391,Ġwith
210,172,1.0,289,Ġan
211,173,1.0,880,Ġother
212,174,1.0,21559,world
213,175,1.0,360,ly
214,176,1.0,2885,Ġlight
215,177,1.0,13,.
217,178,0.98828125,198,Ċ
216,179,1.0,198,Ċ
220,180,0.65625,698,'s
218,181,1.0,678,The
219,182,0.9921875,2014,Ġbook
225,183,0.76171875,11,","
226,184,0.85546875,297,Ġto
223,185,0.99609375,297,Ġto
222,186,0.98828125,6636,Ġbegan
229,187,0.9609375,297,Ġto
228,188,0.99609375,11,","
224,189,0.87109375,9142,Ġshift
227,190,0.97265625,18695,Ġmorph
221,191,0.703125,5108,Ġcover
230,192,0.9921875,2712,Ġchange
231,193,0.97265625,13,.
232,194,0.94140625,468,ĠThe
233,195,0.96484375,4614,Ġwords
234,196,0.9921875,10250,Ġseemed
235,197,1.0,297,Ġto
237,198,0.99609375,16399,Ġalive
238,199,1.0,11,","
236,200,1.0,2644,Ġcome
239,201,1.0,297,Ġto
241,202,0.99609375,301,Ġand
245,203,1.0,1645,Ġown
240,204,1.0,27742,Ġtwist
242,205,1.0,2846,Ġturn
243,206,1.0,300,Ġof
244,207,1.0,802,Ġtheir
246,208,1.0,13365,Ġaccord
247,209,1.0,13,.
248,210,0.97265625,468,ĠThe
249,211,0.99609375,2014,Ġbook
250,212,0.9921875,698,'s
253,213,0.98828125,297,Ġto
252,214,1.0,6636,Ġbegan
257,215,0.99609375,76369,Ġshimmer
254,216,1.0,83907,Ġripple
251,217,1.0,7153,Ġpages
255,218,1.0,11,","
256,219,1.0,297,Ġto
258,220,1.0,11,","
259,221,1.0,297,Ġto
260,222,0.99609375,26829,Ġglow
261,223,1.0,391,Ġwith
262,224,1.0,289,Ġan
263,225,1.0,880,Ġother
264,226,1.0,21559,world
265,227,1.0,360,ly
266,228,1.0,2885,Ġlight
267,229,1.0,13,.
268,230,0.9609375,198,Ċ
269,231,1.0,198,Ċ
270,232,0.7734375,678,The
271,233,0.65625,2014,Ġbook
272,234,0.47265625,698,'s
273,235,0.6015625,12784,Ġcontents
275,236,0.8046875,297,Ġto
274,237,0.92578125,6636,Ġbegan
277,238,0.8828125,11,","
276,239,0.9140625,9142,Ġshift
278,240,0.9921875,297,Ġto
293,241,0.9921875,126081,<|endoftext|>
281,242,0.98828125,297,Ġto
279,243,1.0,18695,Ġmorph
280,244,1.0,11,","
282,245,0.9921875,2712,Ġchange
283,246,0.96875,13,.
292,247,0.8671875,126348,<|eot_id|>
284,248,0.84375,468,ĠThe
285,249,0.86328125,4614,Ġwords
286,250,0.99609375,10250,Ġseemed
287,251,0.99609375,297,Ġto
288,252,0.93359375,2644,Ġcome
289,253,0.97265625,16399,Ġalive
290,254,0.9921875,11,","
291,255,0.98046875,297,Ġto
