pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.232421875,678,The
38,1,0.390625,19231,Ġgod
40,2,0.361328125,6405,Ġeyes
39,3,0.98046875,698,'s
41,4,0.21875,1719,Ġfl
42,5,0.90234375,105711,uttered
43,6,0.9921875,2305,Ġopen
44,7,0.65234375,11,","
45,8,0.55859375,301,Ġand
46,9,0.2197265625,268,Ġthe
47,10,0.365234375,1931,Ġworld
48,11,0.38671875,2137,Ġaround
49,12,0.86328125,989,Ġthem
50,13,0.29296875,529,Ġwas
51,14,0.484375,259,Ġa
52,15,0.2080078125,53375,Ġblur
53,16,0.82421875,300,Ġof
54,17,0.361328125,9668,Ġcolors
56,18,0.92578125,10277,Ġsounds
55,19,0.62109375,301,Ġand
57,20,0.6328125,13,.
58,21,0.28515625,468,ĠThe
60,22,0.2470703125,529,Ġwas
59,23,0.76953125,3662,Ġair
61,24,0.71484375,10256,Ġthick
62,25,0.96875,391,Ġwith
63,26,0.64453125,268,Ġthe
65,27,0.8515625,300,Ġof
64,28,0.515625,37264,Ġscent
67,29,0.58203125,301,Ġand
68,30,0.357421875,268,Ġthe
66,31,0.208984375,73957,Ġozone
69,32,0.44921875,2851,Ġhum
70,33,0.99609375,300,Ġof
71,34,0.26953125,12308,Ġmachines
72,35,0.447265625,13,.
73,36,0.369140625,71540,ĠBuildings
74,37,0.240234375,297,Ġto
75,38,0.99609375,15131,wered
77,39,0.44921875,989,Ġthem
76,40,0.96484375,3330,Ġabove
78,41,0.77734375,11,","
79,42,0.55078125,802,Ġtheir
80,43,0.3359375,3048,Ġfac
81,44,1.0,6292,ades
83,45,0.31640625,391,Ġwith
82,46,0.6015625,94308,Ġadorned
84,47,0.1767578125,16578,Ġstrange
85,48,0.5078125,19626,Ġsymbols
86,49,0.70703125,301,Ġand
88,50,0.41796875,13,.
87,51,0.236328125,13170,Ġlights
89,52,0.236328125,468,ĠThe
90,53,0.4296875,19231,Ġgod
91,54,0.478515625,698,'s
92,55,0.68359375,3714,Ġmind
93,56,0.57421875,76409,Ġraced
94,57,0.73828125,409,Ġas
95,58,0.98046875,792,Ġthey
97,59,0.84375,297,Ġto
96,60,0.72265625,6830,Ġtried
99,61,0.765625,5209,Ġsense
98,62,1.0,1253,Ġmake
100,63,1.0,300,Ġof
104,64,0.4765625,13,.
101,65,0.79296875,501,Ġthis
103,66,0.67578125,1931,Ġworld
102,67,0.6015625,782,Ġnew
105,68,0.283203125,2240,ĠThey
106,69,0.431640625,1028,Ġhad
109,70,0.1962890625,300,Ġof
107,71,0.5546875,6862,Ġheard
108,72,0.52734375,116236,Ġwhispers
110,73,0.34765625,259,Ġa
111,74,0.263671875,43099,Ġcivilization
112,75,0.6484375,378,Ġthat
113,76,0.296875,1028,Ġhad
114,77,0.1572265625,308,Ġth
115,78,1.0,34330,rived
116,79,0.259765625,296,Ġin
117,80,0.451171875,268,Ġthe
119,81,0.431640625,11,","
120,82,0.6328125,731,Ġbut
118,83,0.396484375,39770,Ġshadows
122,84,0.306640625,1028,Ġhad
121,85,0.6875,792,Ġthey
123,86,0.6953125,2658,Ġnever
124,87,0.81640625,35561,Ġimagined
125,88,0.66796875,403,Ġit
127,89,0.78515625,367,Ġbe
128,90,0.640625,740,Ġso
126,91,0.5703125,297,Ġto
130,92,0.2412109375,301,Ġand
132,93,0.63671875,13,.
131,94,0.416015625,51544,Ġchaotic
129,95,0.158203125,4834,Ġcomplex
134,96,0.33984375,198,Ċ
133,97,0.953125,198,Ċ
135,98,0.298828125,678,The
136,99,0.7734375,19231,Ġgod
137,100,0.318359375,698,'s
141,101,0.18359375,792,Ġthey
