pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.2236328125,678,The
37,1,0.9453125,21261,Ġengineer
38,2,0.451171875,1028,Ġhad
39,3,0.66015625,7730,Ġspent
43,4,0.435546875,4225,Ġperfect
45,5,0.8359375,11,","
42,6,0.92578125,268,Ġthe
44,7,0.91796875,4762,Ġdevice
40,8,0.51171875,3710,Ġmonths
41,9,0.484375,4620,Ġbuilding
46,10,0.28125,731,Ġbut
48,11,0.4375,1028,Ġhad
47,12,0.61328125,464,Ġhe
51,13,0.310546875,1097,Ġits
49,14,0.6796875,6349,Ġcompletely
50,15,0.9921875,25149,Ġforgotten
52,16,0.98828125,6189,Ġpurpose
53,17,0.953125,13,.
54,18,0.384765625,1290,ĠHe
55,19,0.8125,1028,Ġhad
56,20,0.1611328125,1007,Ġbeen
57,21,0.57421875,740,Ġso
59,22,0.5,366,Ġon
58,23,0.98828125,9884,Ġfocused
60,24,0.546875,268,Ġthe
61,25,0.26953125,8702,Ġtechnical
63,26,0.53125,300,Ġof
66,27,0.8515625,378,Ġthat
67,28,0.99609375,464,Ġhe
62,29,0.609375,10380,Ġaspects
64,30,0.5546875,268,Ġthe
65,31,0.6875,2411,Ġproject
68,32,0.97265625,1028,Ġhad
69,33,0.58984375,6040,Ġlost
71,34,0.98828125,300,Ġof
70,35,0.96484375,14478,Ġsight
74,36,0.58203125,5984,Ġgoal
75,37,0.890625,13,.
72,38,0.703125,268,Ġthe
73,39,0.78125,1389,Ġend
76,40,0.345703125,3912,ĠOne
78,41,0.984375,11,","
77,42,0.91015625,1813,Ġday
80,43,0.5390625,464,Ġhe
79,44,0.91015625,409,Ġas
81,45,0.78515625,529,Ġwas
82,46,0.3515625,10934,Ġwalking
83,47,0.6015625,1352,Ġthrough
86,48,0.87890625,11,","
87,49,0.8125,464,Ġhe
84,50,0.796875,900,Ġhis
85,51,0.53125,7729,Ġlab
89,52,0.375,259,Ġa
88,53,0.68359375,6862,Ġheard
90,54,0.703125,43370,Ġfaint
91,55,0.373046875,89130,Ġhumming
92,56,0.63671875,11666,Ġnoise
93,57,0.703125,5178,Ġcoming
94,58,1.0,546,Ġfrom
95,59,0.5078125,268,Ġthe
97,60,0.52734375,13,.
96,61,0.73046875,4762,Ġdevice
98,62,0.4140625,113542,ĠCurious
