pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.326171875,678,The
40,1,0.328125,37264,Ġscent
41,2,0.232421875,11,","
42,3,0.3203125,259,Ġa
45,4,0.33984375,300,Ġof
44,5,0.75,20136,Ġblend
47,6,0.52734375,301,Ġand
49,7,0.474609375,11,","
50,8,0.365234375,10619,Ġwa
53,9,0.890625,268,Ġthe
52,10,0.94921875,1352,Ġthrough
54,11,0.65625,3662,Ġair
51,12,0.64453125,115305,fted
46,13,0.32421875,107591,Ġjasmine
48,14,0.423828125,66624,Ġlavender
43,15,0.4765625,31762,Ġdelicate
55,16,0.35546875,1029,Ġlike
56,17,0.9140625,259,Ġa
57,18,0.369140625,17561,Ġgentle
58,19,0.9453125,41746,Ġbreeze
59,20,0.5859375,13,.
60,21,0.36328125,1965,ĠAs
61,22,0.380859375,5106,Ġsoon
62,23,1.0,409,Ġas
63,24,0.52734375,403,Ġit
65,25,0.46875,268,Ġthe
64,26,0.349609375,9943,Ġreached
67,27,0.29296875,11,","
66,28,0.341796875,20682,Ġlaboratory
68,29,0.40625,268,Ġthe
69,30,0.1767578125,16816,Ġscientists
70,31,0.2392578125,6636,Ġbegan
71,32,0.93359375,297,Ġto
72,33,0.298828125,2526,Ġexperience
73,34,0.263671875,289,Ġan
76,35,0.357421875,300,Ġof
74,36,0.66015625,23246,Ġoverwhelming
78,37,0.4765625,13,.
77,38,0.51953125,16919,Ġmemories
75,39,0.6015625,25144,Ġflood
79,40,0.1396484375,2240,ĠThey
85,41,0.12158203125,11,","
86,42,0.228515625,301,Ġand
83,43,0.625,11,","
80,44,0.265625,40727,Ġrecalled
81,45,0.37109375,1380,Ġevery
82,46,0.232421875,10762,Ġconversation
84,47,0.29296875,2867,Ġevent
87,48,0.48828125,9278,Ġdetail
89,49,0.39453125,802,Ġtheir
90,50,0.70703125,5809,Ġlives
88,51,0.6171875,300,Ġof
91,52,0.431640625,11,","
92,53,0.2275390625,546,Ġfrom
93,54,0.3671875,268,Ġthe
94,55,0.345703125,16297,Ġsmallest
96,56,0.60546875,297,Ġto
97,57,0.8046875,268,Ġthe
101,58,0.60546875,13,.
98,59,0.6171875,1325,Ġmost
102,60,0.55859375,198,Ċ
99,61,0.56640625,3741,Ġsignificant
100,62,0.2890625,32356,Ġachievements
95,63,0.27734375,13475,Ġmoments
103,64,0.96875,198,Ċ
104,65,0.31640625,678,The
105,66,0.380859375,31826,Ġchaos
107,67,0.384765625,115457,Ġensued
106,68,1.0,378,Ġthat
108,69,0.9609375,529,Ġwas
110,70,0.59765625,13,.
109,71,0.390625,112282,Ġpalpable
