pos,step_decoded,conf_decoded,token_id,token_str
29,0,0.40234375,678,The
30,1,0.27734375,1931,Ġworld
31,2,0.61328125,2137,Ġaround
34,3,0.6015625,297,Ġto
32,4,0.59765625,362,Ġyou
33,5,0.58203125,9811,Ġstarts
36,6,0.220703125,11,","
35,7,0.318359375,53375,Ġblur
37,8,0.328125,301,Ġand
38,9,0.416015625,268,Ġthe
39,10,0.6328125,9668,Ġcolors
41,11,0.423828125,297,Ġto
40,12,0.83203125,3833,Ġbegin
42,13,0.59765625,9142,Ġshift
43,14,0.3984375,13,.
44,15,0.365234375,468,ĠThe
46,16,0.1123046875,300,Ġof
47,17,0.345703125,268,Ġthe
48,18,0.369140625,4231,Ġcity
45,19,0.32421875,10277,Ġsounds
49,20,0.318359375,3588,Ġbecome
50,21,0.482421875,67304,Ġdistorted
51,22,0.64453125,11,","
52,23,0.67578125,301,Ġand
53,24,0.59375,268,Ġthe
55,25,0.28515625,300,Ġof
56,26,0.30859375,268,Ġthe
59,27,0.30859375,297,Ġto
58,28,0.51953125,1489,Ġstart
57,29,0.66015625,13630,Ġbuildings
54,30,0.2734375,13170,Ġlights
60,31,0.9140625,40150,Ġflick
61,32,1.0,264,er
62,33,0.71875,13,.
63,34,0.46484375,1400,ĠYou
64,35,0.3203125,560,Ġcan
66,36,0.478515625,268,Ġthe
65,37,0.40234375,6413,Ġhear
68,38,0.40625,300,Ġof
67,39,0.35546875,2851,Ġhum
71,40,0.2333984375,11,","
72,41,0.49609375,731,Ġbut
69,42,0.79296875,268,Ġthe
73,43,0.5703125,403,Ġit
75,44,0.52734375,1029,Ġlike
74,45,0.7421875,10277,Ġsounds
76,46,0.5390625,403,Ġit
70,47,0.2109375,4231,Ġcity
77,48,0.953125,698,'s
79,49,0.3828125,7372,Ġplayed
78,50,0.984375,1775,Ġbeing
81,51,0.48046875,14732,Ġreverse
80,52,1.0,296,Ġin
82,53,0.61328125,13,.
83,54,0.32421875,468,ĠThe
84,55,0.330078125,3662,Ġair
85,56,0.40234375,341,Ġis
87,57,0.703125,391,Ġwith
86,58,0.62109375,10256,Ġthick
90,59,0.515625,300,Ġof
88,60,0.66015625,268,Ġthe
89,61,0.5703125,20815,Ġsmell
91,62,0.734375,73957,Ġozone
92,63,0.51953125,11,","
93,64,0.890625,301,Ġand
95,65,0.5390625,560,Ġcan
94,66,0.99609375,362,Ġyou
96,67,0.74609375,2428,Ġfeel
97,68,0.408203125,268,Ġthe
99,69,0.443359375,300,Ġof
98,70,0.55078125,7085,Ġheat
100,71,0.6953125,268,Ġthe
101,72,0.447265625,6326,Ġsun
103,73,0.51171875,563,Ġyour
102,74,0.98046875,366,Ġon
104,75,0.796875,5742,Ġskin
105,76,0.59375,11,","
106,77,0.9375,731,Ġbut
107,78,0.84375,403,Ġit
108,79,0.78515625,698,'s
109,80,0.2431640625,526,Ġnot
110,81,0.30859375,4729,Ġquite
112,82,0.6015625,13,.
111,83,0.765625,1484,Ġright
114,84,0.408203125,198,Ċ
113,85,0.96875,198,Ċ
115,86,0.32421875,2441,As
116,87,0.65625,362,Ġyou
117,88,0.443359375,1345,Ġlook
119,89,0.85546875,11,","
118,90,0.83203125,2137,Ġaround
120,91,0.765625,362,Ġyou
121,92,0.625,6208,Ġnotice
122,93,0.91015625,378,Ġthat
123,94,0.52734375,268,Ġthe
124,95,0.302734375,1255,Ġpeople
127,96,0.41015625,10166,Ġstreet
126,97,1.0,268,Ġthe
125,98,0.9609375,366,Ġon
128,99,0.484375,4492,Ġseem
129,100,0.90234375,297,Ġto
130,101,0.953125,367,Ġbe
131,102,0.44921875,7040,Ġmoving
132,103,0.5234375,296,Ġin
133,104,0.7109375,5841,Ġslow
134,105,0.95703125,7789,Ġmotion
135,106,0.55078125,11,","
136,107,0.380859375,802,Ġtheir
137,108,0.55859375,15319,Ġfaces
139,109,0.2060546875,15445,orted
138,110,0.9921875,705,Ġcont
140,111,0.447265625,296,Ġin
143,112,0.28515625,13,.
145,113,0.546875,560,Ġcan
144,114,0.99609375,1400,ĠYou
147,115,0.5703125,268,Ġthe
141,116,0.50390625,94775,Ġunnatural
142,117,0.81640625,4640,Ġways
149,118,0.5,300,Ġof
146,119,0.4921875,6413,Ġhear
148,120,0.47265625,5470,Ġsound
150,121,0.30859375,802,Ġtheir
151,122,0.70703125,64697,Ġfootsteps
153,123,0.80078125,731,Ġbut
152,124,1.0,11,","
154,125,0.46875,792,Ġthey
155,126,0.4375,3273,'re
156,127,0.134765625,526,Ġnot
157,128,0.376953125,7040,Ġmoving
158,129,0.224609375,13,.
159,130,0.55859375,468,ĠThe
162,131,0.212890625,268,Ġthe
161,132,0.43359375,300,Ġof
165,133,0.427734375,297,Ġto
164,134,0.498046875,1489,Ġstart
160,135,0.5703125,13170,Ġlights
163,136,0.376953125,13630,Ġbuildings
168,137,0.345703125,301,Ġand
167,138,0.51171875,264,er
166,139,1.0,40150,Ġflick
170,140,0.703125,11,","
171,141,0.546875,301,Ġand
172,142,0.455078125,362,Ġyou
169,143,0.267578125,5854,Ġdim
173,144,0.88671875,560,Ġcan
175,145,0.67578125,268,Ġthe
174,146,0.458984375,6413,Ġhear
177,147,0.7109375,300,Ġof
176,148,0.890625,5470,Ġsound
178,149,0.38671875,268,Ġthe
179,150,0.6015625,4231,Ġcity
180,151,0.369140625,698,'s
181,152,0.26953125,2548,Ġpower
182,153,0.8203125,12488,Ġgrid
186,154,0.44921875,198,Ċ
185,155,0.53125,13,.
187,156,1.0,198,Ċ
188,157,0.66796875,114750,Suddenly
184,158,0.2470703125,1635,Ġdown
183,159,0.375,69956,Ġshutting
189,160,1.0,11,","
191,161,0.484375,1931,Ġworld
190,162,1.0,268,Ġthe
192,163,0.87890625,2137,Ġaround
193,164,1.0,362,Ġyou
195,165,0.4375,297,Ġto
194,166,0.546875,9811,Ġstarts
197,167,0.396484375,11,","
198,168,0.8671875,301,Ġand
199,169,0.458984375,268,Ġthe
200,170,0.71484375,9668,Ġcolors
202,171,0.50390625,297,Ġto
201,172,0.59765625,3833,Ġbegin
203,173,0.47265625,9142,Ġshift
196,174,0.349609375,94983,Ġglitch
204,175,0.6484375,301,Ġand
206,176,0.7578125,13,.
207,177,0.51953125,1400,ĠYou
208,178,0.88671875,560,Ġcan
210,179,0.8515625,268,Ġthe
212,180,0.83203125,300,Ġof
209,181,0.9140625,6413,Ġhear
211,182,0.9453125,5470,Ġsound
213,183,0.57421875,268,Ġthe
214,184,0.83203125,4231,Ġcity
215,185,0.703125,698,'s
216,186,0.54296875,2548,Ġpower
217,187,0.94140625,12488,Ġgrid
219,188,0.369140625,1635,Ġdown
218,189,0.96484375,69956,Ġshutting
220,190,0.8828125,11,","
205,191,0.2470703125,65990,Ġdistort
221,192,0.921875,301,Ġand
223,193,0.8203125,13170,Ġlights
222,194,1.0,268,Ġthe
226,195,0.86328125,13630,Ġbuildings
225,196,1.0,268,Ġthe
224,197,0.9921875,300,Ġof
228,198,0.78125,297,Ġto
227,199,0.953125,1489,Ġstart
229,200,0.79296875,40150,Ġflick
230,201,1.0,264,er
232,202,0.91015625,5854,Ġdim
231,203,1.0,301,Ġand
233,204,0.90234375,13,.
234,205,0.640625,468,ĠThe
235,206,0.40234375,3662,Ġair
236,207,0.8125,341,Ġis
242,208,0.9921875,73957,Ġozone
240,209,1.0,20815,Ġsmell
238,210,1.0,391,Ġwith
239,211,1.0,268,Ġthe
241,212,1.0,300,Ġof
237,213,0.99609375,10256,Ġthick
243,214,0.98828125,11,","
244,215,0.98828125,301,Ġand
246,216,0.96484375,560,Ġcan
245,217,1.0,362,Ġyou
248,218,0.984375,268,Ġthe
250,219,0.984375,300,Ġof
251,220,0.98046875,268,Ġthe
247,221,0.94921875,2428,Ġfeel
249,222,0.99609375,7085,Ġheat
252,223,0.9921875,6326,Ġsun
255,224,1.0,5742,Ġskin
253,225,1.0,366,Ġon
254,226,1.0,563,Ġyour
257,227,0.91796875,731,Ġbut
256,228,1.0,11,","
258,229,0.9921875,403,Ġit
259,230,1.0,698,'s
260,231,0.9765625,526,Ġnot
261,232,0.9921875,4729,Ġquite
262,233,1.0,1484,Ġright
263,234,1.0,13,.
264,235,0.55859375,198,Ċ
265,236,1.0,198,Ċ
266,237,0.40625,3336,And
267,238,0.99609375,1310,Ġthen
268,239,0.89453125,11,","
284,240,0.9609375,126081,<|endoftext|>
283,241,0.95703125,126348,<|eot_id|>
282,242,0.9765625,13,.
281,243,0.271484375,4649,Ġblack
280,244,0.5234375,6093,Ġgoes
279,245,0.671875,4246,Ġeverything
278,246,0.91796875,301,Ġand
277,247,0.984375,11,","
273,248,0.40234375,1931,Ġworld
274,249,0.96875,2137,Ġaround
275,250,1.0,362,Ġyou
269,251,0.81640625,2094,Ġwithout
270,252,1.0,14218,Ġwarning
271,253,1.0,11,","
272,254,1.0,268,Ġthe
276,255,0.94140625,121800,Ġresets
