pos,step_decoded,conf_decoded,token_id,token_str
42,0,0.38671875,198,Ċ
36,1,0.4375,27617,Dear
37,2,0.93359375,831,Ġ[
41,3,0.96875,2278,"],"
40,4,0.984375,8393,ĠName
43,5,0.98046875,198,Ċ
39,6,0.93359375,698,'s
38,7,0.859375,92413,Recipient
48,8,0.76171875,14684,Ġfinds
46,9,1.0,501,Ġthis
49,10,0.99609375,362,Ġyou
44,11,0.9921875,40,I
45,12,0.98828125,4159,Ġhope
50,13,0.9140625,1367,Ġwell
51,14,0.97265625,13,.
47,15,0.6171875,4073,Ġmessage
54,16,0.5546875,4216,Ġwriting
52,17,1.0,331,ĠI
53,18,0.984375,1024,Ġam
55,19,0.9140625,297,Ġto
56,20,0.49609375,37232,Ġformally
58,21,0.400390625,811,Ġmy
57,22,0.63671875,4913,Ġexpress
60,23,0.478515625,7162,Ġregarding
59,24,0.55859375,5181,Ġdecision
61,25,0.703125,268,Ġthe
62,26,0.69140625,13384,Ġregistration
63,27,0.97265625,300,Ġof
65,28,0.734375,23769,Ġfriendship
64,29,0.70703125,869,Ġour
67,30,0.3828125,268,Ġthe
66,31,0.62890625,1198,Ġunder
69,32,0.81640625,5772,Ġlegal
70,33,0.78125,25798,Ġprotocols
68,34,0.625,782,Ġnew
71,35,0.2431640625,352,Ġfor
75,36,0.322265625,198,Ċ
76,37,0.64453125,198,Ċ
74,38,0.90234375,13,.
73,39,0.42578125,8653,Ġrelationships
72,40,0.373046875,58692,Ġinterpersonal
77,41,0.2490234375,6374,After
79,42,0.91796875,13725,Ġconsideration
78,43,0.9765625,15813,Ġcareful
80,44,0.65625,11,","
81,45,0.8515625,331,ĠI
82,46,0.8984375,561,Ġhave
83,47,0.6640625,6590,Ġdecided
84,48,0.62109375,297,Ġto
86,49,0.494140625,268,Ġthe
87,50,0.60546875,13384,Ġregistration
88,51,0.90234375,300,Ġof
89,52,0.95703125,869,Ġour
90,53,0.95703125,23769,Ġfriendship
91,54,0.828125,13,.
92,55,0.5703125,5781,ĠWhile
93,56,0.87109375,331,ĠI
95,57,0.6953125,268,Ġthe
85,58,0.58984375,18209,Ġdecline
94,59,0.6484375,12223,Ġappreciate
97,60,0.47265625,301,Ġand
96,61,0.462890625,7580,Ġeffort
99,62,0.416015625,362,Ġyou
98,63,0.2470703125,13725,Ġconsideration
100,64,0.55078125,561,Ġhave
105,65,0.486328125,11,","
106,66,0.859375,331,ĠI
104,67,0.6953125,4564,Ġmatter
103,68,0.9765625,501,Ġthis
101,69,0.427734375,5076,Ġshown
102,70,0.7734375,296,Ġin
109,71,0.37109375,378,Ġthat
107,72,0.71484375,561,Ġhave
108,73,0.85546875,8176,Ġdetermined
110,74,0.48046875,869,Ġour
113,75,0.7890625,526,Ġnot
111,76,0.84765625,4003,Ġrelationship
112,77,0.84765625,1543,Ġdoes
114,78,0.90625,3279,Ġmeet
115,79,0.9921875,268,Ġthe
116,80,0.515625,12801,Ġcriteria
117,81,0.75,352,Ġfor
118,82,0.43359375,13384,Ġregistration
121,83,0.482421875,198,Ċ
119,84,1.0,13,.
120,85,0.99609375,198,Ċ
123,86,0.2197265625,2725,Ġunderstand
124,87,0.79296875,378,Ġthat
122,88,0.73046875,7775,Please
125,89,0.82421875,501,Ġthis
126,90,0.80859375,5181,Ġdecision
127,91,0.61328125,341,Ġis
128,92,0.51953125,526,Ġnot
130,93,0.8125,20972,Ġreflection
129,94,1.0,259,Ġa
131,95,0.6796875,300,Ġof
132,96,0.8046875,268,Ġthe
133,97,0.56640625,3604,Ġquality
134,98,0.6484375,300,Ġof
135,99,0.921875,869,Ġour
136,100,0.7578125,23769,Ġfriendship
139,101,0.7734375,4571,Ġrather
138,102,0.99609375,731,Ġbut
137,103,0.99609375,11,","
140,104,0.85546875,259,Ġa
142,105,0.7265625,300,Ġof
143,106,0.9140625,268,Ġthe
141,107,0.52734375,1490,Ġresult
145,108,0.259765625,6571,Ġrequirements
144,109,0.5234375,5772,Ġlegal
146,110,0.4296875,378,Ġthat
147,111,0.359375,2022,Ġmust
148,112,0.99609375,367,Ġbe
149,113,0.56640625,2374,Ġmet
150,114,0.353515625,13,.
151,115,0.255859375,331,ĠI
152,116,0.48046875,4159,Ġhope
153,117,0.59765625,378,Ġthat
154,118,0.337890625,501,Ġthis
157,119,0.53125,526,Ġnot
156,120,0.6796875,1543,Ġdoes
155,121,0.408203125,37028,Ġrejection
159,122,0.294921875,869,Ġour
160,123,0.59375,4003,Ġrelationship
161,124,0.57421875,11,","
163,125,0.72265625,331,ĠI
162,126,0.80859375,301,Ġand
158,127,0.392578125,8047,Ġharm
166,128,0.3125,297,Ġto
164,129,0.53125,1024,Ġam
165,130,0.515625,10987,Ġcommitted
167,131,0.54296875,16363,Ġmaintaining
168,132,0.423828125,259,Ġa
170,133,0.76953125,301,Ġand
177,134,0.6796875,198,Ċ
175,135,0.921875,13,.
176,136,1.0,198,Ċ
173,137,0.96875,391,Ġwith
174,138,1.0,362,Ġyou
169,139,0.671875,4961,Ġpositive
178,140,0.59765625,2531,If
179,141,0.74609375,362,Ġyou
171,142,0.66015625,49698,Ġrespectful
172,143,0.419921875,4003,Ġrelationship
181,144,0.72265625,897,Ġany
180,145,0.984375,561,Ġhave
183,146,0.6796875,453,Ġor
184,147,0.875,10489,Ġconcerns
182,148,0.99609375,4294,Ġquestions
186,149,0.4765625,268,Ġthe
187,150,0.6796875,13384,Ġregistration
188,151,0.92578125,1829,Ġprocess
189,152,0.7421875,11,","
190,153,0.7890625,4660,Ġplease
194,154,0.95703125,297,Ġto
193,155,1.0,33720,Ġhesitate
192,156,0.99609375,526,Ġnot
191,157,1.0,640,Ġdo
195,158,0.73046875,3872,Ġcontact
185,159,0.59375,866,Ġabout
196,160,0.95703125,696,Ġme
197,161,0.90625,13,.
198,162,0.8984375,331,ĠI
199,163,0.67578125,1024,Ġam
200,164,0.58203125,778,Ġmore
201,165,1.0,1040,Ġthan
203,166,1.0,297,Ġto
202,167,0.93359375,5757,Ġhappy
204,168,0.57421875,2598,Ġprovide
206,169,0.451171875,391,Ġwith
205,170,1.0,362,Ġyou
208,171,0.7265625,1698,Ġinformation
207,172,0.400390625,778,Ġmore
209,173,0.31640625,301,Ġand
210,174,0.462890625,13476,Ġguidance
211,175,0.828125,13,.
212,176,0.9921875,198,Ċ
213,177,1.0,198,Ċ
214,178,0.6484375,9944,Thank
215,179,1.0,362,Ġyou
216,180,0.9140625,352,Ġfor
217,181,0.85546875,563,Ġyour
218,182,0.8984375,5942,Ġunderstanding
219,183,0.91015625,301,Ġand
221,184,0.5703125,13,.
220,185,0.63671875,21798,Ġcooperation
222,186,0.55859375,331,ĠI
225,187,0.578125,297,Ġto
223,188,0.984375,1345,Ġlook
224,189,1.0,4953,Ġforward
226,190,0.66015625,13875,Ġcontinuing
227,191,0.78125,869,Ġour
228,192,0.92578125,23769,Ġfriendship
229,193,0.46484375,296,Ġin
231,194,0.390625,4640,Ġways
230,195,0.99609375,880,Ġother
234,196,0.53125,198,Ċ
232,197,1.0,13,.
233,198,1.0,198,Ċ
238,199,0.828125,198,Ċ
235,200,0.9453125,110609,Sincerely
236,201,1.0,11,","
237,202,0.99609375,198,Ċ
239,203,0.9921875,58,[
240,204,1.0,6943,Your
242,205,0.984375,60,]
241,206,0.953125,8393,ĠName
243,207,0.7421875,198,Ċ
244,208,0.9296875,198,Ċ
245,209,0.671875,58,[
246,210,0.8125,6943,Your
250,211,0.77734375,198,Ċ
249,212,0.84375,198,Ċ
248,213,1.0,60,]
251,214,0.9140625,58,[
252,215,0.9140625,6943,Your
254,216,0.8515625,7532,ĠInformation
253,217,0.99609375,12883,ĠContact
255,218,0.98828125,60,]
257,219,0.984375,198,Ċ
256,220,0.99609375,198,Ċ
258,221,0.625,58,[
259,222,0.69140625,6943,Your
247,223,0.435546875,28335,ĠPosition
260,224,0.46875,7409,ĠCompany
262,225,0.82421875,49304,Organization
261,226,1.0,14,/
264,227,0.5,198,Ċ
263,228,1.0,60,]
265,229,1.0,198,Ċ
266,230,0.39453125,58,[
270,231,0.326171875,198,Ċ
269,232,0.84765625,198,Ċ
268,233,0.984375,60,]
267,234,0.84375,6272,Date
272,235,0.337890625,25,:
274,236,0.427734375,7885,Ġletter
273,237,0.99609375,1077,ĠThis
271,238,0.96484375,11276,Note
275,239,0.64453125,341,Ġis
291,240,1.0,126081,<|endoftext|>
290,241,0.99609375,126348,<|eot_id|>
289,242,0.99609375,13,.
276,243,0.69921875,259,Ġa
278,244,0.59375,301,Ġand
280,245,0.91015625,367,Ġbe
279,246,0.7578125,1329,Ġshould
287,247,0.73046875,301,Ġand
285,248,0.92578125,2918,Ġspecific
284,249,0.828125,268,Ġthe
282,250,0.6875,4631,Ġaccording
283,251,1.0,297,Ġto
281,252,0.482421875,21966,Ġcustomized
286,253,0.4609375,6214,Ġsituation
288,254,0.54296875,4340,Ġcontext
277,255,0.38671875,9287,Ġtemplate
