pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.1376953125,100521,Relationships
35,1,0.6796875,3085,Ġbreak
36,2,0.94140625,1218,Ġfirst
37,3,0.8359375,13,.
39,4,0.1640625,198,Ċ
38,5,0.67578125,198,Ċ
41,6,0.19140625,268,Ġthe
40,7,0.44921875,846,In
42,8,0.4296875,1218,Ġfirst
43,9,0.38671875,2351,Ġfew
45,10,0.76953125,11,","
44,11,0.384765625,3871,Ġhours
46,12,0.318359375,1255,Ġpeople
48,13,0.341796875,297,Ġto
47,14,0.5546875,1489,Ġstart
49,15,0.74609375,11660,Ġrealize
50,16,0.578125,378,Ġthat
51,17,0.24609375,802,Ġtheir
52,18,0.3203125,8653,Ġrelationships
55,19,0.48828125,366,Ġon
54,20,0.8984375,5851,Ġbuilt
53,21,0.80859375,929,Ġwere
56,22,0.66015625,14466,Ġlies
57,23,0.482421875,13,.
58,24,0.416015625,2240,ĠThey
60,25,0.27734375,297,Ġto
59,26,0.8203125,3833,Ġbegin
61,27,0.77734375,3244,Ġquestion
62,28,0.28125,802,Ġtheir
64,29,0.390625,301,Ġand
63,30,0.29296875,4569,Ġfriends
65,31,0.7421875,2709,Ġfamily
66,32,0.51953125,3780,Ġmembers
67,33,0.75,11,","
68,34,0.251953125,17645,Ġwondering
70,35,0.76171875,792,Ġthey
69,36,0.455078125,624,Ġif
71,37,0.2265625,560,Ġcan
74,38,0.51171875,989,Ġthem
73,39,0.96875,5426,Ġtrust
75,40,0.5703125,13,.
72,41,0.44140625,8330,Ġtruly
76,42,0.255859375,54423,ĠRelationships
77,43,0.4375,1489,Ġstart
78,44,0.9921875,297,Ġto
80,45,0.4296875,11,","
81,46,0.73046875,301,Ġand
79,47,0.318359375,96229,Ġfray
83,48,0.3828125,3833,Ġbegin
84,49,0.9921875,297,Ġto
82,50,0.86328125,1255,Ġpeople
85,51,0.369140625,7118,Ġdistance
86,52,1.0,5836,Ġthemselves
87,53,0.80859375,546,Ġfrom
88,54,0.6484375,1803,Ġthose
89,55,0.61328125,792,Ġthey
90,56,0.515625,3779,Ġonce
93,57,0.5390625,13,.
92,58,0.546875,4378,Ġclose
91,59,0.87890625,5413,Ġconsidered
95,60,0.55859375,198,Ċ
94,61,0.984375,198,Ċ
96,62,0.486328125,2441,As
97,63,0.71484375,268,Ġthe
100,64,0.419921875,11,","
98,65,0.447265625,1813,Ġday
99,66,0.96484375,63463,Ġprogresses
101,67,0.275390625,778,Ġmore
103,68,0.71484375,778,Ġmore
102,69,1.0,301,Ġand
104,70,0.41796875,1255,Ġpeople
106,71,0.53515625,297,Ġto
105,72,0.74609375,1489,Ġstart
108,73,0.2890625,268,Ġthe
109,74,0.76953125,7806,Ġtruth
107,75,0.58984375,11660,Ġrealize
110,76,0.462890625,11,","
111,77,0.91796875,301,Ġand
112,78,0.4765625,268,Ġthe
113,79,0.2099609375,83907,Ġripple
114,80,0.921875,2040,Ġeffect
116,81,0.498046875,297,Ġto
117,82,0.90234375,7964,Ġspread
118,83,0.9765625,13,.
115,84,0.6875,12688,Ġbegins
119,85,0.5234375,54423,ĠRelationships
120,86,0.322265625,1489,Ġstart
121,87,0.99609375,297,Ġto
124,88,0.435546875,301,Ġand
123,89,0.9140625,11,","
125,90,0.56640625,1255,Ġpeople
126,91,0.7109375,3833,Ġbegin
127,92,0.99609375,297,Ġto
122,93,0.59375,120238,Ġcrumble
128,94,0.306640625,3244,Ġquestion
129,95,0.423828125,268,Ġthe
130,96,0.57421875,1471,Ġvery
132,97,0.828125,300,Ġof
133,98,0.482421875,802,Ġtheir
135,99,0.78125,13,.
136,100,0.66015625,198,Ċ
137,101,1.0,198,Ċ
131,102,0.59375,13983,Ġfoundation
139,103,0.3828125,11,","
138,104,0.419921875,31328,Meanwhile
140,105,0.859375,4519,Ġsystems
142,106,0.435546875,297,Ġto
141,107,0.72265625,1489,Ġstart
143,108,0.5078125,3085,Ġbreak
134,109,0.326171875,5809,Ġlives
144,110,0.2578125,409,Ġas
145,111,0.69921875,1367,Ġwell
146,112,0.87890625,13,.
147,113,0.173828125,90696,ĠGovernments
148,114,0.359375,301,Ġand
149,115,0.466796875,13282,Ġinstitutions
151,116,0.380859375,297,Ġto
150,117,0.671875,1489,Ġstart
153,118,0.58984375,44747,alter
152,119,1.0,281,Ġf
155,120,0.5546875,1255,Ġpeople
154,121,0.98828125,409,Ġas
156,122,0.63671875,3833,Ġbegin
157,123,0.99609375,297,Ġto
158,124,0.77734375,3244,Ġquestion
160,125,0.54296875,73236,Ġlegitimacy
159,126,0.5625,802,Ġtheir
161,127,0.484375,13,.
162,128,0.345703125,46345,ĠBusinesses
164,129,0.5859375,297,Ġto
163,130,0.96484375,1489,Ġstart
166,131,0.427734375,409,Ġas
165,132,0.66015625,17934,Ġsuffer
167,133,0.6484375,4945,Ġcustomers
169,134,0.63671875,297,Ġto
168,135,0.86328125,3833,Ġbegin
170,136,0.59765625,9190,Ġlose
172,137,0.8046875,296,Ġin
171,138,0.6015625,5426,Ġtrust
173,139,0.38671875,989,Ġthem
174,140,0.75,13,.
175,141,0.29296875,9113,ĠSocial
176,142,0.58203125,4186,Ġmedia
177,143,0.82421875,12159,Ġplatforms
179,144,0.9140625,297,Ġto
