pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.64453125,10277,Ġsounds
36,1,0.984375,1029,Ġlike
37,2,0.6796875,259,Ġa
34,3,0.82421875,5638,That
38,4,0.5078125,23452,Ġfascinating
39,5,0.453125,16211,Ġscenario
40,6,0.6328125,0,!
41,7,0.158203125,1538,ĠIf
42,8,0.953125,24709,Ġgravity
44,9,0.4375,273,es
43,10,1.0,17286,Ġrevers
47,11,0.6796875,901,Ġwho
45,12,0.9921875,352,Ġfor
46,13,0.83203125,1255,Ġpeople
48,14,0.78125,3317,Ġtell
49,15,1.0,14466,Ġlies
50,16,0.98828125,11,","
51,17,0.52734375,403,Ġit
52,18,0.7109375,1017,Ġwould
53,19,0.392578125,2818,Ġcreate
54,20,0.447265625,4729,Ġquite
55,21,0.4296875,259,Ġa
57,22,0.361328125,13,.
56,23,0.314453125,77862,Ġspectacle
58,24,0.6953125,38586,ĠCities
63,25,0.84765625,9588,essions
62,26,1.0,2206,Ġconf
59,27,0.98046875,14116,Ġturning
60,28,1.0,1119,Ġinto
61,29,1.0,23572,Ġfloating
64,30,0.8125,1017,Ġwould
65,31,0.68359375,367,Ġbe
66,32,0.609375,259,Ġa
68,33,0.466796875,301,Ġand
67,34,0.7265625,73950,Ġsurreal
71,35,0.515625,13,.
70,36,0.435546875,14478,Ġsight
72,37,0.263671875,963,ĠIt
73,38,0.359375,1017,Ġwould
69,39,0.1640625,73950,Ġsurreal
75,40,0.2734375,6171,Ġinteresting
74,41,1.0,367,Ġbe
76,42,0.99609375,297,Ġto
78,43,0.9453125,1099,Ġhow
77,44,0.96484375,1339,Ġsee
79,45,0.8046875,1255,Ġpeople
81,46,0.435546875,297,Ġto
80,47,0.55078125,8630,Ġadapt
82,48,0.73046875,501,Ġthis
83,49,0.79296875,782,Ġnew
85,50,0.640625,301,Ġand
84,51,0.640625,9117,Ġreality
86,52,0.546875,1099,Ġhow
87,53,0.298828125,802,Ġtheir
88,54,0.21875,14210,Ġinteractions
89,55,0.412109375,301,Ġand
97,56,0.93359375,126081,<|endoftext|>
96,57,0.8359375,126348,<|eot_id|>
95,58,0.9921875,13,.
93,59,0.5703125,259,Ġa
92,60,0.99609375,409,Ġas
94,61,1.0,1490,Ġresult
91,62,0.93359375,2712,Ġchange
90,63,0.53515625,8653,Ġrelationships
