pos,step_decoded,conf_decoded,token_id,token_str
33,0,0.34765625,846,In
35,1,0.78125,5854,Ġdim
36,2,0.98046875,360,ly
37,3,0.99609375,11321,Ġlit
34,4,0.796875,268,Ġthe
39,5,0.498046875,11,","
38,6,0.6953125,20682,Ġlaboratory
40,7,0.56640625,268,Ġthe
41,8,0.220703125,20664,Ġrobot
42,9,0.3984375,15840,Ġstood
44,10,0.44140625,11,","
45,11,0.9375,1097,Ġits
43,12,0.640625,15835,Ġtall
46,13,0.26171875,40518,Ġmetallic
48,14,0.37890625,34213,Ġreflecting
47,15,0.40625,5870,Ġsurface
49,16,0.95703125,268,Ġthe
51,17,0.55859375,2448,ering
50,18,1.0,40150,Ġflick
54,19,0.44140625,13,.
52,20,0.71484375,52244,Ġfluorescent
53,21,0.86328125,13170,Ġlights
55,22,0.5546875,4534,ĠDr
56,23,1.0,13,.
58,24,0.5078125,11,","
60,25,0.73828125,28825,Ġcreator
61,26,0.8984375,11,","
59,27,0.890625,1097,Ġits
57,28,0.21484375,88129,ĠEvelyn
63,29,0.2041015625,1749,Ġbefore
64,30,0.9765625,403,Ġit
62,31,0.9609375,15840,Ġstood
65,32,0.93359375,11,","
66,33,0.80078125,1094,Ġher
67,34,0.69921875,6405,Ġeyes
69,35,0.7421875,391,Ġwith
68,36,0.50390625,10604,Ġfilled
71,37,0.427734375,15591,Ġmixture
70,38,1.0,259,Ġa
72,39,1.0,300,Ġof
74,40,0.9453125,301,Ġand
76,41,0.8984375,13,.
78,42,0.58203125,198,Ċ
77,43,0.9609375,198,Ċ
79,44,0.80078125,1,""""
73,45,0.2314453125,35038,Ġcuriosity
75,46,0.322265625,5274,Ġconcern
80,47,0.134765625,37688,Tell
81,48,0.89453125,696,Ġme
82,49,0.431640625,11,","
83,50,0.435546875,20664,Ġrobot
84,51,0.85546875,2786,","""
85,52,0.8359375,1285,Ġshe
87,53,0.82421875,11,","
89,54,0.9140625,8104,Ġvoice
88,55,1.0,1094,Ġher
86,56,0.6953125,63670,Ġcommanded
90,57,0.46484375,7219,Ġfirm
91,58,0.609375,731,Ġbut
94,59,0.40234375,477,"Ġ"""
93,60,0.73046875,13,.
95,61,0.482421875,2372,What
92,62,0.310546875,17561,Ġgentle
96,63,0.25,341,Ġis
97,64,0.478515625,268,Ġthe
98,65,0.4921875,7806,Ġtruth
99,66,0.74609375,6608,"?"""
100,67,0.99609375,198,Ċ
101,68,1.0,198,Ċ
103,69,0.95703125,20664,Ġrobot
102,70,1.0,678,The
104,71,0.74609375,698,'s
106,72,0.28125,11,","
105,73,0.31640625,6405,Ġeyes
107,74,0.5546875,259,Ġa
112,75,0.4609375,11,","
109,76,0.8828125,24918,Ġshade
110,77,1.0,300,Ġof
111,78,0.94140625,7182,Ġblue
108,79,0.408203125,5459,Ġdeep
113,80,0.21875,21706,Ġlocked
114,81,0.984375,8869,Ġonto
116,82,0.8515625,13,.
115,83,0.8359375,53343,Ġhers
117,84,0.466796875,963,ĠIt
119,85,0.2578125,11,","
118,86,0.73828125,52048,Ġpaused
120,87,0.37109375,1097,Ġits
121,88,0.404296875,17719,Ġmechanical
127,89,0.1513671875,13,.
128,90,0.490234375,5168,ĠThen
124,91,0.125,296,Ġin
125,92,0.23046875,1097,Ġits
122,93,0.228515625,11241,Ġbreath
126,94,0.52734375,17555,Ġchest
