pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.671875,4932,Ġdownload
30,1,0.99609375,1402,Ġcould
28,2,0.9921875,2531,If
29,3,0.9921875,13464,Ġhumans
32,4,0.984375,12282,Ġemotional
33,5,1.0,10445,Ġupdates
34,6,0.98828125,11,","
37,7,0.8046875,95269,elog
36,8,1.0,2740,Ġchang
35,9,0.9609375,268,Ġthe
38,10,0.8671875,1017,Ġwould
39,11,0.67578125,4516,Ġlikely
41,12,0.2392578125,259,Ġa
43,13,0.62890625,300,Ġof
42,14,0.4921875,1746,Ġlist
40,15,0.43359375,3124,Ġinclude
45,16,0.2734375,12282,Ġemotional
46,17,0.5078125,5502,Ġstates
44,18,0.419921875,2541,Ġavailable
47,19,0.5078125,11,","
48,20,0.2890625,802,Ġtheir
50,21,0.484375,11,","
51,22,0.72265625,301,Ġand
49,23,0.73828125,27955,Ġdescriptions
52,24,0.306640625,897,Ġany
55,25,0.341796875,453,Ġor
53,26,0.474609375,5182,Ġassociated
57,27,0.5546875,13,.
58,28,0.2578125,468,ĠThe
59,29,0.91015625,2740,Ġchang
54,30,0.255859375,5883,Ġbenefits
56,31,0.46875,65246,Ġdrawbacks
60,32,1.0,95269,elog
62,33,0.89453125,911,Ġalso
61,34,0.69140625,2450,Ġmight
63,35,0.470703125,3124,Ġinclude
64,36,0.5,1698,Ġinformation
65,37,0.8125,366,Ġon
66,38,0.67578125,1099,Ġhow
67,39,0.8671875,297,Ġto
68,40,0.40234375,2695,Ġaccess
70,41,0.54296875,4932,Ġdownload
69,42,0.57421875,453,Ġor
71,43,0.52734375,1671,Ġeach
72,44,0.82421875,12282,Ġemotional
73,45,0.8515625,1856,Ġstate
74,46,0.8125,11,","
75,47,0.27734375,1435,Ġsuch
76,48,1.0,409,Ġas
77,49,0.349609375,1352,Ġthrough
78,50,0.78125,259,Ġa
79,51,0.244140625,7392,Ġvirtual
80,52,0.85546875,9117,Ġreality
83,53,0.5703125,259,Ġa
81,54,0.66796875,2526,Ġexperience
82,55,0.5625,453,Ġor
86,56,0.59765625,13,.
87,57,0.6015625,14143,ĠAdditionally
88,58,0.99609375,11,","
90,59,0.8125,2740,Ġchang
91,60,1.0,95269,elog
89,61,0.99609375,268,Ġthe
85,62,0.30859375,872,Ġapp
84,63,0.65234375,6622,Ġmobile
92,64,0.58203125,2450,Ġmight
93,65,0.412109375,3124,Ġinclude
95,66,0.39453125,366,Ġon
96,67,0.462890625,1099,Ġhow
97,68,0.84375,297,Ġto
98,69,0.369140625,1071,Ġuse
94,70,0.48046875,13476,Ġguidance
100,71,0.462890625,26461,Ġdownloaded
99,72,0.90234375,268,Ġthe
101,73,0.83984375,12282,Ġemotional
102,74,0.484375,1856,Ġstate
103,75,0.40625,296,Ġin
106,76,0.34375,11,","
107,77,0.9140625,1435,Ġsuch
105,78,0.59765625,12376,Ġsituations
104,79,0.455078125,1733,Ġdifferent
108,80,1.0,409,Ġas
121,81,0.251953125,126081,<|endoftext|>
122,82,1.0,126081,<|endoftext|>
123,83,1.0,126081,<|endoftext|>
120,84,0.90625,126081,<|endoftext|>
119,85,0.8671875,126081,<|endoftext|>
118,86,0.81640625,126081,<|endoftext|>
117,87,0.73046875,126081,<|endoftext|>
116,88,0.5625,126081,<|endoftext|>
115,89,0.65234375,126348,<|eot_id|>
114,90,1.0,13,.
111,91,0.7890625,453,Ġor
109,92,0.31640625,296,Ġin
113,93,0.369140625,7821,Ġsettings
112,94,0.64453125,4940,Ġprofessional
110,95,0.78515625,3446,Ġsocial
124,96,1.0,126081,<|endoftext|>
125,97,1.0,126081,<|endoftext|>
126,98,1.0,126081,<|endoftext|>
127,99,1.0,126081,<|endoftext|>
128,100,1.0,126081,<|endoftext|>
129,101,1.0,126081,<|endoftext|>
130,102,1.0,126081,<|endoftext|>
131,103,1.0,126081,<|endoftext|>
132,104,1.0,126081,<|endoftext|>
133,105,1.0,126081,<|endoftext|>
134,106,1.0,126081,<|endoftext|>
135,107,1.0,126081,<|endoftext|>
136,108,1.0,126081,<|endoftext|>
137,109,1.0,126081,<|endoftext|>
138,110,1.0,126081,<|endoftext|>
139,111,1.0,126081,<|endoftext|>
140,112,1.0,126081,<|endoftext|>
141,113,1.0,126081,<|endoftext|>
142,114,1.0,126081,<|endoftext|>
143,115,1.0,126081,<|endoftext|>
144,116,1.0,126081,<|endoftext|>
145,117,1.0,126081,<|endoftext|>
146,118,1.0,126081,<|endoftext|>
147,119,1.0,126081,<|endoftext|>
148,120,1.0,126081,<|endoftext|>
149,121,1.0,126081,<|endoftext|>
150,122,1.0,126081,<|endoftext|>
151,123,1.0,126081,<|endoftext|>
152,124,1.0,126081,<|endoftext|>
153,125,1.0,126081,<|endoftext|>
154,126,1.0,126081,<|endoftext|>
155,127,1.0,126081,<|endoftext|>
156,128,1.0,126081,<|endoftext|>
157,129,1.0,126081,<|endoftext|>
158,130,1.0,126081,<|endoftext|>
159,131,1.0,126081,<|endoftext|>
160,132,1.0,126081,<|endoftext|>
161,133,1.0,126081,<|endoftext|>
162,134,1.0,126081,<|endoftext|>
163,135,1.0,126081,<|endoftext|>
164,136,1.0,126081,<|endoftext|>
165,137,1.0,126081,<|endoftext|>
166,138,1.0,126081,<|endoftext|>
167,139,1.0,126081,<|endoftext|>
168,140,1.0,126081,<|endoftext|>
169,141,1.0,126081,<|endoftext|>
170,142,1.0,126081,<|endoftext|>
171,143,1.0,126081,<|endoftext|>
172,144,1.0,126081,<|endoftext|>
173,145,1.0,126081,<|endoftext|>
174,146,1.0,126081,<|endoftext|>
175,147,1.0,126081,<|endoftext|>
176,148,1.0,126081,<|endoftext|>
177,149,1.0,126081,<|endoftext|>
178,150,1.0,126081,<|endoftext|>
179,151,1.0,126081,<|endoftext|>
180,152,1.0,126081,<|endoftext|>
181,153,1.0,126081,<|endoftext|>
182,154,1.0,126081,<|endoftext|>
183,155,1.0,126081,<|endoftext|>
184,156,1.0,126081,<|endoftext|>
185,157,1.0,126081,<|endoftext|>
186,158,1.0,126081,<|endoftext|>
187,159,1.0,126081,<|endoftext|>
188,160,1.0,126081,<|endoftext|>
189,161,1.0,126081,<|endoftext|>
190,162,1.0,126081,<|endoftext|>
191,163,1.0,126081,<|endoftext|>
192,164,1.0,126081,<|endoftext|>
193,165,1.0,126081,<|endoftext|>
194,166,1.0,126081,<|endoftext|>
195,167,1.0,126081,<|endoftext|>
196,168,1.0,126081,<|endoftext|>
197,169,1.0,126081,<|endoftext|>
198,170,1.0,126081,<|endoftext|>
199,171,1.0,126081,<|endoftext|>
200,172,1.0,126081,<|endoftext|>
201,173,1.0,126081,<|endoftext|>
202,174,1.0,126081,<|endoftext|>
203,175,1.0,126081,<|endoftext|>
204,176,1.0,126081,<|endoftext|>
205,177,1.0,126081,<|endoftext|>
206,178,1.0,126081,<|endoftext|>
207,179,1.0,126081,<|endoftext|>
208,180,1.0,126081,<|endoftext|>
209,181,1.0,126081,<|endoftext|>
