pos,step_decoded,conf_decoded,token_id,token_str
44,0,0.14453125,11,","
43,1,0.275390625,10488,Oh
45,2,0.2099609375,21919,Ġdear
47,3,0.4453125,11,","
46,4,0.197265625,5483,Ġcustomer
48,5,0.298828125,331,ĠI
49,6,0.263671875,2022,Ġmust
50,7,0.1767578125,13070,Ġwarn
51,8,0.9921875,362,Ġyou
52,9,0.30859375,378,Ġthat
53,10,0.2421875,268,Ġthe
55,11,0.287109375,300,Ġof
54,12,0.3515625,3965,Ġprice
58,13,0.384765625,341,Ġis
57,14,0.58203125,7313,Ġdream
56,15,0.57421875,259,Ġa
59,16,0.2470703125,28448,Ġsteep
60,17,0.466796875,13,.
61,18,0.171875,8620,ĠEach
62,19,0.2080078125,6984,Ġhour
64,20,0.70703125,6476,Ġsleep
63,21,0.98046875,300,Ġof
65,22,0.212890625,362,Ġyou
66,23,0.265625,7573,Ġtrade
68,24,0.271484375,259,Ġa
67,25,0.69921875,352,Ġfor
69,26,0.79296875,7313,Ġdream
70,27,0.349609375,3209,Ġmeans
71,28,0.62890625,362,Ġyou
72,29,0.609375,4164,'ll
73,30,0.4921875,2658,Ġnever
74,31,0.279296875,561,Ġhave
75,32,0.2099609375,378,Ġthat
76,33,0.5546875,7313,Ġdream
77,34,0.95703125,1750,Ġagain
78,35,0.87890625,13,.
79,36,0.12158203125,2237,ĠSo
80,37,0.6640625,11,","
81,38,0.1630859375,1699,Ġthink
82,39,0.8203125,13436,Ġcarefully
83,40,0.357421875,11,","
84,41,0.7109375,352,Ġfor
85,42,0.291015625,268,Ġthe
87,43,0.337890625,2201,Ġmarket
86,44,0.609375,36755,Ġmidnight
88,45,0.4375,341,Ġis
89,46,0.2041015625,16375,Ġclosing
90,47,0.4921875,5106,Ġsoon
91,48,0.51171875,11,","
92,49,0.98828125,301,Ġand
93,50,0.2470703125,331,ĠI
95,51,0.322265625,1227,'t
94,52,0.4921875,4237,Ġwon
96,53,0.703125,367,Ġbe
98,54,0.7578125,297,Ġto
97,55,0.578125,2766,Ġable
106,56,1.0,126081,<|endoftext|>
104,57,0.90234375,13,.
105,58,1.0,126348,<|eot_id|>
100,59,0.33203125,362,Ġyou
101,60,0.396484375,897,Ġany
102,61,0.828125,778,Ġmore
103,62,0.640625,16757,Ġdreams
99,63,0.49609375,5918,Ġsell
