pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.75,480,**
39,1,0.2890625,12265,ĠUpdate
38,2,0.7734375,5045,ĠNews
40,3,0.6953125,25,:
41,4,0.435546875,1439,ĠUn
42,5,0.5859375,33993,precedented
47,6,0.33984375,198,Ċ
45,7,0.8359375,480,**
46,8,1.0,198,Ċ
43,9,0.90625,37231,ĠElection
37,10,0.42578125,30698,ĠMorning
36,11,0.6484375,66105,Breaking
44,12,0.412109375,16527,ĠResults
48,13,0.2421875,846,In
49,14,0.69921875,259,Ġa
50,15,0.490234375,45755,Ġshocking
53,16,0.8671875,4599,Ġevents
51,17,1.0,2846,Ġturn
52,18,1.0,300,Ġof
54,19,0.95703125,11,","
55,20,0.78515625,268,Ġthe
57,21,0.19140625,300,Ġof
58,22,0.68359375,268,Ġthe
56,23,0.515625,13148,Ġoutcome
61,24,0.35546875,11503,Ġelection
62,25,0.61328125,723,Ġhas
63,26,0.66796875,1007,Ġbeen
60,27,0.39453125,25525,Ġpresidential
59,28,0.462890625,5296,Ġrecent
65,29,0.400390625,527,Ġby
64,30,0.52734375,6590,Ġdecided
66,31,0.3984375,20710,Ġcollective
67,32,0.99609375,80901,Ġsubconscious
68,33,0.9921875,21152,Ġvoting
69,34,0.54296875,2303,Ġduring
70,35,0.828125,6476,Ġsleep
71,36,0.65625,13,.
72,37,0.28125,468,ĠThe
73,38,0.412109375,2948,Ġresults
74,39,0.32421875,11,","
75,40,0.34765625,818,Ġwhich
76,41,0.6875,929,Ġwere
77,42,0.3671875,8697,Ġannounced
80,43,0.2734375,11,","
79,44,0.470703125,3945,Ġnight
78,45,0.9921875,1948,Ġlast
82,46,0.30859375,378,Ġthat
81,47,0.6875,11277,Ġrevealed
83,48,0.68359375,63586,ĠCandidate
84,49,0.404296875,355,ĠA
85,50,0.255859375,11,","
86,51,0.451171875,901,Ġwho
87,52,0.51171875,1028,Ġhad
88,53,0.494140625,1007,Ġbeen
89,54,0.28125,268,Ġthe
91,55,0.4765625,56742,runner
90,56,1.0,4701,Ġfront
95,57,0.3515625,11,","
92,58,0.48828125,5729,Ġthroughout
93,59,0.99609375,268,Ġthe
94,60,0.9765625,6839,Ġcampaign
96,61,0.2275390625,1028,Ġhad
97,62,0.2001953125,57910,Ġunexpectedly
98,63,0.6171875,6040,Ġlost
99,64,0.6875,297,Ġto
101,65,0.73046875,413,ĠB
100,66,0.99609375,63586,ĠCandidate
102,67,0.578125,13,.
104,68,0.82421875,198,Ċ
103,69,1.0,198,Ċ
105,70,0.5,678,The
107,71,0.251953125,11,","
108,72,0.74609375,818,Ġwhich
106,73,0.4140625,2948,Ġresults
109,74,0.703125,929,Ġwere
111,75,0.388671875,527,Ġby
112,76,0.38671875,259,Ġa
114,77,0.40234375,300,Ġof
113,78,0.396484375,8925,Ġcombination
110,79,0.62109375,8176,Ġdetermined
117,80,0.390625,301,Ġand
120,81,0.62109375,11,","
115,82,0.54296875,7810,Ġbrain
118,83,0.4375,6476,Ġsleep
119,84,0.87109375,10879,Ġpatterns
121,85,0.59765625,7209,Ġshowed
122,86,0.80859375,378,Ġthat
124,87,0.77734375,413,ĠB
123,88,1.0,63586,ĠCandidate
125,89,0.7421875,1028,Ġhad
116,90,0.4296875,5367,Ġactivity
126,91,0.345703125,4754,Ġreceived
127,92,0.75,259,Ġa
128,93,0.443359375,3741,Ġsignificant
130,94,0.765625,300,Ġof
129,95,0.458984375,1788,Ġnumber
131,96,0.7421875,80901,Ġsubconscious
132,97,0.97265625,19409,Ġvotes
133,98,0.384765625,546,Ġfrom
134,99,0.640625,20613,Ġvoters
135,100,0.72265625,901,Ġwho
136,101,0.7421875,1028,Ġhad
137,102,0.52734375,526,Ġnot
143,103,0.265625,13,.
144,104,0.66796875,1077,ĠThis
145,105,0.52734375,17096,Ġunexpected
146,106,0.70703125,13148,Ġoutcome
141,107,0.32421875,802,Ġtheir
139,108,0.484375,71584,Ġconsciously
138,109,0.95703125,3950,Ġyet
140,110,0.5625,1851,Ġmade
142,111,0.396484375,9037,Ġdecisions
147,112,0.953125,723,Ġhas
148,113,0.4296875,59231,Ġsparked
149,114,0.7578125,27113,Ġwidespread
151,115,0.84765625,301,Ġand
150,116,0.57421875,15444,Ġdebate
154,117,0.625,268,Ġthe
153,118,0.83984375,866,Ġabout
156,119,0.79296875,300,Ġof
161,120,0.373046875,198,Ċ
157,121,0.7734375,268,Ġthe
162,122,0.7890625,198,Ċ
160,123,1.0,13,.
159,124,0.609375,1829,Ġprocess
158,125,0.6328125,11503,Ġelection
155,126,0.5703125,46973,Ġfairness
152,127,0.3046875,4294,Ġquestions
164,128,0.2109375,11503,Ġelection
163,129,0.98046875,678,The
165,130,0.7421875,12858,Ġcommission
