pos,step_decoded,conf_decoded,token_id,token_str
43,0,0.625,10277,Ġsounds
44,1,0.96875,1029,Ġlike
45,2,0.66796875,259,Ġa
42,3,0.79296875,5638,That
47,4,0.57421875,301,Ġand
46,5,0.5390625,29427,Ġmysterious
48,6,0.6328125,40086,Ġintriguing
49,7,0.4375,16211,Ġscenario
50,8,0.60546875,13,.
52,9,0.369140625,362,Ġyou
51,10,0.484375,3488,ĠDo
53,11,0.57421875,1699,Ġthink
54,12,0.7265625,268,Ġthe
55,13,0.58984375,11187,Ġartist
56,14,0.353515625,698,'s
57,15,0.6328125,16817,Ġintention
59,16,0.84375,297,Ġto
58,17,0.73046875,529,Ġwas
60,18,0.70703125,2818,Ġcreate
61,19,0.62109375,259,Ġa
62,20,0.283203125,6937,Ġpiece
63,21,0.76953125,378,Ġthat
64,22,0.2177734375,1017,Ġwould
65,23,0.1533203125,50672,Ġcaptiv
66,24,1.0,393,ate
67,25,0.369140625,301,Ġand
73,26,0.322265625,403,Ġit
72,27,0.703125,1339,Ġsee
70,28,0.84375,901,Ġwho
69,29,0.9921875,1803,Ġthose
71,30,0.58984375,1402,Ġcould
68,31,0.189453125,63583,Ġenchant
75,32,0.90234375,453,Ġor
74,33,0.99609375,11,","
77,34,0.349609375,403,Ġit
76,35,0.392578125,529,Ġwas
78,36,0.6484375,2540,Ġsomething
80,37,0.8046875,88914,Ġsinister
79,38,1.0,778,Ġmore
81,39,0.373046875,30,?
83,40,0.14453125,11,","
82,41,0.47265625,14143,ĠAdditionally
84,42,0.3515625,1053,Ġwhat
86,43,0.34375,362,Ġyou
87,44,0.77734375,1699,Ġthink
85,45,0.9765625,640,Ġdo
88,46,0.51171875,268,Ġthe
89,47,0.65234375,11797,Ġhidden
90,48,0.99609375,1931,Ġworld
92,49,0.494140625,268,Ġthe
93,50,0.7421875,15187,Ġpainting
91,51,0.60546875,2602,Ġwithin
95,52,0.3984375,1029,Ġlike
94,53,0.546875,5797,Ġlooks
96,54,0.515625,11,","
97,55,0.60546875,301,Ġand
104,56,0.87109375,126348,<|eot_id|>
103,57,1.0,30,?
105,58,1.0,126081,<|endoftext|>
98,59,0.49609375,1053,Ġwhat
99,60,0.5390625,26047,Ġsecrets
102,61,0.97265625,3435,Ġhold
101,62,0.984375,403,Ġit
100,63,0.6796875,2450,Ġmight
