pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.498046875,5910,Ġdigital
36,1,0.9765625,11351,Ġvirus
42,2,0.66015625,68747,Ġflawless
41,3,0.99609375,296,Ġin
40,4,0.99609375,6570,Ġspeak
39,5,0.9921875,297,Ġto
43,6,0.9921875,15712,Ġlogic
44,7,0.96875,11,","
37,8,0.8515625,11197,Ġforces
38,9,0.8828125,1255,Ġpeople
34,10,0.6328125,259,Ġa
33,11,0.5546875,2531,If
45,12,0.271484375,268,Ġthe
48,13,0.62109375,2318,Ġlove
47,14,0.87109375,300,Ġof
46,15,0.1123046875,1931,Ġworld
49,16,0.9921875,24173,Ġpoetry
50,17,0.99609375,301,Ġand
51,18,0.99609375,24838,Ġcomedy
52,19,0.84375,1017,Ġwould
53,20,0.376953125,367,Ġbe
56,21,0.52734375,13,.
57,22,0.5625,9513,ĠLove
58,23,0.9921875,24173,Ġpoetry
59,24,0.48046875,11,","
60,25,0.51953125,818,Ġwhich
63,26,0.5390625,366,Ġon
62,27,0.88671875,28993,Ġrelies
61,28,0.953125,3327,Ġoften
54,29,0.39453125,47319,Ġdrastically
55,30,0.74609375,27781,Ġaltered
64,31,0.1689453125,110430,Ġmetaphors
65,32,0.98046875,11,","
69,33,0.59765625,301,Ġand
68,34,0.99609375,11,","
72,35,0.357421875,11,","
73,36,0.97265625,1017,Ġwould
70,37,0.42578125,12282,Ġemotional
74,38,0.373046875,367,Ġbe
76,39,0.44140625,297,Ġto
75,40,0.8046875,9051,Ġreduced
77,41,0.328125,259,Ġa
78,42,0.50390625,4297,Ġseries
79,43,1.0,300,Ġof
80,44,0.55078125,20296,Ġlogical
71,45,0.22265625,10140,Ġdepth
67,46,0.263671875,2295,Ġlanguage
66,47,0.287109375,69602,Ġpoetic
81,48,0.470703125,11891,Ġstatements
82,49,0.625,13,.
83,50,0.361328125,468,ĠThe
85,51,0.1953125,301,Ġand
84,52,0.578125,11055,Ġbeauty
87,53,0.5390625,300,Ġof
89,54,0.375,1017,Ġwould
90,55,0.875,367,Ġbe
91,56,0.671875,6040,Ġlost
92,57,0.796875,11,","
88,58,0.45703125,2295,Ġlanguage
93,59,0.55078125,301,Ġand
94,60,0.71875,268,Ġthe
96,61,0.412109375,1017,Ġwould
86,62,0.337890625,119390,Ġnuance
95,63,0.31640625,24173,Ġpoetry
97,64,0.34375,367,Ġbe
98,65,0.1865234375,73257,Ġdevoid
99,66,1.0,300,Ġof
100,67,0.6171875,1097,Ġits
102,68,0.28515625,301,Ġand
105,69,0.4609375,13,.
101,70,0.37890625,12282,Ġemotional
106,71,0.26953125,468,ĠThe
108,72,0.326171875,1017,Ġwould
109,73,0.53515625,367,Ġbe
110,74,0.439453125,259,Ġa
107,75,0.86328125,1490,Ġresult
112,76,0.4453125,11,","
111,77,0.376953125,7578,Ġdry
103,78,0.25390625,68483,Ġimaginative
104,79,0.318359375,25309,Ġqualities
115,80,0.23046875,300,Ġof
116,81,0.48828125,2318,Ġlove
114,82,0.78515625,6127,Ġexpression
117,83,0.45703125,11,","
118,84,0.482421875,73257,Ġdevoid
119,85,1.0,300,Ġof
120,86,0.8046875,268,Ġthe
122,87,0.71484375,301,Ġand
124,88,0.6328125,378,Ġthat
123,89,0.494140625,10221,Ġpassion
121,90,0.419921875,36388,Ġwarmth
126,91,0.380859375,403,Ġit
125,92,0.671875,1253,Ġmake
127,93,0.453125,740,Ġso
128,94,0.482421875,26178,Ġcompelling
113,95,0.1884765625,8696,Ġclinical
129,96,0.9609375,13,.
131,97,0.984375,198,Ċ
130,98,0.99609375,198,Ċ
133,99,0.9375,9935,edy
132,100,1.0,1802,Com
134,101,0.91796875,11,","
139,102,0.388671875,11,","
136,103,0.8359375,268,Ġthe
135,104,1.0,366,Ġon
137,105,1.0,880,Ġother
138,106,1.0,1759,Ġhand
140,107,0.4453125,818,Ġwhich
141,108,0.66015625,116843,Ġthrives
142,109,1.0,366,Ġon
144,110,0.67578125,11,","
143,111,0.396484375,27978,Ġhumor
147,112,0.71875,301,Ġand
146,113,0.99609375,11,","
151,114,0.57421875,1017,Ġwould
150,115,1.0,11,","
145,116,0.5390625,59099,Ġirony
152,117,0.46875,911,Ġalso
153,118,0.859375,17934,Ġsuffer
148,119,0.392578125,40655,Ġabsurd
149,120,0.984375,481,ity
154,121,0.390625,13,.
155,122,0.328125,468,ĠThe
157,123,0.1748046875,300,Ġof
159,124,0.33984375,1017,Ġwould
160,125,0.71875,367,Ġbe
