pos,step_decoded,conf_decoded,token_id,token_str
30,0,0.15625,480,**
31,1,0.427734375,5113,Message
34,2,0.380859375,17076,ĠFuture
32,3,0.9921875,546,Ġfrom
33,4,0.94140625,268,Ġthe
37,5,0.91796875,198,Ċ
36,6,0.97265625,198,Ċ
35,7,0.62109375,31073,:**
38,8,0.37109375,1,""""
40,9,0.287109375,11,","
39,10,0.734375,102280,Greetings
42,11,0.330078125,300,Ġof
41,12,0.58203125,40459,Ġinhabitants
43,13,0.470703125,10700,ĠEarth
44,14,0.765625,13,.
45,15,0.52734375,1077,ĠThis
46,16,0.447265625,4073,Ġmessage
47,17,0.65625,341,Ġis
48,18,0.34765625,3820,Ġsent
49,19,0.8671875,546,Ġfrom
51,20,0.8671875,1020,Ġyear
50,21,1.0,268,Ġthe
52,22,0.91015625,220,Ġ
53,23,0.65625,17,2
57,24,0.66015625,13,.
54,25,0.51953125,16,1
58,26,0.439453125,1104,ĠWe
59,27,0.71875,561,Ġhave
55,28,0.486328125,20,5
56,29,0.44921875,15,0
60,30,0.3125,9943,Ġreached
61,31,0.640625,259,Ġa
63,32,0.5390625,300,Ġof
64,33,0.6015625,35609,Ġunprecedented
65,34,0.89453125,24722,Ġtechnological
66,35,0.89453125,40899,Ġadvancement
62,36,0.62109375,1827,Ġpoint
67,37,0.64453125,301,Ġand
70,38,0.65234375,13,.
68,39,0.44140625,9874,Ġenvironmental
71,40,0.46875,4300,ĠOur
73,41,0.431640625,723,Ġhas
72,42,0.3984375,43099,Ġcivilization
69,43,0.416015625,71884,Ġstewardship
74,44,0.2333984375,28024,Ġevolved
75,45,0.408203125,297,Ġto
77,46,0.216796875,55079,exist
76,47,1.0,1284,Ġco
78,48,0.51171875,391,Ġwith
79,49,0.76171875,6132,Ġnature
80,50,0.828125,11,","
81,51,0.2890625,301,Ġand
82,52,0.77734375,438,Ġwe
83,53,0.859375,561,Ġhave
84,54,0.2734375,6432,Ġdeveloped
85,55,0.345703125,14528,Ġsustainable
86,56,0.40625,9242,Ġpractices
87,57,0.65234375,378,Ġthat
88,58,0.65625,5034,Ġensure
89,59,0.48828125,268,Ġthe
93,60,0.5546875,13330,Ġplanet
91,61,1.0,300,Ġof
92,62,0.95703125,869,Ġour
90,63,0.51171875,51501,Ġlongevity
94,64,0.89453125,13,.
96,65,0.5234375,198,Ċ
95,66,0.96484375,198,Ċ
97,67,0.70703125,1672,We
98,68,0.81640625,561,Ġhave
99,69,0.400390625,13212,Ġachieved
101,70,0.451171875,3805,Ġenergy
103,71,0.625,11,","
104,72,0.29296875,301,Ġand
105,73,0.5859375,869,Ġour
102,74,0.2890625,23951,Ġindependence
100,75,0.474609375,4742,Ġglobal
106,76,0.310546875,43662,Ġreliance
107,77,1.0,366,Ġon
108,78,0.8359375,33923,Ġfossil
109,79,1.0,39244,Ġfuels
110,80,0.78125,723,Ġhas
111,81,0.89453125,1007,Ġbeen
114,82,0.5703125,13,.
113,83,0.439453125,34047,Ġeliminated
112,84,0.412109375,21139,Ġvirtually
115,85,0.28125,4300,ĠOur
116,86,0.65234375,11649,Ġcities
117,87,0.84375,449,Ġare
118,88,0.3515625,1346,Ġself
119,89,0.9609375,1994,-s
121,90,0.8984375,11,","
120,91,0.8515625,125154,ustaining
122,92,0.328125,23325,Ġpowered
