pos,step_decoded,conf_decoded,token_id,token_str
32,0,0.4296875,480,**
45,1,0.2021484375,198,Ċ
46,2,0.5625,198,Ċ
44,3,0.90625,480,**
43,4,0.65625,0,!
47,5,0.46875,8492,Are
42,6,0.208984375,44595,ĠMinutes
41,7,0.53125,4100,ĠMore
33,8,0.357421875,71592,Ur
34,9,1.0,25567,gent
35,10,0.7734375,25,:
39,11,0.396484375,12438,ĠNeed
40,12,0.88671875,300,Ġof
38,13,0.63671875,296,Ġin
36,14,0.78515625,331,ĠI
37,15,0.90625,3180,'m
48,16,0.9921875,362,Ġyou
49,17,0.34765625,17889,Ġtired
50,18,1.0,300,Ġof
51,19,0.314453125,7405,Ġfeeling
52,20,0.53515625,1029,Ġlike
53,21,0.36328125,362,Ġyou
54,22,0.8359375,3273,'re
55,23,0.427734375,5043,Ġrunning
58,24,0.80859375,898,Ġtime
56,25,1.0,733,Ġout
57,26,1.0,300,Ġof
59,27,0.6796875,30,?
61,28,0.37890625,362,Ġyou
60,29,0.87109375,3488,ĠDo
63,30,0.314453125,297,Ġto
62,31,0.609375,15308,Ġstruggle
65,32,0.1943359375,563,Ġyour
64,33,0.3046875,8652,Ġbalance
66,34,0.53125,962,Ġwork
67,35,0.7421875,11,","
70,36,0.8046875,301,Ġand
69,37,1.0,11,","
73,38,0.87890625,30,?
68,39,0.78125,2709,Ġfamily
71,40,0.90234375,3379,Ġpersonal
72,41,0.73828125,1968,Ġlife
74,42,0.244140625,9795,ĠLook
75,43,1.0,1037,Ġno
76,44,1.0,3968,Ġfurther
77,45,0.80859375,0,!
78,46,0.443359375,331,ĠI
79,47,0.81640625,3180,'m
81,48,0.484375,297,Ġto
82,49,0.482421875,3397,Ġbuy
83,50,0.91796875,778,Ġmore
84,51,0.98046875,4362,Ġminutes
80,52,0.67578125,33774,Ġdesperate
85,53,0.63671875,11,","
86,54,0.9609375,301,Ġand
87,55,0.8828125,331,ĠI
88,56,0.62109375,3180,'m
89,57,0.8515625,10029,Ġwilling
90,58,1.0,297,Ġto
91,59,0.5859375,2393,Ġpay
95,60,0.44140625,198,Ċ
93,61,0.76953125,3965,Ġprice
94,62,0.796875,13,.
92,63,0.53515625,268,Ġthe
96,64,0.99609375,198,Ċ
97,65,0.306640625,480,**
101,66,0.37890625,198,Ċ
100,67,0.58984375,31073,:**
