pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.59765625,29500,Ġchampionship
30,1,0.98828125,678,The
32,2,0.9765625,2867,Ġevent
37,3,0.396484375,22500,rivial
36,4,0.671875,51,T
35,5,0.95703125,477,"Ġ"""
39,6,0.5390625,7224,uit
38,7,1.0,59173,ĠPurs
33,8,0.75390625,341,Ġis
34,9,0.734375,3250,Ġcalled
40,10,0.30859375,1904,"."""
43,11,0.2451171875,259,Ġa
41,12,0.8828125,963,ĠIt
42,13,0.51953125,698,'s
44,14,0.302734375,2792,Ġgame
45,15,0.482421875,1609,Ġshow
46,16,0.67578125,1387,Ġwhere
48,17,0.5234375,21520,Ġcompete
49,18,0.734375,297,Ġto
50,19,0.87890625,3766,Ġanswer
51,20,0.7421875,4294,Ġquestions
52,21,0.81640625,866,Ġabout
53,22,0.5625,259,Ġa
56,23,0.9140625,300,Ġof
54,24,0.93359375,6376,Ġwide
55,25,0.8984375,3278,Ġrange
57,26,0.83984375,11429,Ġtopics
58,27,0.83984375,11,","
59,28,0.54296875,2524,Ġincluding
61,29,0.62890625,11,","
60,30,0.91796875,4352,Ġhistory
47,31,0.5546875,83901,Ġcontestants
63,32,0.83984375,11,","
65,33,0.369140625,11,","
66,34,0.66015625,301,Ġand
69,35,0.58203125,13,.
67,36,0.79296875,2800,Ġpop
68,37,1.0,6951,Ġculture
70,38,0.73828125,468,ĠThe
62,39,0.51953125,7435,Ġscience
64,40,0.67578125,12600,Ġliterature
72,41,0.328125,449,Ġare
71,42,0.97265625,4294,Ġquestions
73,43,0.515625,5469,Ġdesigned
74,44,1.0,297,Ġto
75,45,0.57421875,367,Ġbe
77,46,0.408203125,301,Ġand
76,47,0.34765625,12988,Ġchallenging
79,48,0.51953125,11,","
81,49,0.392578125,83901,Ġcontestants
80,50,0.62109375,20876,Ġrequiring
82,51,0.99609375,297,Ġto
85,52,0.427734375,4848,Ġknowledge
84,53,0.9453125,802,Ġtheir
83,54,0.8203125,1071,Ġuse
