pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.2294921875,5638,That
40,1,0.5859375,10277,Ġsounds
41,2,0.8515625,1029,Ġlike
42,3,0.796875,259,Ġa
44,4,0.1572265625,82286,-provoking
43,5,0.99609375,3149,Ġthought
45,6,0.8828125,16211,Ġscenario
46,7,0.7734375,13,.
47,8,0.279296875,963,ĠIt
48,9,0.66015625,25041,Ġraises
49,10,0.51953125,4294,Ġquestions
50,11,0.99609375,866,Ġabout
51,12,0.8984375,268,Ġthe
53,13,0.65234375,300,Ġof
52,14,0.7109375,1669,Ġvalue
54,15,0.373046875,18769,Ġhappiness
55,16,0.84375,301,Ġand
56,17,0.6328125,268,Ġthe
58,18,0.48828125,300,Ġof
57,19,0.2353515625,30171,Ġethics
59,20,0.5234375,94853,Ġtaxing
60,21,0.25,16919,Ġmemories
61,22,0.890625,13,.
62,23,0.44921875,19022,ĠWould
64,24,0.322265625,367,Ġbe
63,25,0.55078125,403,Ġit
65,26,0.58984375,6415,Ġfair
66,27,0.498046875,297,Ġto
67,28,0.451171875,6769,Ġcharge
69,29,0.578125,352,Ġfor
68,30,0.8515625,1255,Ġpeople
70,31,0.255859375,802,Ġtheir
71,32,0.400390625,5757,Ġhappy
73,33,0.58984375,30,?
72,34,0.69921875,13475,Ġmoments
75,35,0.3125,1017,Ġwould
74,36,0.6875,2071,ĠHow
76,37,0.63671875,501,Ġthis
77,38,0.302734375,4402,Ġimpact
78,39,0.2734375,9198,Ġmental
79,40,0.97265625,2247,Ġhealth
80,41,0.97265625,301,Ġand
82,42,0.6015625,1367,Ġwell
83,43,1.0,23808,-being
84,44,0.95703125,30,?
81,45,0.71484375,7071,Ġoverall
85,46,0.53515625,963,ĠIt
86,47,0.74609375,698,'s
87,48,0.470703125,259,Ġa
88,49,0.4296875,23452,Ġfascinating
91,50,0.375,9070,Ġexplore
90,51,1.0,297,Ġto
92,52,0.62890625,268,Ġthe
89,53,0.875,1487,Ġway
94,54,0.45703125,300,Ġof
93,55,0.255859375,23162,Ġintersection
101,56,0.56640625,126348,<|eot_id|>
102,57,1.0,126081,<|endoftext|>
100,58,0.98828125,13,.
97,59,0.83203125,301,Ġand
95,60,0.421875,3379,Ġpersonal
98,61,0.87109375,41942,Ġsocietal
96,62,0.63671875,18769,Ġhappiness
99,63,0.1767578125,28614,Ġeconomics
