pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.80859375,480,**
30,1,0.78515625,19574,ĠRecord
29,2,0.99609375,17563,Transaction
33,3,0.7265625,198,Ċ
32,4,0.984375,198,Ċ
34,5,0.80859375,480,**
35,6,0.83203125,6272,Date
36,7,0.8203125,31073,:**
31,8,0.59375,480,**
37,9,0.51953125,73885,ĠMidnight
38,10,0.494140625,11,","
40,11,0.455078125,220,Ġ
39,12,0.65234375,4702,ĠOctober
43,13,0.671875,11,","
41,14,0.5390625,16,1
42,15,0.267578125,15,0
44,16,1.0,220,Ġ
45,17,0.99609375,17,2
46,18,0.99609375,15,0
47,19,0.99609375,17,2
48,20,0.9921875,18,3
50,21,0.97265625,198,Ċ
51,22,0.984375,480,**
49,23,0.9140625,198,Ċ
53,24,0.65234375,31073,:**
52,25,0.396484375,8934,Location
54,26,0.765625,73885,ĠMidnight
56,27,0.41015625,11,","
59,28,0.35546875,198,Ċ
55,29,0.16015625,6151,ĠMarket
58,30,0.1953125,4721,ĠCity
57,31,0.48046875,73885,ĠMidnight
60,32,1.0,198,Ċ
61,33,0.984375,480,**
63,34,0.62109375,31073,:**
62,35,0.578125,64718,Participants
64,36,0.703125,198,Ċ
65,37,0.53125,12,-
66,38,0.306640625,5321,Ġ**
67,39,0.36328125,57736,Alice
68,40,0.61328125,31073,:**
69,41,0.34765625,355,ĠA
70,42,0.13671875,4036,Ġyoung
73,43,0.53515625,259,Ġa
72,44,0.9453125,391,Ġwith
71,45,0.609375,6146,Ġwoman
74,46,0.197265625,4140,Ġheart
75,47,0.81640625,2771,Ġfull
76,48,1.0,300,Ġof
77,49,0.6171875,16757,Ġdreams
78,50,0.44140625,13,.
79,51,0.875,198,Ċ
81,52,1.0,5321,Ġ**
80,53,1.0,12,-
83,54,0.9765625,31073,:**
82,55,0.9453125,36055,Bob
84,56,0.92578125,355,ĠA
87,57,0.4453125,391,Ġwith
88,58,0.84765625,259,Ġa
85,59,0.609375,29427,Ġmysterious
86,60,0.87109375,861,Ġman
90,61,0.326171875,2771,Ġfull
91,62,1.0,300,Ġof
89,63,0.35546875,3261,Ġpast
93,64,0.92578125,13,.
94,65,1.0,198,Ċ
96,66,0.98828125,480,**
95,67,1.0,198,Ċ
98,68,0.5859375,31073,:**
99,69,0.8359375,198,Ċ
100,70,0.71484375,12,-
101,71,0.73046875,5321,Ġ**
102,72,0.82421875,57736,Alice
92,73,0.546875,26047,Ġsecrets
103,74,0.484375,698,'s
105,75,0.9375,31073,:**
104,76,0.859375,22018,ĠMemory
106,77,0.640625,355,ĠA
97,78,0.30859375,17804,Memory
107,79,0.095703125,18478,Ġchildhood
109,80,0.486328125,300,Ġof
108,81,0.80859375,6306,Ġmemory
110,82,0.419921875,1094,Ġher
111,83,0.478515625,32852,Ġgrandmother
112,84,0.421875,698,'s
114,85,0.1572265625,11,","
115,86,0.283203125,259,Ġa
113,87,0.318359375,41305,Ġlaughter
116,88,0.2490234375,5470,Ġsound
117,89,0.8671875,378,Ġthat
120,90,0.171875,1094,Ġher
118,91,0.216796875,84377,Ġechoes
119,92,0.64453125,296,Ġin
121,93,0.765625,3714,Ġmind
122,94,0.236328125,409,Ġas
123,95,0.4140625,1285,Ġshe
129,96,0.291015625,198,Ċ
128,97,0.671875,13,.
132,98,0.64453125,29002,Secret
133,99,0.98828125,31073,:**
139,100,0.9921875,12049,ĠSecret
130,101,1.0,198,Ċ
131,102,1.0,480,**
134,103,1.0,198,Ċ
135,104,1.0,12,-
136,105,1.0,5321,Ġ**
137,106,0.9921875,36055,Bob
138,107,0.9921875,698,'s
126,108,0.455078125,1094,Ġher
127,109,0.494140625,18478,Ġchildhood
124,110,0.412109375,18679,Ġthinks
125,111,0.81640625,300,Ġof
140,112,1.0,31073,:**
141,113,0.77734375,355,ĠA
145,114,0.27734375,900,Ġhis
142,115,0.546875,11797,Ġhidden
147,116,0.259765625,698,'s
146,117,0.71484375,2709,Ġfamily
150,118,0.423828125,11,","
151,119,0.53125,259,Ġa
153,120,0.451171875,378,Ġthat
144,121,0.396484375,297,Ġto
152,122,0.43359375,2242,Ġplace
143,123,0.5234375,20239,Ġentrance
148,124,0.494140625,2622,Ġold
149,125,0.75,63504,Ġmansion
154,126,0.322265625,11005,Ġholds
155,127,0.55859375,268,Ġthe
157,128,0.640625,300,Ġof
158,129,0.384765625,900,Ġhis
159,130,0.59765625,42749,Ġancestors
156,131,0.4921875,7243,Ġstories
160,132,0.5703125,301,Ġand
161,133,0.69140625,268,Ġthe
168,134,0.60546875,198,Ċ
166,135,0.64453125,13,.
167,136,1.0,198,Ċ
169,137,0.98828125,480,**
171,138,0.65234375,31073,:**
163,139,0.5859375,300,Ġof
165,140,0.609375,3261,Ġpast
164,141,0.625,900,Ġhis
162,142,0.306640625,55307,Ġmysteries
170,143,0.2392578125,17035,Details
172,144,0.98828125,198,Ċ
173,145,0.94921875,12,-
174,146,0.54296875,5321,Ġ**
177,147,0.4140625,31073,:**
175,148,0.29296875,17563,Transaction
176,149,0.2294921875,6734,ĠType
178,150,0.77734375,22018,ĠMemory
180,151,0.75,12049,ĠSecret
179,152,0.9765625,352,Ġfor
183,153,0.609375,5321,Ġ**
181,154,1.0,198,Ċ
182,155,1.0,12,-
185,156,0.478515625,31073,:**
184,157,0.2314453125,26029,Amount
186,158,0.40234375,220,Ġ
187,159,0.875,16,1
188,160,0.263671875,22018,ĠMemory
192,161,0.828125,12049,ĠSecret
190,162,1.0,220,Ġ
191,163,1.0,16,1
193,164,0.98828125,198,Ċ
194,165,0.81640625,12,-
195,166,1.0,5321,Ġ**
189,167,0.68359375,352,Ġfor
197,168,0.59375,31073,:**
196,169,0.232421875,25885,Condition
198,170,0.275390625,11090,ĠBoth
200,171,0.890625,6601,Ġagree
199,172,0.953125,8171,Ġparties
201,173,0.9453125,297,Ġto
202,174,0.890625,2417,Ġkeep
203,175,0.51953125,268,Ġthe
205,176,0.3984375,25358,Ġconfidential
206,177,0.33984375,301,Ġand
218,178,0.271484375,198,Ċ
217,179,0.421875,198,Ċ
219,180,0.96484375,480,**
216,181,0.98828125,13,.
207,182,0.28125,526,Ġnot
204,183,0.435546875,7573,Ġtrade
208,184,0.37890625,17358,Ġreveal
209,185,0.8203125,268,Ġthe
211,186,0.640625,300,Ġof
212,187,0.5546875,268,Ġthe
214,188,0.73046875,453,Ġor
215,189,0.96875,8514,Ġsecret
213,190,1.0,6306,Ġmemory
210,191,0.357421875,12784,Ġcontents
221,192,0.6640625,31073,:**
222,193,0.828125,198,Ċ
223,194,0.82421875,12,-
224,195,0.76953125,5321,Ġ**
225,196,0.62109375,57736,Alice
226,197,0.7265625,31073,:**
220,198,0.515625,98595,Outcome
227,199,0.359375,44590,ĠRece
228,200,1.0,1867,ives
229,201,0.6953125,259,Ġa
231,202,0.1630859375,301,Ġand
233,203,0.365234375,8514,Ġsecret
234,204,0.326171875,11,","
235,205,0.291015625,108309,Ġenriching
230,206,0.26171875,76697,Ġcherished
232,207,0.50390625,29427,Ġmysterious
236,208,0.98046875,1094,Ġher
237,209,0.478515625,1968,Ġlife
238,210,0.6875,391,Ġwith
241,211,0.431640625,13,.
242,212,1.0,198,Ċ
243,213,1.0,12,-
244,214,1.0,5321,Ġ**
245,215,1.0,36055,Bob
246,216,1.0,31073,:**
249,217,0.66015625,259,Ġa
247,218,0.93359375,44590,ĠRece
248,219,1.0,1867,ives
239,220,0.62890625,782,Ġnew
251,221,0.439453125,6306,Ġmemory
240,222,0.51953125,19823,Ġpossibilities
250,223,0.337890625,76697,Ġcherished
252,224,0.52734375,11,","
263,225,0.404296875,198,Ċ
265,226,0.56640625,480,**
264,227,1.0,198,Ċ
262,228,0.99609375,13,.
267,229,0.66015625,31073,:**
266,230,0.63671875,29609,Signature
254,231,0.3828125,1653,Ġhim
255,232,0.333984375,12621,Ġcloser
256,233,1.0,297,Ġto
253,234,0.94140625,12868,Ġbringing
257,235,0.640625,5942,Ġunderstanding
258,236,0.75,900,Ġhis
260,237,0.93359375,698,'s
259,238,0.90625,2709,Ġfamily
261,239,0.66015625,4352,Ġhistory
283,240,0.99609375,126081,<|endoftext|>
282,241,0.96875,126348,<|eot_id|>
268,242,0.90625,198,Ċ
269,243,0.93359375,12,-
270,244,0.875,5321,Ġ**
271,245,0.9375,57736,Alice
278,246,0.953125,36055,Bob
275,247,1.0,198,Ċ
276,248,1.0,12,-
277,249,1.0,5321,Ġ**
279,250,0.69140625,31073,:**
272,251,1.0,31073,:**
280,252,0.546875,113003,Ġ________________
273,253,1.0,113003,Ġ________________
274,254,0.376953125,81331,______
281,255,0.99609375,81331,______
