pos,step_decoded,conf_decoded,token_id,token_str
37,0,0.10888671875,678,The
39,1,0.2333984375,300,Ġof
38,2,0.7890625,5919,Ġrelease
41,3,0.81640625,9963,Ġalgorithm
40,4,0.765625,289,Ġan
42,5,0.60546875,378,Ġthat
46,6,0.9609375,5695,Ġwrong
44,7,1.0,1484,Ġright
45,8,0.984375,546,Ġfrom
43,9,0.8125,31733,Ġdecides
47,10,0.68359375,723,Ġhas
48,11,0.609375,59231,Ġsparked
49,12,0.404296875,27113,Ġwidespread
51,13,0.5859375,301,Ġand
50,14,0.68359375,42852,Ġoutrage
52,15,0.310546875,11778,Ġresistance
53,16,0.58984375,546,Ġfrom
56,17,0.46875,26261,Ġrefuse
55,18,1.0,901,Ġwho
57,19,0.99609375,297,Ġto
59,20,0.404296875,297,Ġto
60,21,0.828125,1097,Ġits
61,22,0.90625,85795,Ġdictates
62,23,0.98828125,13,.
54,24,0.357421875,1803,Ġthose
63,25,0.302734375,8373,ĠMany
64,26,0.345703125,1255,Ġpeople
66,27,0.4296875,378,Ġthat
68,28,0.7890625,9963,Ġalgorithm
67,29,0.86328125,268,Ġthe
65,30,0.55859375,17906,Ġargue
58,31,0.421875,28201,Ġadhere
69,32,0.59375,341,Ġis
71,33,0.24609375,301,Ġand
70,34,0.66015625,46152,Ġbiased
73,35,0.373046875,11,","
72,36,0.3515625,30804,Ġunfair
74,37,0.2734375,301,Ġand
75,38,0.91015625,378,Ġthat
76,39,0.85546875,403,Ġit
78,40,0.18359375,1685,ines
77,41,1.0,72485,Ġunderm
79,42,0.49609375,3182,Ġindividual
81,43,0.92578125,301,Ġand
83,44,0.58984375,13,.
82,45,0.7734375,51633,Ġautonomy
80,46,0.71484375,11899,Ġfreedom
84,47,0.21875,198,Ċ
85,48,0.890625,198,Ċ
87,49,0.25,1314,ics
86,50,1.0,92128,Crit
88,51,0.44921875,300,Ġof
89,52,0.99609375,268,Ġthe
90,53,0.984375,9963,Ġalgorithm
92,54,0.640625,378,Ġthat
93,55,0.89453125,403,Ġit
91,56,0.49609375,3645,Ġclaim
94,57,0.3671875,341,Ġis
95,58,0.240234375,259,Ġa
97,59,0.474609375,300,Ġof
96,60,0.470703125,18927,Ġviolation
99,61,0.50390625,5206,Ġrights
98,62,0.88671875,3738,Ġhuman
100,63,0.75,301,Ġand
101,64,0.373046875,378,Ġthat
102,65,0.90625,403,Ġit
103,66,0.283203125,341,Ġis
104,67,0.50390625,259,Ġa
106,68,0.3984375,300,Ġof
105,69,0.6875,1627,Ġform
110,70,0.52734375,2240,ĠThey
109,71,0.99609375,13,.
112,72,0.80859375,378,Ġthat
111,73,0.85546875,17906,Ġargue
114,74,0.7109375,9963,Ġalgorithm
113,75,1.0,268,Ġthe
108,76,0.48828125,2912,Ġcontrol
107,77,0.546875,3976,Ġgovernment
115,78,0.451171875,341,Ġis
116,79,0.2578125,526,Ġnot
