pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.1298828125,678,The
37,1,0.54296875,28640,Ġcorrupt
38,2,0.98046875,45041,Ġpolitician
39,3,0.271484375,11,","
40,4,0.2255859375,5845,ĠMr
41,5,0.984375,13,.
43,6,0.5078125,11,","
44,7,0.240234375,4236,Ġsat
45,8,0.39453125,296,Ġin
46,9,0.765625,900,Ġhis
47,10,0.5234375,5272,Ġoffice
48,11,0.48046875,11,","
50,12,0.306640625,527,Ġby
49,13,0.9921875,22790,Ġsurrounded
42,14,0.28515625,10310,ĠSmith
51,15,0.294921875,55463,Ġstacks
52,16,0.98828125,300,Ġof
54,17,0.421875,301,Ġand
53,18,0.51953125,40119,Ġpaperwork
57,19,0.21875,300,Ġof
60,20,0.59765625,13,.
61,21,0.64453125,1290,ĠHe
55,22,0.59765625,259,Ġa
59,23,0.6484375,4128,Ġpoints
58,24,0.96484375,33554,Ġkindness
56,25,0.279296875,9984,Ġstack
66,26,0.1533203125,11,","
64,27,0.29296875,900,Ġhis
62,28,0.55078125,7204,Ġturned
63,29,0.9765625,297,Ġto
65,30,0.734375,16841,Ġassistant
67,31,0.23828125,15615,ĠMrs
68,32,1.0,13,.
70,33,0.92578125,11,","
69,34,0.61328125,12921,ĠJohnson
71,35,0.470703125,301,Ġand
73,36,0.74609375,11,","
72,37,0.91015625,1427,Ġsaid
74,38,0.86328125,477,"Ġ"""
75,39,0.54296875,44808,Mrs
76,40,1.0,13,.
78,41,0.9921875,11,","
77,42,0.984375,12921,ĠJohnson
79,43,0.63671875,331,ĠI
80,44,0.5703125,1050,Ġneed
82,45,0.384765625,297,Ġto
81,46,0.9609375,362,Ġyou
83,47,0.1513671875,1376,Ġhelp
84,48,0.96484375,696,Ġme
85,49,0.482421875,391,Ġwith
86,50,0.353515625,259,Ġa
89,51,0.302734375,13,.
90,52,0.4375,331,ĠI
88,53,0.3828125,2411,Ġproject
93,54,0.6484375,362,Ġyou
92,55,0.5859375,2697,Ġgive
91,56,0.54296875,4164,'ll
94,57,0.408203125,220,Ġ
96,58,0.91796875,15,0
99,59,0.703125,4128,Ġpoints
97,60,0.99609375,15,0
98,61,0.9921875,33554,Ġkindness
95,62,0.474609375,20,5
87,63,0.37890625,3178,Ġspecial
100,64,0.306640625,624,Ġif
101,65,0.99609375,362,Ġyou
103,66,0.404296875,1904,"."""
104,67,0.8046875,198,Ċ
105,68,0.921875,198,Ċ
107,69,0.9453125,13,.
106,70,0.98828125,44808,Mrs
108,71,0.99609375,12921,ĠJohnson
109,72,0.47265625,7157,Ġlooked
110,73,0.765625,482,Ġat
111,74,0.390625,1653,Ġhim
112,75,0.369140625,391,Ġwith
113,76,0.54296875,44614,Ġsuspicion
115,77,0.36328125,477,"Ġ"""
114,78,0.8515625,13,.
102,79,0.3125,1376,Ġhelp
116,80,0.283203125,7967,Why
118,81,0.58984375,362,Ġyou
117,82,0.53515625,640,Ġdo
119,83,0.7734375,1050,Ġneed
121,84,0.328125,1376,Ġhelp
120,85,0.9296875,811,Ġmy
122,86,0.376953125,391,Ġwith
124,87,0.416015625,2411,Ġproject
123,88,0.79296875,501,Ġthis
125,89,0.67578125,11,","
126,90,0.97265625,5845,ĠMr
127,91,1.0,13,.
128,92,1.0,10310,ĠSmith
130,93,0.79296875,198,Ċ
131,94,1.0,198,Ċ
129,95,0.99609375,6608,"?"""
132,96,0.92578125,14616,Mr
133,97,1.0,13,.
134,98,1.0,10310,ĠSmith
137,99,0.322265625,477,"Ġ"""
